benchmarkName time maxStates maxTransitions
hecs_1_1-po-1.dft 0 20 33
hecs_2_1-po-1.dft 719 14986 62876
hecs_2_2-po-1.dft 719 14986 62876
hecs_3_1-po-1.dft 1063 14986 62876
hecs_3_3-po-1.dft 1062 14986 62876
hecs_4_1-po-1.dft 1469 14986 62876
hecs_4_2-po-1.dft 1484 14986 62876
hecs_4_3-po-1.dft 1452 14986 62876
hecs_4_4-po-1.dft 1438 14986 62876
hecs_5_1-po-1.dft 1798 14986 62876
hecs_5_5-po-1.dft 1813 14986 62876
hecs_6_1-po-1.dft 2173 14986 62876
hecs_6_6-po-1.dft 2173 14986 62876
hecs_7_1-po-1.dft 2516 14986 62876
hecs_7_7-po-1.dft 2549 14986 62876
hecs_8_1-po-1.dft 2891 14986 62876
hecs_8_8-po-1.dft 3001 14986 62876
