benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize
rc.1-1-hc-po-2.dft 182 9 7 12 1
rc.1-1-sc-po-2.dft 67 5 4 12 1
rc.1-10-hc-po-2.dft 1136 19 8 12 1
rc.1-10-sc-po-2.dft 814 15 5 12 1
rc.1-15-hc-po-2.dft 1927 24 8 12 1
rc.1-15-sc-po-2.dft 1499 20 5 12 1
rc.1-2-hc-po-2.dft 264 11 8 12 1
rc.1-2-sc-po-2.dft 117 7 5 12 1
rc.1-20-hc-po-2.dft 3033 29 8 12 1
rc.1-20-sc-po-2.dft 2351 25 5 12 1
rc.1-25-hc-po-2.dft 4051 34 8 12 1
rc.1-25-sc-po-2.dft 3406 30 5 12 1
rc.1-3-hc-po-2.dft 349 12 8 12 1
rc.1-3-sc-po-2.dft 180 8 5 12 1
rc.1-30-hc-po-2.dft 5399 39 8 12 1
rc.1-30-sc-po-2.dft 4744 35 5 12 1
rc.1-4-hc-po-2.dft 436 13 8 12 1
rc.1-4-sc-po-2.dft 248 9 5 12 1
rc.1-5-hc-po-2.dft 534 14 8 12 1
rc.1-5-sc-po-2.dft 321 10 5 12 1
rc.10-1-hc-po-2.dft 932 19 17 12 1
rc.10-1-sc-po-2.dft 618 15 14 12 1
rc.10-10-hc-po-2.dft 2549 29 18 12 1
rc.10-10-sc-po-2.dft 2048 25 15 12 1
rc.15-1-hc-po-2.dft 1624 24 22 12 1
rc.15-1-sc-po-2.dft 1197 20 19 12 1
rc.15-15-hc-po-2.dft 4929 39 23 12 1
rc.15-15-sc-po-2.dft 4190 35 20 12 1
rc.2-1-hc-po-2.dft 234 11 9 12 1
rc.2-1-sc-po-2.dft 94 7 6 12 1
rc.2-2-hc-po-2.dft 318 13 10 12 1
rc.2-2-sc-po-2.dft 157 9 7 12 1
rc.2-3-hc-po-2.dft 414 14 10 12 1
rc.2-3-sc-po-2.dft 230 10 7 12 1
rc.2-4-hc-po-2.dft 513 15 10 12 1
rc.2-4-sc-po-2.dft 304 11 7 12 1
rc.20-1-hc-po-2.dft 2519 29 27 12 1
rc.20-1-sc-po-2.dft 1995 25 24 12 1
rc.20-20-hc-po-2.dft 8223 49 28 12 1
rc.20-20-sc-po-2.dft 7163 45 25 12 1
rc.25-1-hc-po-2.dft 3592 34 32 12 1
rc.25-1-sc-po-2.dft 2954 30 29 12 1
rc.25-25-hc-po-2.dft 12051 59 33 12 1
rc.25-25-sc-po-2.dft 10907 55 30 12 1
rc.3-1-hc-po-2.dft 295 12 10 12 1
rc.3-1-sc-po-2.dft 133 8 7 12 1
rc.3-2-hc-po-2.dft 389 14 11 12 1
rc.3-2-sc-po-2.dft 203 10 8 12 1
rc.3-3-hc-po-2.dft 486 15 11 12 1
rc.3-3-sc-po-2.dft 277 11 8 12 1
rc.3-4-hc-po-2.dft 599 16 11 12 1
rc.3-4-sc-po-2.dft 370 12 8 12 1
rc.30-1-hc-po-2.dft 4919 39 37 12 1
rc.30-1-sc-po-2.dft 4157 35 34 12 1
rc.30-30-hc-po-2.dft 16783 69 38 12 1
rc.30-30-sc-po-2.dft 15587 65 35 12 1
rc.4-1-hc-po-2.dft 360 13 11 12 1
rc.4-1-sc-po-2.dft 181 9 8 12 1
rc.4-2-hc-po-2.dft 465 15 12 12 1
rc.4-2-sc-po-2.dft 256 11 9 12 1
rc.4-3-hc-po-2.dft 569 16 12 12 1
rc.4-3-sc-po-2.dft 349 12 9 12 1
rc.4-4-hc-po-2.dft 686 17 12 12 1
rc.4-4-sc-po-2.dft 445 13 9 12 1
rc.5-1-hc-po-2.dft 440 14 12 12 1
rc.5-1-sc-po-2.dft 241 10 9 12 1
rc.5-5-hc-po-2.dft 911 19 13 12 1
rc.5-5-sc-po-2.dft 624 15 10 12 1
