benchmarkName time removedStates removedTransitions CleanMinimizer FinalStateMinimizer OrthogonalPartitionRefinementMinimizer PartitionRefinementMinimizer
hecs_1_1-po-3.dft 0 3 1 0 1 1 1
hecs_2_1-po-3.dft 0 16 40 0 2 0 14
hecs_2_2-po-3.dft 0 16 40 0 2 0 14
hecs_3_1-po-3.dft 16 24 60 0 3 0 21
hecs_3_3-po-3.dft 16 24 60 0 3 0 21
hecs_4_1-po-3.dft 0 32 80 0 4 0 28
hecs_4_2-po-3.dft 0 32 80 0 4 0 28
hecs_4_3-po-3.dft 0 32 80 0 4 0 28
hecs_4_4-po-3.dft 0 32 80 0 4 0 28
hecs_5_1-po-3.dft 31 40 100 0 5 0 35
hecs_5_5-po-3.dft 31 40 100 0 5 0 35
hecs_6_1-po-3.dft 48 48 120 0 6 0 42
hecs_6_6-po-3.dft 16 48 120 0 6 0 42
hecs_7_1-po-3.dft 79 56 140 0 7 0 49
hecs_7_7-po-3.dft 0 56 140 0 7 0 49
hecs_8_1-po-3.dft 48 64 160 0 8 0 56
hecs_8_8-po-3.dft 30 64 160 0 8 0 56
