benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize raSize
rc.1-1-hc-po-3.dft 203 23 21 42 2 2
rc.1-1-sc-po-3.dft 62 15 14 10 1 1
rc.1-10-hc-po-3.dft 1593 33 22 67 2 2
rc.1-10-sc-po-3.dft 1031 25 15 52 1 1
rc.1-15-hc-po-3.dft 2546 38 22 82 2 2
rc.1-15-sc-po-3.dft 1922 30 15 67 1 1
rc.1-2-hc-po-3.dft 328 25 22 43 2 2
rc.1-2-sc-po-3.dft 156 17 15 28 1 1
rc.1-20-hc-po-3.dft 3890 43 22 97 2 2
rc.1-20-sc-po-3.dft 3094 35 15 82 1 1
rc.1-25-hc-po-3.dft 5531 48 22 112 2 2
rc.1-25-sc-po-3.dft 4699 40 15 97 1 1
rc.1-3-hc-po-3.dft 437 26 22 46 2 2
rc.1-3-sc-po-3.dft 219 18 15 31 1 1
rc.1-30-hc-po-3.dft 7391 53 22 127 2 2
rc.1-30-sc-po-3.dft 6281 45 15 112 1 1
rc.1-4-hc-po-3.dft 546 27 22 49 2 2
rc.1-4-sc-po-3.dft 328 19 15 34 1 1
rc.1-5-hc-po-3.dft 672 28 22 52 2 2
rc.1-5-sc-po-3.dft 391 20 15 37 1 1
rc.10-1-hc-po-3.dft 922 23 21 84 2 2
rc.10-1-sc-po-3.dft 578 15 14 10 1 1
rc.10-10-hc-po-3.dft 3121 33 22 109 2 2
rc.10-10-sc-po-3.dft 2438 25 15 94 1 1
rc.15-1-hc-po-3.dft 1579 28 26 109 2 2
rc.15-1-sc-po-3.dft 1110 20 19 10 1 1
rc.15-15-hc-po-3.dft 6141 43 27 149 2 2
rc.15-15-sc-po-3.dft 5188 35 20 134 1 1
rc.2-1-hc-po-3.dft 250 15 13 44 2 2
rc.2-1-sc-po-3.dft 94 7 6 10 1 1
rc.2-2-hc-po-3.dft 390 17 14 45 2 2
rc.2-2-sc-po-3.dft 187 9 7 30 1 1
rc.2-3-hc-po-3.dft 532 18 14 48 2 2
rc.2-3-sc-po-3.dft 266 10 7 33 1 1
rc.2-4-hc-po-3.dft 609 19 14 51 2 2
rc.2-4-sc-po-3.dft 344 11 7 36 1 1
rc.20-1-hc-po-3.dft 2500 33 31 134 2 2
rc.20-1-sc-po-3.dft 1860 25 24 10 1 1
rc.20-20-hc-po-3.dft 10203 53 32 189 2 2
rc.20-20-sc-po-3.dft 8922 45 25 174 1 1
rc.25-1-hc-po-3.dft 3438 38 36 159 2 2
rc.25-1-sc-po-3.dft 2797 30 29 10 1 1
rc.25-25-hc-po-3.dft 15203 63 37 229 2 2
rc.25-25-sc-po-3.dft 13594 55 30 214 1 1
rc.3-1-hc-po-3.dft 312 16 14 49 2 2
rc.3-1-sc-po-3.dft 141 8 7 10 1 1
rc.3-2-hc-po-3.dft 453 18 15 50 2 2
rc.3-2-sc-po-3.dft 235 10 8 35 1 1
rc.3-3-hc-po-3.dft 610 19 15 53 2 2
rc.3-3-sc-po-3.dft 328 11 8 38 1 1
rc.3-4-hc-po-3.dft 746 20 15 56 2 2
rc.3-4-sc-po-3.dft 421 12 8 41 1 1
rc.30-1-hc-po-3.dft 4656 43 41 184 2 2
rc.30-1-sc-po-3.dft 3797 35 34 10 1 1
rc.30-30-hc-po-3.dft 21157 73 42 269 2 2
rc.30-30-sc-po-3.dft 19434 65 35 254 1 1
rc.4-1-hc-po-3.dft 391 17 15 54 2 2
rc.4-1-sc-po-3.dft 171 9 8 10 1 1
rc.4-2-hc-po-3.dft 547 19 16 55 2 2
rc.4-2-sc-po-3.dft 297 11 9 40 1 1
rc.4-3-hc-po-3.dft 672 20 16 58 2 2
rc.4-3-sc-po-3.dft 406 12 9 43 1 1
rc.4-4-hc-po-3.dft 829 21 16 61 2 2
rc.4-4-sc-po-3.dft 500 13 9 46 1 1
rc.5-1-hc-po-3.dft 453 18 16 59 2 2
rc.5-1-sc-po-3.dft 218 10 9 10 1 1
rc.5-5-hc-po-3.dft 1094 23 17 69 2 2
rc.5-5-sc-po-3.dft 735 15 10 54 1 1
