benchmarkName time maxStates maxTransitions
cm_1_1_10_dp_x-po-4.dft 4 12 13
cm_1_1_10_sp_x-po-4.dft 0 12 13
cm_1_1_11_dp_x-po-4.dft 3 12 13
cm_1_1_11_sp_x-po-4.dft 1 12 13
cm_1_1_12_dp_x-po-4.dft 2 12 13
cm_1_1_12_sp_x-po-4.dft 3 12 13
cm_1_1_13_sp_x-po-4.dft 1 12 13
cm_1_1_14_sp_x-po-4.dft 1 12 13
cm_1_1_2_dp_x-po-4.dft 1 51 76
cm_1_1_2_sp_x-po-4.dft 2 51 76
cm_1_1_3_dp_x-po-4.dft 2 202 357
cm_1_1_3_sp_x-po-4.dft 3 202 357
cm_1_1_4_dp_x-po-4.dft 14 1951 4250
cm_1_1_4_sp_x-po-4.dft 14 1951 4250
cm_1_1_5_dp_x-po-4.dft 74 7437 17858
cm_1_1_5_sp_x-po-4.dft 75 7437 17858
cm_1_1_6_dp_x-po-4.dft 900 68305 184421
cm_1_1_6_sp_x-po-4.dft 898 68305 184421
cm_1_1_7_dp_x-po-4.dft 4947 256693 744895
cm_1_1_7_sp_x-po-4.dft 4939 256693 744895
cm_1_1_8_dp_x-po-4.dft N/A N/A N/A
cm_1_1_8_sp_x-po-4.dft 0 12 13
cm_1_1_9_dp_x-po-4.dft 1 12 13
cm_1_1_9_sp_x-po-4.dft N/A N/A N/A
cm_2_1_2_dp_x-po-4.dft 187 2040 3722
cm_2_1_2_sp_x-po-4.dft 52 1002 1753
cm_2_1_3_dp_x-po-4.dft 1744 15133 30142
cm_2_1_3_sp_x-po-4.dft 760 7267 14219
cm_2_1_4_dp_x-po-4.dft 0 15 20
cm_2_1_4_sp_x-po-4.dft 1 15 20
cm_2_2_2_dp_x-po-4.dft 111 2040 3722
cm_2_2_2_sp_x-po-4.dft 67 1002 1753
cm_2_2_3_dp_x-po-4.dft 1662 15133 30142
cm_2_2_3_sp_x-po-4.dft 731 7267 14219
cm_2_2_4_dp_x-po-4.dft 0 15 20
cm_2_2_4_sp_x-po-4.dft N/A N/A N/A
cm_3_1_2_dp_x-po-4.dft 168 2040 3722
cm_3_1_2_sp_x-po-4.dft 83 1002 1753
cm_3_1_3_dp_x-po-4.dft 2406 15133 30142
cm_3_1_3_sp_x-po-4.dft 1044 7267 14219
cm_3_1_4_dp_x-po-4.dft 0 15 20
cm_3_1_4_sp_x-po-4.dft N/A N/A N/A
cm_3_2_2_dp_x-po-4.dft 168 2040 3722
cm_3_2_2_sp_x-po-4.dft 73 1002 1753
cm_3_2_3_dp_x-po-4.dft 2293 15133 30142
cm_3_2_3_sp_x-po-4.dft 1062 7267 14219
cm_3_2_4_dp_x-po-4.dft N/A N/A N/A
cm_3_2_4_sp_x-po-4.dft 1 15 20
cm_3_3_2_dp_x-po-4.dft 180 2040 3722
cm_3_3_2_sp_x-po-4.dft 80 1002 1753
cm_3_3_3_dp_x-po-4.dft 2392 15133 30142
cm_3_3_3_sp_x-po-4.dft 1059 7267 14219
cm_3_3_4_dp_x-po-4.dft 0 15 20
cm_3_3_4_sp_x-po-4.dft 1 15 20
