benchmarkName time removedStates removedTransitions CleanMinimizer FinalStateMinimizer OrthogonalPartitionRefinementMinimizer PartitionRefinementMinimizer
cm_1_1_10_dp_x-po-4.dft 16 12 12 0 4 0 8
cm_1_1_10_sp_x-po-4.dft 0 15 15 0 5 0 10
cm_1_1_11_dp_x-po-4.dft 0 24 24 0 8 0 16
cm_1_1_11_sp_x-po-4.dft 0 12 12 0 4 0 8
cm_1_1_12_dp_x-po-4.dft 0 36 36 0 12 0 24
cm_1_1_12_sp_x-po-4.dft nan nan nan nan nan nan nan
cm_1_1_13_sp_x-po-4.dft nan nan nan nan nan nan nan
cm_1_1_14_sp_x-po-4.dft 0 33 33 0 11 0 22
cm_1_1_2_dp_x-po-4.dft 16 11 13 0 2 1 8
cm_1_1_2_sp_x-po-4.dft 0 11 13 0 2 1 8
cm_1_1_3_dp_x-po-4.dft 16 20 27 0 3 3 14
cm_1_1_3_sp_x-po-4.dft 0 20 27 0 3 3 14
cm_1_1_4_dp_x-po-4.dft 78 85 117 0 4 9 72
cm_1_1_4_sp_x-po-4.dft 79 84 116 0 4 8 72
cm_1_1_5_dp_x-po-4.dft 172 133 216 0 5 20 108
cm_1_1_5_sp_x-po-4.dft 173 128 196 0 5 15 108
cm_1_1_6_dp_x-po-4.dft 2783 1521 3070 0 6 101 1414
cm_1_1_6_sp_x-po-4.dft 2734 1533 3076 0 6 113 1414
cm_1_1_7_dp_x-po-4.dft 12297 3180 7553 0 7 196 2977
cm_1_1_7_sp_x-po-4.dft 11875 3225 7570 0 7 241 2977
cm_1_1_8_dp_x-po-4.dft 0 12 12 0 4 0 8
cm_1_1_8_sp_x-po-4.dft nan nan nan nan nan nan nan
cm_1_1_9_dp_x-po-4.dft 0 21 21 0 7 0 14
cm_1_1_9_sp_x-po-4.dft 0 15 15 0 5 0 10
cm_2_1_2_dp_x-po-4.dft 626 728 1768 0 4 8 716
cm_2_1_2_sp_x-po-4.dft 485 402 1022 0 4 12 386
cm_2_1_3_dp_x-po-4.dft 3251 2228 6126 0 6 38 2184
cm_2_1_3_sp_x-po-4.dft 4469 2244 6576 0 6 90 2148
cm_2_1_4_dp_x-po-4.dft 16 8 15 0 1 0 7
cm_2_1_4_sp_x-po-4.dft 15 56 105 0 7 0 49
cm_2_2_2_dp_x-po-4.dft 594 728 1768 0 4 8 716
cm_2_2_2_sp_x-po-4.dft 422 402 1022 0 4 12 386
cm_2_2_3_dp_x-po-4.dft 3203 2228 6126 0 6 38 2184
cm_2_2_3_sp_x-po-4.dft 4563 2241 6571 0 6 90 2145
cm_2_2_4_dp_x-po-4.dft 0 8 15 0 1 0 7
cm_2_2_4_sp_x-po-4.dft nan nan nan nan nan nan nan
cm_3_1_2_dp_x-po-4.dft 860 1092 2652 0 6 12 1074
cm_3_1_2_sp_x-po-4.dft 640 603 1533 0 6 18 579
cm_3_1_3_dp_x-po-4.dft 4875 3342 9189 0 9 57 3276
cm_3_1_3_sp_x-po-4.dft 6815 3366 9864 0 9 135 3222
cm_3_1_4_dp_x-po-4.dft 0 24 45 0 3 0 21
cm_3_1_4_sp_x-po-4.dft 0 8 15 0 1 0 7
cm_3_2_2_dp_x-po-4.dft 845 1092 2652 0 6 12 1074
cm_3_2_2_sp_x-po-4.dft 657 603 1533 0 6 18 579
cm_3_2_3_dp_x-po-4.dft 4921 3342 9189 0 9 57 3276
cm_3_2_3_sp_x-po-4.dft 6687 3363 9859 0 9 135 3219
cm_3_2_4_dp_x-po-4.dft 16 8 15 0 1 0 7
cm_3_2_4_sp_x-po-4.dft nan nan nan nan nan nan nan
cm_3_3_2_dp_x-po-4.dft 875 1092 2652 0 6 12 1074
cm_3_3_2_sp_x-po-4.dft 640 603 1533 0 6 18 579
cm_3_3_3_dp_x-po-4.dft 5203 3342 9189 0 9 57 3276
cm_3_3_3_sp_x-po-4.dft 6686 3366 9864 0 9 135 3222
cm_3_3_4_dp_x-po-4.dft 47 40 75 0 5 0 35
cm_3_3_4_sp_x-po-4.dft 0 40 75 0 5 0 35
