benchmarkName countNodes dynamic repair partialObservable FAULT AND OR VOTE SPARE POR_I PAND_I SAND POR PAND BASIC_EVENT FDEP RDEP PDEP MONITOR DELAY SEQ
cm_1_1_10_dp_x-po-5.dft 263 true false true 49 0 0 23 20 0 0 0 0 0 48 0 0 0 123 0 0
cm_1_1_10_sp_x-po-5.dft 240 true false true 48 0 0 22 20 0 0 0 0 0 47 0 0 0 103 0 0
cm_1_1_11_dp_x-po-5.dft 287 true false true 53 0 0 25 22 0 0 0 0 0 52 0 0 0 135 0 0
cm_1_1_11_sp_x-po-5.dft 262 true false true 52 0 0 24 22 0 0 0 0 0 51 0 0 0 113 0 0
cm_1_1_12_dp_x-po-5.dft 313 true false true 58 0 0 27 24 0 0 0 0 0 57 0 0 0 147 0 0
cm_1_1_12_sp_x-po-5.dft 286 true false true 57 0 0 26 24 0 0 0 0 0 56 0 0 0 123 0 0
cm_1_1_13_sp_x-po-5.dft 308 true false true 61 0 0 28 26 0 0 0 0 0 60 0 0 0 133 0 0
cm_1_1_14_sp_x-po-5.dft 332 true false true 66 0 0 30 28 0 0 0 0 0 65 0 0 0 143 0 0
cm_1_1_2_dp_x-po-5.dft 63 true false true 13 0 0 7 4 0 0 0 0 0 12 0 0 0 27 0 0
cm_1_1_2_sp_x-po-5.dft 56 true false true 12 0 0 6 4 0 0 0 0 0 11 0 0 0 23 0 0
cm_1_1_3_dp_x-po-5.dft 87 true false true 17 0 0 9 6 0 0 0 0 0 16 0 0 0 39 0 0
cm_1_1_3_sp_x-po-5.dft 78 true false true 16 0 0 8 6 0 0 0 0 0 15 0 0 0 33 0 0
cm_1_1_4_dp_x-po-5.dft 113 true false true 22 0 0 11 8 0 0 0 0 0 21 0 0 0 51 0 0
cm_1_1_4_sp_x-po-5.dft 102 true false true 21 0 0 10 8 0 0 0 0 0 20 0 0 0 43 0 0
cm_1_1_5_dp_x-po-5.dft 137 true false true 26 0 0 13 10 0 0 0 0 0 25 0 0 0 63 0 0
cm_1_1_5_sp_x-po-5.dft 124 true false true 25 0 0 12 10 0 0 0 0 0 24 0 0 0 53 0 0
cm_1_1_6_dp_x-po-5.dft 163 true false true 31 0 0 15 12 0 0 0 0 0 30 0 0 0 75 0 0
cm_1_1_6_sp_x-po-5.dft 148 true false true 30 0 0 14 12 0 0 0 0 0 29 0 0 0 63 0 0
cm_1_1_7_dp_x-po-5.dft 187 true false true 35 0 0 17 14 0 0 0 0 0 34 0 0 0 87 0 0
cm_1_1_7_sp_x-po-5.dft 170 true false true 34 0 0 16 14 0 0 0 0 0 33 0 0 0 73 0 0
cm_1_1_8_dp_x-po-5.dft 213 true false true 40 0 0 19 16 0 0 0 0 0 39 0 0 0 99 0 0
cm_1_1_8_sp_x-po-5.dft 194 true false true 39 0 0 18 16 0 0 0 0 0 38 0 0 0 83 0 0
cm_1_1_9_dp_x-po-5.dft 237 true false true 44 0 0 21 18 0 0 0 0 0 43 0 0 0 111 0 0
cm_1_1_9_sp_x-po-5.dft 216 true false true 43 0 0 20 18 0 0 0 0 0 42 0 0 0 93 0 0
cm_2_1_2_dp_x-po-5.dft 119 true false true 25 0 0 15 8 0 0 0 0 0 24 0 0 0 47 0 0
cm_2_1_2_sp_x-po-5.dft 113 true false true 23 0 0 13 8 0 0 0 0 0 22 0 0 0 47 0 0
cm_2_1_3_dp_x-po-5.dft 163 true false true 33 0 0 19 12 0 0 0 0 0 32 0 0 0 67 0 0
cm_2_1_3_sp_x-po-5.dft 157 true false true 31 0 0 17 12 0 0 0 0 0 30 0 0 0 67 0 0
cm_2_1_4_dp_x-po-5.dft 211 true false true 43 0 0 23 16 0 0 0 0 0 42 0 0 0 87 0 0
cm_2_1_4_sp_x-po-5.dft 205 true false true 41 0 0 21 16 0 0 0 0 0 40 0 0 0 87 0 0
cm_2_2_2_dp_x-po-5.dft 119 true false true 25 0 0 15 8 0 0 0 0 0 24 0 0 0 47 0 0
cm_2_2_2_sp_x-po-5.dft 113 true false true 23 0 0 13 8 0 0 0 0 0 22 0 0 0 47 0 0
cm_2_2_3_dp_x-po-5.dft 163 true false true 33 0 0 19 12 0 0 0 0 0 32 0 0 0 67 0 0
cm_2_2_3_sp_x-po-5.dft 157 true false true 31 0 0 17 12 0 0 0 0 0 30 0 0 0 67 0 0
cm_2_2_4_dp_x-po-5.dft 211 true false true 43 0 0 23 16 0 0 0 0 0 42 0 0 0 87 0 0
cm_2_2_4_sp_x-po-5.dft 205 true false true 41 0 0 21 16 0 0 0 0 0 40 0 0 0 87 0 0
cm_3_1_2_dp_x-po-5.dft 177 true false true 37 0 0 22 12 0 0 0 0 0 36 0 0 0 70 0 0
cm_3_1_2_sp_x-po-5.dft 168 true false true 34 0 0 19 12 0 0 0 0 0 33 0 0 0 70 0 0
cm_3_1_3_dp_x-po-5.dft 243 true false true 49 0 0 28 18 0 0 0 0 0 48 0 0 0 100 0 0
cm_3_1_3_sp_x-po-5.dft 234 true false true 46 0 0 25 18 0 0 0 0 0 45 0 0 0 100 0 0
cm_3_1_4_dp_x-po-5.dft 315 true false true 64 0 0 34 24 0 0 0 0 0 63 0 0 0 130 0 0
cm_3_1_4_sp_x-po-5.dft 306 true false true 61 0 0 31 24 0 0 0 0 0 60 0 0 0 130 0 0
cm_3_2_2_dp_x-po-5.dft 177 true false true 37 0 0 22 12 0 0 0 0 0 36 0 0 0 70 0 0
cm_3_2_2_sp_x-po-5.dft 168 true false true 34 0 0 19 12 0 0 0 0 0 33 0 0 0 70 0 0
cm_3_2_3_dp_x-po-5.dft 243 true false true 49 0 0 28 18 0 0 0 0 0 48 0 0 0 100 0 0
cm_3_2_3_sp_x-po-5.dft 234 true false true 46 0 0 25 18 0 0 0 0 0 45 0 0 0 100 0 0
cm_3_2_4_dp_x-po-5.dft 315 true false true 64 0 0 34 24 0 0 0 0 0 63 0 0 0 130 0 0
cm_3_2_4_sp_x-po-5.dft 306 true false true 61 0 0 31 24 0 0 0 0 0 60 0 0 0 130 0 0
cm_3_3_2_dp_x-po-5.dft 177 true false true 37 0 0 22 12 0 0 0 0 0 36 0 0 0 70 0 0
cm_3_3_2_sp_x-po-5.dft 168 true false true 34 0 0 19 12 0 0 0 0 0 33 0 0 0 70 0 0
cm_3_3_3_dp_x-po-5.dft 243 true false true 49 0 0 28 18 0 0 0 0 0 48 0 0 0 100 0 0
cm_3_3_3_sp_x-po-5.dft 234 true false true 46 0 0 25 18 0 0 0 0 0 45 0 0 0 100 0 0
cm_3_3_4_dp_x-po-5.dft 315 true false true 64 0 0 34 24 0 0 0 0 0 63 0 0 0 130 0 0
cm_3_3_4_sp_x-po-5.dft 306 true false true 61 0 0 31 24 0 0 0 0 0 60 0 0 0 130 0 0
