benchmarkName countNodes dynamic repair partialObservable FAULT AND OR VOTE SPARE POR_I PAND_I SAND POR PAND BASIC_EVENT FDEP RDEP PDEP MONITOR DELAY SEQ
rc.1-1-hc-po-5.dft 100 true false true 22 0 0 9 3 0 0 0 1 0 21 2 0 0 42 0 0
rc.1-1-sc-po-5.dft 44 true false true 10 0 0 4 1 0 0 0 1 0 9 1 0 0 18 0 0
rc.1-10-hc-po-5.dft 255 true false true 49 0 0 28 12 0 0 0 10 0 48 2 0 0 106 0 0
rc.1-10-sc-po-5.dft 199 true false true 37 0 0 23 10 0 0 0 10 0 36 1 0 0 82 0 0
rc.1-15-hc-po-5.dft 340 true false true 64 0 0 38 17 0 0 0 15 0 63 2 0 0 141 0 0
rc.1-15-sc-po-5.dft 284 true false true 52 0 0 33 15 0 0 0 15 0 51 1 0 0 117 0 0
rc.1-2-hc-po-5.dft 119 true false true 25 0 0 12 4 0 0 0 2 0 24 2 0 0 50 0 0
rc.1-2-sc-po-5.dft 63 true false true 13 0 0 7 2 0 0 0 2 0 12 1 0 0 26 0 0
rc.1-20-hc-po-5.dft 425 true false true 79 0 0 48 22 0 0 0 20 0 78 2 0 0 176 0 0
rc.1-20-sc-po-5.dft 369 true false true 67 0 0 43 20 0 0 0 20 0 66 1 0 0 152 0 0
rc.1-25-hc-po-5.dft 510 true false true 94 0 0 58 27 0 0 0 25 0 93 2 0 0 211 0 0
rc.1-25-sc-po-5.dft 454 true false true 82 0 0 53 25 0 0 0 25 0 81 1 0 0 187 0 0
rc.1-3-hc-po-5.dft 136 true false true 28 0 0 14 5 0 0 0 3 0 27 2 0 0 57 0 0
rc.1-3-sc-po-5.dft 80 true false true 16 0 0 9 3 0 0 0 3 0 15 1 0 0 33 0 0
rc.1-30-hc-po-5.dft 595 true false true 109 0 0 68 32 0 0 0 30 0 108 2 0 0 246 0 0
rc.1-30-sc-po-5.dft 539 true false true 97 0 0 63 30 0 0 0 30 0 96 1 0 0 222 0 0
rc.1-4-hc-po-5.dft 153 true false true 31 0 0 16 6 0 0 0 4 0 30 2 0 0 64 0 0
rc.1-4-sc-po-5.dft 97 true false true 19 0 0 11 4 0 0 0 4 0 18 1 0 0 40 0 0
rc.1-5-hc-po-5.dft 170 true false true 34 0 0 18 7 0 0 0 5 0 33 2 0 0 71 0 0
rc.1-5-sc-po-5.dft 114 true false true 22 0 0 13 5 0 0 0 5 0 21 1 0 0 47 0 0
rc.10-1-hc-po-5.dft 291 true false true 67 0 0 19 3 0 0 0 1 0 66 11 0 0 124 0 0
rc.10-1-sc-po-5.dft 235 true false true 55 0 0 14 1 0 0 0 1 0 54 10 0 0 100 0 0
rc.10-10-hc-po-5.dft 446 true false true 94 0 0 38 12 0 0 0 10 0 93 11 0 0 188 0 0
rc.10-10-sc-po-5.dft 390 true false true 82 0 0 33 10 0 0 0 10 0 81 10 0 0 164 0 0
rc.15-1-hc-po-5.dft 396 true false true 92 0 0 24 3 0 0 0 1 0 91 16 0 0 169 0 0
rc.15-1-sc-po-5.dft 340 true false true 80 0 0 19 1 0 0 0 1 0 79 15 0 0 145 0 0
rc.15-15-hc-po-5.dft 636 true false true 134 0 0 53 17 0 0 0 15 0 133 16 0 0 268 0 0
rc.15-15-sc-po-5.dft 580 true false true 122 0 0 48 15 0 0 0 15 0 121 15 0 0 244 0 0
rc.2-1-hc-po-5.dft 123 true false true 27 0 0 11 3 0 0 0 1 0 26 3 0 0 52 0 0
rc.2-1-sc-po-5.dft 67 true false true 15 0 0 6 1 0 0 0 1 0 14 2 0 0 28 0 0
rc.2-2-hc-po-5.dft 142 true false true 30 0 0 14 4 0 0 0 2 0 29 3 0 0 60 0 0
rc.2-2-sc-po-5.dft 86 true false true 18 0 0 9 2 0 0 0 2 0 17 2 0 0 36 0 0
rc.2-3-hc-po-5.dft 159 true false true 33 0 0 16 5 0 0 0 3 0 32 3 0 0 67 0 0
rc.2-3-sc-po-5.dft 103 true false true 21 0 0 11 3 0 0 0 3 0 20 2 0 0 43 0 0
rc.2-4-hc-po-5.dft 176 true false true 36 0 0 18 6 0 0 0 4 0 35 3 0 0 74 0 0
rc.2-4-sc-po-5.dft 120 true false true 24 0 0 13 4 0 0 0 4 0 23 2 0 0 50 0 0
rc.20-1-hc-po-5.dft 501 true false true 117 0 0 29 3 0 0 0 1 0 116 21 0 0 214 0 0
rc.20-1-sc-po-5.dft 445 true false true 105 0 0 24 1 0 0 0 1 0 104 20 0 0 190 0 0
rc.20-20-hc-po-5.dft 826 true false true 174 0 0 68 22 0 0 0 20 0 173 21 0 0 348 0 0
rc.20-20-sc-po-5.dft 770 true false true 162 0 0 63 20 0 0 0 20 0 161 20 0 0 324 0 0
