benchmarkName time maxStates maxTransitions
hecs_1_1-po-1.dft 0 20 33
hecs_2_1-po-1.dft 782 14986 62876
hecs_2_2-po-1.dft 750 14986 62876
hecs_3_1-po-1.dft 1140 14986 62876
hecs_3_3-po-1.dft 1140 14986 62876
hecs_4_1-po-1.dft 1485 14986 62876
hecs_4_2-po-1.dft 1471 14986 62876
hecs_4_3-po-1.dft 1469 14986 62876
hecs_4_4-po-1.dft 1454 14986 62876
hecs_5_1-po-1.dft 1813 14986 62876
hecs_5_5-po-1.dft 1781 14986 62876
hecs_6_1-po-1.dft 2188 14986 62876
hecs_6_6-po-1.dft 2158 14986 62876
hecs_7_1-po-1.dft 2515 14986 62876
hecs_7_7-po-1.dft 2608 14986 62876
hecs_8_1-po-1.dft 2984 14986 62876
hecs_8_8-po-1.dft 2889 14986 62876
