benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize raSize
hecs_1_1-po-1.dft 78 6 5 14 1 1
hecs_2_1-po-1.dft 7105 4 2 34 19 4
hecs_2_2-po-1.dft 7094 4 2 34 19 4
hecs_3_1-po-1.dft 10422 5 2 35 19 8
hecs_3_3-po-1.dft 10437 5 2 35 19 8
hecs_4_1-po-1.dft 14250 6 2 36 19 16
hecs_4_2-po-1.dft 14198 6 2 36 19 16
hecs_4_3-po-1.dft 14156 6 2 36 19 16
hecs_4_4-po-1.dft 14204 6 2 36 19 16
hecs_5_1-po-1.dft 17841 7 2 37 19 32
hecs_5_5-po-1.dft 17625 7 2 37 19 32
hecs_6_1-po-1.dft 20531 8 2 38 19 64
hecs_6_6-po-1.dft 20590 8 2 38 19 64
hecs_7_1-po-1.dft 24203 9 2 39 19 128
hecs_7_7-po-1.dft 24419 9 2 39 19 128
hecs_8_1-po-1.dft 28406 10 2 40 19 256
hecs_8_8-po-1.dft 28262 10 2 40 19 256
