benchmarkName time removedStates removedTransitions
hecs_1_1-po-2.dft 14 18 49 0 0 1 17
hecs_2_1-po-2.dft N/A N/A N/A
hecs_2_2-po-2.dft N/A N/A N/A
hecs_3_1-po-2.dft N/A N/A N/A
hecs_3_3-po-2.dft N/A N/A N/A
hecs_4_1-po-2.dft N/A N/A N/A
hecs_4_2-po-2.dft N/A N/A N/A
hecs_4_3-po-2.dft N/A N/A N/A
hecs_4_4-po-2.dft N/A N/A N/A
hecs_5_1-po-2.dft N/A N/A N/A
hecs_5_5-po-2.dft N/A N/A N/A
hecs_6_1-po-2.dft N/A N/A N/A
hecs_6_6-po-2.dft N/A N/A N/A
hecs_7_1-po-2.dft N/A N/A N/A
hecs_7_7-po-2.dft N/A N/A N/A
hecs_8_1-po-2.dft N/A N/A N/A
hecs_8_8-po-2.dft N/A N/A N/A
