benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize raSize
cm_1_1_10_dp_x-po-3.dft 1200000 11 0 N/A N/A N/A
cm_1_1_10_sp_x-po-3.dft 1200000 11 0 48 1 N/A
cm_1_1_11_dp_x-po-3.dft 1200000 12 0 52 1 N/A
cm_1_1_11_sp_x-po-3.dft 1200000 12 0 52 1 N/A
cm_1_1_12_dp_x-po-3.dft 1200000 13 0 56 1 N/A
cm_1_1_12_sp_x-po-3.dft 1200000 13 0 56 1 N/A
cm_1_1_13_sp_x-po-3.dft 1200000 14 0 60 1 N/A
cm_1_1_14_sp_x-po-3.dft 1200000 15 0 N/A N/A N/A
cm_1_1_2_dp_x-po-3.dft 14391 3 0 47 420 164
cm_1_1_2_sp_x-po-3.dft 5532 3 0 44 263 156
cm_1_1_3_dp_x-po-3.dft 1800000 4 0 N/A N/A N/A
cm_1_1_3_sp_x-po-3.dft 1800000 4 0 20 1 N/A
cm_1_1_4_dp_x-po-3.dft 1200000 5 0 24 1 N/A
cm_1_1_4_sp_x-po-3.dft 1200000 5 0 N/A N/A N/A
cm_1_1_5_dp_x-po-3.dft 1200000 6 0 28 1 N/A
cm_1_1_5_sp_x-po-3.dft 1200000 6 0 N/A N/A N/A
cm_1_1_6_dp_x-po-3.dft 1200000 7 0 32 1 N/A
cm_1_1_6_sp_x-po-3.dft 1200000 7 0 32 1 N/A
cm_1_1_7_dp_x-po-3.dft 1200000 8 0 N/A N/A N/A
cm_1_1_7_sp_x-po-3.dft 1200000 8 0 36 1 N/A
cm_1_1_8_dp_x-po-3.dft 1200000 9 0 40 1 N/A
cm_1_1_8_sp_x-po-3.dft 1200000 9 0 40 1 N/A
cm_1_1_9_dp_x-po-3.dft 1200000 10 0 44 1 N/A
cm_1_1_9_sp_x-po-3.dft 1200000 10 0 44 1 N/A
cm_2_1_2_dp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_2_1_2_sp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_2_1_3_dp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_2_1_3_sp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_2_1_4_dp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_2_1_4_sp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_2_2_2_dp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_2_2_2_sp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_2_2_3_dp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_2_2_3_sp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_2_2_4_dp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_2_2_4_sp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_3_1_2_dp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_3_1_2_sp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_3_1_3_dp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_3_1_3_sp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_3_1_4_dp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_3_1_4_sp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_3_2_2_dp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_3_2_2_sp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_3_2_3_dp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_3_2_3_sp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_3_2_4_dp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_3_2_4_sp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_3_3_2_dp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_3_3_2_sp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_3_3_3_dp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_3_3_3_sp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_3_3_4_dp_x-po-3.dft 1200000 1 0 N/A N/A N/A
cm_3_3_4_sp_x-po-3.dft 1200000 1 0 N/A N/A N/A
