benchmarkName countNodes dynamic repair partialObservable FAULT AND OR VOTE SPARE POR_I PAND_I SAND POR PAND BASIC_EVENT FDEP RDEP PDEP MONITOR DELAY SEQ
hecs_1_1-po-3.dft 34 true false true 13 0 0 5 2 0 0 0 0 0 12 0 0 0 2 0 0
hecs_2_1-po-3.dft 66 true false true 25 0 0 11 4 0 0 0 0 0 24 0 0 0 2 0 0
hecs_2_2-po-3.dft 66 true false true 25 0 0 11 4 0 0 0 0 0 24 0 0 0 2 0 0
hecs_3_1-po-3.dft 97 true false true 37 0 0 16 6 0 0 0 0 0 36 0 0 0 2 0 0
hecs_3_3-po-3.dft 97 true false true 37 0 0 16 6 0 0 0 0 0 36 0 0 0 2 0 0
hecs_4_1-po-3.dft 128 true false true 49 0 0 21 8 0 0 0 0 0 48 0 0 0 2 0 0
hecs_4_2-po-3.dft 128 true false true 49 0 0 21 8 0 0 0 0 0 48 0 0 0 2 0 0
hecs_4_3-po-3.dft 128 true false true 49 0 0 21 8 0 0 0 0 0 48 0 0 0 2 0 0
hecs_4_4-po-3.dft 128 true false true 49 0 0 21 8 0 0 0 0 0 48 0 0 0 2 0 0
hecs_5_1-po-3.dft 159 true false true 61 0 0 26 10 0 0 0 0 0 60 0 0 0 2 0 0
hecs_5_5-po-3.dft 159 true false true 61 0 0 26 10 0 0 0 0 0 60 0 0 0 2 0 0
hecs_6_1-po-3.dft 190 true false true 73 0 0 31 12 0 0 0 0 0 72 0 0 0 2 0 0
hecs_6_6-po-3.dft 190 true false true 73 0 0 31 12 0 0 0 0 0 72 0 0 0 2 0 0
hecs_7_1-po-3.dft 221 true false true 85 0 0 36 14 0 0 0 0 0 84 0 0 0 2 0 0
hecs_7_7-po-3.dft 221 true false true 85 0 0 36 14 0 0 0 0 0 84 0 0 0 2 0 0
hecs_8_1-po-3.dft 252 true false true 97 0 0 41 16 0 0 0 0 0 96 0 0 0 2 0 0
hecs_8_8-po-3.dft 252 true false true 97 0 0 41 16 0 0 0 0 0 96 0 0 0 2 0 0
