benchmarkName time removedStates removedTransitions CleanMinimizer FinalStateMinimizer OrthogonalPartitionRefinementMinimizer PartitionRefinementMinimizer
hecs_1_1-po-3.dft 20 27 82 0 1 0 26
hecs_2_1-po-3.dft 29 36 98 0 0 2 34
hecs_2_2-po-3.dft 27 36 98 0 0 2 34
hecs_3_1-po-3.dft 43 54 147 0 0 3 51
hecs_3_3-po-3.dft 42 54 147 0 0 3 51
hecs_4_1-po-3.dft 56 72 196 0 0 4 68
hecs_4_2-po-3.dft 55 72 196 0 0 4 68
hecs_4_3-po-3.dft 59 72 196 0 0 4 68
hecs_4_4-po-3.dft 61 72 196 0 0 4 68
hecs_5_1-po-3.dft 69 90 245 0 0 5 85
hecs_5_5-po-3.dft 69 90 245 0 0 5 85
hecs_6_1-po-3.dft 85 108 294 0 0 6 102
hecs_6_6-po-3.dft 84 108 294 0 0 6 102
hecs_7_1-po-3.dft 98 126 343 0 0 7 119
hecs_7_7-po-3.dft 110 126 343 0 0 7 119
hecs_8_1-po-3.dft 113 144 392 0 0 8 136
hecs_8_8-po-3.dft 115 144 392 0 0 8 136
