benchmarkName time maxStates maxTransitions
rc.1-1-hc-po-3.dft 18 228 442
rc.1-1-sc-po-3.dft 13 228 442
rc.1-10-hc-po-3.dft 31 172 349
rc.1-10-sc-po-3.dft 25 107 179
rc.1-15-hc-po-3.dft 38 172 349
rc.1-15-sc-po-3.dft 40 107 179
rc.1-2-hc-po-3.dft 9 172 349
rc.1-2-sc-po-3.dft 4 107 179
rc.1-20-hc-po-3.dft 53 172 349
rc.1-20-sc-po-3.dft 47 107 179
rc.1-25-hc-po-3.dft 62 172 349
rc.1-25-sc-po-3.dft 58 107 179
rc.1-3-hc-po-3.dft 14 172 349
rc.1-3-sc-po-3.dft 7 107 179
rc.1-30-hc-po-3.dft 77 172 349
rc.1-30-sc-po-3.dft 71 107 179
rc.1-4-hc-po-3.dft 16 172 349
rc.1-4-sc-po-3.dft 9 107 179
rc.1-5-hc-po-3.dft 18 172 349
rc.1-5-sc-po-3.dft 12 107 179
rc.10-1-hc-po-3.dft 20 228 442
rc.10-1-sc-po-3.dft 12 228 442
rc.10-10-hc-po-3.dft 28 172 349
rc.10-10-sc-po-3.dft 22 107 179
rc.15-1-hc-po-3.dft 18 228 442
rc.15-1-sc-po-3.dft 13 228 442
rc.15-15-hc-po-3.dft 40 172 349
rc.15-15-sc-po-3.dft 38 107 179
rc.2-1-hc-po-3.dft 17 228 442
rc.2-1-sc-po-3.dft 12 228 442
rc.2-2-hc-po-3.dft 11 172 349
rc.2-2-sc-po-3.dft 5 107 179
rc.2-3-hc-po-3.dft 11 172 349
rc.2-3-sc-po-3.dft 9 107 179
rc.2-4-hc-po-3.dft 13 172 349
rc.2-4-sc-po-3.dft 8 107 179
rc.20-1-hc-po-3.dft 29 228 442
rc.20-1-sc-po-3.dft 12 228 442
rc.20-20-hc-po-3.dft 54 172 349
rc.20-20-sc-po-3.dft 44 107 179
rc.25-1-hc-po-3.dft 18 228 442
rc.25-1-sc-po-3.dft 13 228 442
rc.25-25-hc-po-3.dft 61 172 349
rc.25-25-sc-po-3.dft 59 107 179
rc.3-1-hc-po-3.dft 18 228 442
rc.3-1-sc-po-3.dft 12 228 442
rc.3-2-hc-po-3.dft 10 172 349
rc.3-2-sc-po-3.dft 4 107 179
rc.3-3-hc-po-3.dft 12 172 349
rc.3-3-sc-po-3.dft 8 107 179
rc.3-4-hc-po-3.dft 14 172 349
rc.3-4-sc-po-3.dft 8 107 179
rc.30-1-hc-po-3.dft 19 228 442
rc.30-1-sc-po-3.dft 13 228 442
rc.30-30-hc-po-3.dft 75 172 349
rc.30-30-sc-po-3.dft 87 107 179
rc.4-1-hc-po-3.dft 18 228 442
rc.4-1-sc-po-3.dft 12 228 442
rc.4-2-hc-po-3.dft 10 172 349
rc.4-2-sc-po-3.dft 5 107 179
rc.4-3-hc-po-3.dft 13 172 349
rc.4-3-sc-po-3.dft 6 107 179
rc.4-4-hc-po-3.dft 13 172 349
rc.4-4-sc-po-3.dft 8 107 179
rc.5-1-hc-po-3.dft 19 228 442
rc.5-1-sc-po-3.dft 12 228 442
rc.5-5-hc-po-3.dft 17 172 349
rc.5-5-sc-po-3.dft 11 107 179
