benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize
rc.1-1-hc-po-3.dft 426 9 7 12 6
rc.1-1-sc-po-3.dft 159 5 4 12 6
rc.1-10-hc-po-3.dft 1478 19 8 12 4
rc.1-10-sc-po-3.dft 1010 15 5 12 1
rc.1-15-hc-po-3.dft 2415 24 8 12 4
rc.1-15-sc-po-3.dft 1819 20 5 12 1
rc.1-2-hc-po-3.dft 421 11 8 12 4
rc.1-2-sc-po-3.dft 147 7 5 12 1
rc.1-20-hc-po-3.dft 3570 29 8 12 4
rc.1-20-sc-po-3.dft 2860 25 5 12 1
rc.1-25-hc-po-3.dft 4922 34 8 12 4
rc.1-25-sc-po-3.dft 4076 30 5 12 1
rc.1-3-hc-po-3.dft 518 12 8 12 4
rc.1-3-sc-po-3.dft 225 8 5 12 1
rc.1-30-hc-po-3.dft 6494 39 8 12 4
rc.1-30-sc-po-3.dft 5517 35 5 12 1
rc.1-4-hc-po-3.dft 637 13 8 12 4
rc.1-4-sc-po-3.dft 313 9 5 12 1
rc.1-5-hc-po-3.dft 753 14 8 12 4
rc.1-5-sc-po-3.dft 403 10 5 12 1
rc.10-1-hc-po-3.dft 1259 19 17 12 6
rc.10-1-sc-po-3.dft 777 15 14 12 6
rc.10-10-hc-po-3.dft 3086 29 18 12 4
rc.10-10-sc-po-3.dft 2386 25 15 12 1
rc.15-1-hc-po-3.dft 2057 24 22 12 6
rc.15-1-sc-po-3.dft 1439 20 19 12 6
rc.15-15-hc-po-3.dft 5881 39 23 12 4
rc.15-15-sc-po-3.dft 5326 35 20 12 1
rc.2-1-hc-po-3.dft 469 11 9 12 6
rc.2-1-sc-po-3.dft 191 7 6 12 6
rc.2-2-hc-po-3.dft 492 13 10 12 4
rc.2-2-sc-po-3.dft 196 9 7 12 1
rc.2-3-hc-po-3.dft 601 14 10 12 4
rc.2-3-sc-po-3.dft 292 10 7 12 1
rc.2-4-hc-po-3.dft 731 15 10 12 4
rc.2-4-sc-po-3.dft 378 11 7 12 1
rc.20-1-hc-po-3.dft 3128 29 27 12 6
rc.20-1-sc-po-3.dft 2355 25 24 12 6
rc.20-20-hc-po-3.dft 9543 49 28 12 4
rc.20-20-sc-po-3.dft 8304 45 25 12 1
rc.25-1-hc-po-3.dft 4302 34 32 12 6
rc.25-1-sc-po-3.dft 3464 30 29 12 6
rc.25-25-hc-po-3.dft 14147 59 33 12 4
rc.25-25-sc-po-3.dft 12636 55 30 12 1
rc.3-1-hc-po-3.dft 547 12 10 12 6
rc.3-1-sc-po-3.dft 234 8 7 12 6
rc.3-2-hc-po-3.dft 566 14 11 12 4
rc.3-2-sc-po-3.dft 242 10 8 12 1
rc.3-3-hc-po-3.dft 699 15 11 12 4
rc.3-3-sc-po-3.dft 341 11 8 12 1
rc.3-4-hc-po-3.dft 830 16 11 12 4
rc.3-4-sc-po-3.dft 445 12 8 12 1
rc.30-1-hc-po-3.dft 5798 39 37 12 6
rc.30-1-sc-po-3.dft 4818 35 34 12 6
rc.30-30-hc-po-3.dft 19546 69 38 12 4
rc.30-30-sc-po-3.dft 18259 65 35 12 1
rc.4-1-hc-po-3.dft 731 13 11 12 6
rc.4-1-sc-po-3.dft 286 9 8 12 6
rc.4-2-hc-po-3.dft 657 15 12 12 4
rc.4-2-sc-po-3.dft 308 11 9 12 1
rc.4-3-hc-po-3.dft 795 16 12 12 4
rc.4-3-sc-po-3.dft 411 12 9 12 1
rc.4-4-hc-po-3.dft 938 17 12 12 4
rc.4-4-sc-po-3.dft 531 13 9 12 1
rc.5-1-hc-po-3.dft 743 14 12 12 6
rc.5-1-sc-po-3.dft 344 10 9 12 6
rc.5-5-hc-po-3.dft 1202 19 13 12 4
rc.5-5-sc-po-3.dft 740 15 10 12 1
