benchmarkName time removedStates removedTransitions CleanMinimizer FinalStateMinimizer OrthogonalPartitionRefinementMinimizer PartitionRefinementMinimizer
cm_1_1_10_dp_x-po-4.dft 0 24 24 0 8 0 16
cm_1_1_10_sp_x-po-4.dft 15 15 15 0 5 0 10
cm_1_1_11_dp_x-po-4.dft 15 12 12 0 4 0 8
cm_1_1_11_sp_x-po-4.dft 0 30 30 0 10 0 20
cm_1_1_12_dp_x-po-4.dft 15 12 12 0 4 0 8
cm_1_1_12_sp_x-po-4.dft 31 27 27 0 9 0 18
cm_1_1_13_sp_x-po-4.dft 0 15 15 0 5 0 10
cm_1_1_14_sp_x-po-4.dft 0 36 36 0 12 0 24
cm_1_1_2_dp_x-po-4.dft 15 11 13 0 2 1 8
cm_1_1_2_sp_x-po-4.dft 16 11 13 0 2 1 8
cm_1_1_3_dp_x-po-4.dft 0 20 27 0 3 3 14
cm_1_1_3_sp_x-po-4.dft 16 20 27 0 3 3 14
cm_1_1_4_dp_x-po-4.dft 93 82 114 0 4 6 72
cm_1_1_4_sp_x-po-4.dft 63 85 114 0 4 9 72
cm_1_1_5_dp_x-po-4.dft 156 131 215 0 5 18 108
cm_1_1_5_sp_x-po-4.dft 187 122 193 0 5 9 108
cm_1_1_6_dp_x-po-4.dft 2796 1522 3074 0 6 102 1414
cm_1_1_6_sp_x-po-4.dft 2781 1534 3095 0 6 114 1414
cm_1_1_7_dp_x-po-4.dft 12168 3191 7549 0 7 207 2977
cm_1_1_7_sp_x-po-4.dft 11985 3193 7562 0 7 209 2977
cm_1_1_8_dp_x-po-4.dft 0 18 18 0 6 0 12
cm_1_1_8_sp_x-po-4.dft nan nan nan nan nan nan nan
cm_1_1_9_dp_x-po-4.dft nan nan nan nan nan nan nan
cm_1_1_9_sp_x-po-4.dft 0 9 9 0 3 0 6
cm_2_1_2_dp_x-po-4.dft 16 32 60 0 4 0 28
cm_2_1_2_sp_x-po-4.dft 0 8 15 0 1 0 7
cm_2_1_3_dp_x-po-4.dft 0 8 15 0 1 0 7
cm_2_1_3_sp_x-po-4.dft 15 48 90 0 6 0 42
cm_2_1_4_dp_x-po-4.dft 15 16 30 0 2 0 14
cm_2_1_4_sp_x-po-4.dft 31 48 90 0 6 0 42
cm_2_2_2_dp_x-po-4.dft nan nan nan nan nan nan nan
cm_2_2_2_sp_x-po-4.dft 0 32 60 0 4 0 28
cm_2_2_3_dp_x-po-4.dft 16 40 75 0 5 0 35
cm_2_2_3_sp_x-po-4.dft 15 16 30 0 2 0 14
cm_2_2_4_dp_x-po-4.dft 15 64 120 0 8 0 56
cm_2_2_4_sp_x-po-4.dft nan nan nan nan nan nan nan
cm_3_1_2_dp_x-po-4.dft 16 32 60 0 4 0 28
cm_3_1_2_sp_x-po-4.dft 0 24 45 0 3 0 21
cm_3_1_3_dp_x-po-4.dft 15 72 135 0 9 0 63
cm_3_1_3_sp_x-po-4.dft 16 8 15 0 1 0 7
cm_3_1_4_dp_x-po-4.dft 0 24 45 0 3 0 21
cm_3_1_4_sp_x-po-4.dft nan nan nan nan nan nan nan
cm_3_2_2_dp_x-po-4.dft 0 24 45 0 3 0 21
cm_3_2_2_sp_x-po-4.dft 0 16 30 0 2 0 14
cm_3_2_3_dp_x-po-4.dft 0 8 15 0 1 0 7
cm_3_2_3_sp_x-po-4.dft 0 40 75 0 5 0 35
cm_3_2_4_dp_x-po-4.dft nan nan nan nan nan nan nan
cm_3_2_4_sp_x-po-4.dft 0 88 165 0 11 0 77
cm_3_3_2_dp_x-po-4.dft 0 24 45 0 3 0 21
cm_3_3_2_sp_x-po-4.dft 0 8 15 0 1 0 7
cm_3_3_3_dp_x-po-4.dft 31 48 90 0 6 0 42
cm_3_3_3_sp_x-po-4.dft 32 48 90 0 6 0 42
cm_3_3_4_dp_x-po-4.dft 141 88 165 0 11 0 77
cm_3_3_4_sp_x-po-4.dft 0 88 165 0 11 0 77
