benchmarkName time removedStates removedTransitions CleanMinimizer FinalStateMinimizer OrthogonalPartitionRefinementMinimizer PartitionRefinementMinimizer
rc.1-1-hc-po-4.dft 32 30 85 0 2 0 28
rc.1-1-sc-po-4.dft 3 3 3 0 1 0 2
rc.1-10-hc-po-4.dft 551 677 2302 0 1 0 676
rc.1-10-sc-po-4.dft 533 650 2220 0 0 0 650
rc.1-15-hc-po-4.dft 887 1002 3412 0 1 0 1001
rc.1-15-sc-po-4.dft 827 975 3330 0 0 0 975
rc.1-2-hc-po-4.dft 127 157 526 0 1 0 156
rc.1-2-sc-po-4.dft 108 130 444 0 0 0 130
rc.1-20-hc-po-4.dft 1081 1327 4522 0 1 0 1326
rc.1-20-sc-po-4.dft 1071 1300 4440 0 0 0 1300
rc.1-25-hc-po-4.dft 1361 1652 5632 0 1 0 1651
rc.1-25-sc-po-4.dft 1335 1625 5550 0 0 0 1625
rc.1-3-hc-po-4.dft 177 222 748 0 1 0 221
rc.1-3-sc-po-4.dft 160 195 666 0 0 0 195
rc.1-30-hc-po-4.dft 1629 1977 6742 0 1 0 1976
rc.1-30-sc-po-4.dft 1608 1950 6660 0 0 0 1950
rc.1-4-hc-po-4.dft 235 287 970 0 1 0 286
rc.1-4-sc-po-4.dft 214 260 888 0 0 0 260
rc.1-5-hc-po-4.dft 289 352 1192 0 1 0 351
rc.1-5-sc-po-4.dft 258 325 1110 0 0 0 325
rc.10-1-hc-po-4.dft 26 30 85 0 2 0 28
rc.10-1-sc-po-4.dft 3 3 3 0 1 0 2
rc.10-10-hc-po-4.dft 555 677 2302 0 1 0 676
rc.10-10-sc-po-4.dft 545 650 2220 0 0 0 650
rc.15-1-hc-po-4.dft 22 30 85 0 2 0 28
rc.15-1-sc-po-4.dft 1 3 3 0 1 0 2
rc.15-15-hc-po-4.dft 839 1002 3412 0 1 0 1001
rc.15-15-sc-po-4.dft 800 975 3330 0 0 0 975
rc.2-1-hc-po-4.dft 21 30 85 0 2 0 28
rc.2-1-sc-po-4.dft 2 3 3 0 1 0 2
rc.2-2-hc-po-4.dft 124 157 526 0 1 0 156
rc.2-2-sc-po-4.dft 107 130 444 0 0 0 130
rc.2-3-hc-po-4.dft 177 222 748 0 1 0 221
rc.2-3-sc-po-4.dft 164 195 666 0 0 0 195
rc.2-4-hc-po-4.dft 233 287 970 0 1 0 286
rc.2-4-sc-po-4.dft 211 260 888 0 0 0 260
rc.20-1-hc-po-4.dft 21 30 85 0 2 0 28
rc.20-1-sc-po-4.dft 2 3 3 0 1 0 2
rc.20-20-hc-po-4.dft 1071 1327 4522 0 1 0 1326
rc.20-20-sc-po-4.dft 1052 1300 4440 0 0 0 1300
rc.25-1-hc-po-4.dft 23 30 85 0 2 0 28
rc.25-1-sc-po-4.dft 2 3 3 0 1 0 2
rc.25-25-hc-po-4.dft 1362 1652 5632 0 1 0 1651
rc.25-25-sc-po-4.dft 1335 1625 5550 0 0 0 1625
rc.3-1-hc-po-4.dft 21 30 85 0 2 0 28
rc.3-1-sc-po-4.dft 2 3 3 0 1 0 2
rc.3-2-hc-po-4.dft 128 157 526 0 1 0 156
rc.3-2-sc-po-4.dft 106 130 444 0 0 0 130
rc.3-3-hc-po-4.dft 182 222 748 0 1 0 221
rc.3-3-sc-po-4.dft 162 195 666 0 0 0 195
rc.3-4-hc-po-4.dft 235 287 970 0 1 0 286
rc.3-4-sc-po-4.dft 216 260 888 0 0 0 260
rc.30-1-hc-po-4.dft 22 30 85 0 2 0 28
rc.30-1-sc-po-4.dft 2 3 3 0 1 0 2
rc.30-30-hc-po-4.dft 1616 1977 6742 0 1 0 1976
rc.30-30-sc-po-4.dft 1591 1950 6660 0 0 0 1950
rc.4-1-hc-po-4.dft 23 30 85 0 2 0 28
rc.4-1-sc-po-4.dft 2 3 3 0 1 0 2
rc.4-2-hc-po-4.dft 125 157 526 0 1 0 156
rc.4-2-sc-po-4.dft 107 130 444 0 0 0 130
rc.4-3-hc-po-4.dft 177 222 748 0 1 0 221
rc.4-3-sc-po-4.dft 157 195 666 0 0 0 195
rc.4-4-hc-po-4.dft 233 287 970 0 1 0 286
rc.4-4-sc-po-4.dft 210 260 888 0 0 0 260
rc.5-1-hc-po-4.dft 23 30 85 0 2 0 28
rc.5-1-sc-po-4.dft 2 3 3 0 1 0 2
rc.5-5-hc-po-4.dft 288 352 1192 0 1 0 351
rc.5-5-sc-po-4.dft 368 325 1110 0 0 0 325
