benchmarkName countNodes dynamic repair partialObservable FAULT AND OR VOTE SPARE POR_I PAND_I SAND POR PAND BASIC_EVENT FDEP RDEP PDEP MONITOR DELAY SEQ
cm_1_1_10_dp_x-repair-po-1.dft 142 true true true 49 0 0 23 20 0 0 0 0 0 48 0 0 0 2 0 0
cm_1_1_10_sp_x-repair-po-1.dft 139 true true true 48 0 0 22 20 0 0 0 0 0 47 0 0 0 2 0 0
cm_1_1_11_dp_x-repair-po-1.dft 154 true true true 53 0 0 25 22 0 0 0 0 0 52 0 0 0 2 0 0
cm_1_1_11_sp_x-repair-po-1.dft 151 true true true 52 0 0 24 22 0 0 0 0 0 51 0 0 0 2 0 0
cm_1_1_12_dp_x-repair-po-1.dft 168 true true true 58 0 0 27 24 0 0 0 0 0 57 0 0 0 2 0 0
cm_1_1_12_sp_x-repair-po-1.dft 165 true true true 57 0 0 26 24 0 0 0 0 0 56 0 0 0 2 0 0
cm_1_1_13_sp_x-repair-po-1.dft 177 true true true 61 0 0 28 26 0 0 0 0 0 60 0 0 0 2 0 0
cm_1_1_14_sp_x-repair-po-1.dft 191 true true true 66 0 0 30 28 0 0 0 0 0 65 0 0 0 2 0 0
cm_1_1_2_dp_x-repair-po-1.dft 38 true true true 13 0 0 7 4 0 0 0 0 0 12 0 0 0 2 0 0
cm_1_1_2_sp_x-repair-po-1.dft 35 true true true 12 0 0 6 4 0 0 0 0 0 11 0 0 0 2 0 0
cm_1_1_3_dp_x-repair-po-1.dft 50 true true true 17 0 0 9 6 0 0 0 0 0 16 0 0 0 2 0 0
cm_1_1_3_sp_x-repair-po-1.dft 47 true true true 16 0 0 8 6 0 0 0 0 0 15 0 0 0 2 0 0
cm_1_1_4_dp_x-repair-po-1.dft 64 true true true 22 0 0 11 8 0 0 0 0 0 21 0 0 0 2 0 0
cm_1_1_4_sp_x-repair-po-1.dft 61 true true true 21 0 0 10 8 0 0 0 0 0 20 0 0 0 2 0 0
cm_1_1_5_dp_x-repair-po-1.dft 76 true true true 26 0 0 13 10 0 0 0 0 0 25 0 0 0 2 0 0
cm_1_1_5_sp_x-repair-po-1.dft 73 true true true 25 0 0 12 10 0 0 0 0 0 24 0 0 0 2 0 0
cm_1_1_6_dp_x-repair-po-1.dft 90 true true true 31 0 0 15 12 0 0 0 0 0 30 0 0 0 2 0 0
cm_1_1_6_sp_x-repair-po-1.dft 87 true true true 30 0 0 14 12 0 0 0 0 0 29 0 0 0 2 0 0
cm_1_1_7_dp_x-repair-po-1.dft 102 true true true 35 0 0 17 14 0 0 0 0 0 34 0 0 0 2 0 0
cm_1_1_7_sp_x-repair-po-1.dft 99 true true true 34 0 0 16 14 0 0 0 0 0 33 0 0 0 2 0 0
cm_1_1_8_dp_x-repair-po-1.dft 116 true true true 40 0 0 19 16 0 0 0 0 0 39 0 0 0 2 0 0
cm_1_1_8_sp_x-repair-po-1.dft 113 true true true 39 0 0 18 16 0 0 0 0 0 38 0 0 0 2 0 0
cm_1_1_9_dp_x-repair-po-1.dft 128 true true true 44 0 0 21 18 0 0 0 0 0 43 0 0 0 2 0 0
cm_1_1_9_sp_x-repair-po-1.dft 125 true true true 43 0 0 20 18 0 0 0 0 0 42 0 0 0 2 0 0
cm_2_1_2_dp_x-repair-po-1.dft 74 true true true 25 0 0 15 8 0 0 0 0 0 24 0 0 0 2 0 0
cm_2_1_2_sp_x-repair-po-1.dft 68 true true true 23 0 0 13 8 0 0 0 0 0 22 0 0 0 2 0 0
cm_2_1_3_dp_x-repair-po-1.dft 98 true true true 33 0 0 19 12 0 0 0 0 0 32 0 0 0 2 0 0
cm_2_1_3_sp_x-repair-po-1.dft 92 true true true 31 0 0 17 12 0 0 0 0 0 30 0 0 0 2 0 0
cm_2_1_4_dp_x-repair-po-1.dft 126 true true true 43 0 0 23 16 0 0 0 0 0 42 0 0 0 2 0 0
cm_2_1_4_sp_x-repair-po-1.dft 120 true true true 41 0 0 21 16 0 0 0 0 0 40 0 0 0 2 0 0
cm_2_2_2_dp_x-repair-po-1.dft 74 true true true 25 0 0 15 8 0 0 0 0 0 24 0 0 0 2 0 0
cm_2_2_2_sp_x-repair-po-1.dft 68 true true true 23 0 0 13 8 0 0 0 0 0 22 0 0 0 2 0 0
cm_2_2_3_dp_x-repair-po-1.dft 98 true true true 33 0 0 19 12 0 0 0 0 0 32 0 0 0 2 0 0
cm_2_2_3_sp_x-repair-po-1.dft 92 true true true 31 0 0 17 12 0 0 0 0 0 30 0 0 0 2 0 0
cm_2_2_4_dp_x-repair-po-1.dft 126 true true true 43 0 0 23 16 0 0 0 0 0 42 0 0 0 2 0 0
cm_2_2_4_sp_x-repair-po-1.dft 120 true true true 41 0 0 21 16 0 0 0 0 0 40 0 0 0 2 0 0
cm_3_1_2_dp_x-repair-po-1.dft 109 true true true 37 0 0 22 12 0 0 0 0 0 36 0 0 0 2 0 0
cm_3_1_2_sp_x-repair-po-1.dft 100 true true true 34 0 0 19 12 0 0 0 0 0 33 0 0 0 2 0 0
cm_3_1_3_dp_x-repair-po-1.dft 145 true true true 49 0 0 28 18 0 0 0 0 0 48 0 0 0 2 0 0
cm_3_1_3_sp_x-repair-po-1.dft 136 true true true 46 0 0 25 18 0 0 0 0 0 45 0 0 0 2 0 0
cm_3_1_4_dp_x-repair-po-1.dft 187 true true true 64 0 0 34 24 0 0 0 0 0 63 0 0 0 2 0 0
cm_3_1_4_sp_x-repair-po-1.dft 178 true true true 61 0 0 31 24 0 0 0 0 0 60 0 0 0 2 0 0
cm_3_2_2_dp_x-repair-po-1.dft 109 true true true 37 0 0 22 12 0 0 0 0 0 36 0 0 0 2 0 0
cm_3_2_2_sp_x-repair-po-1.dft 100 true true true 34 0 0 19 12 0 0 0 0 0 33 0 0 0 2 0 0
cm_3_2_3_dp_x-repair-po-1.dft 145 true true true 49 0 0 28 18 0 0 0 0 0 48 0 0 0 2 0 0
cm_3_2_3_sp_x-repair-po-1.dft 136 true true true 46 0 0 25 18 0 0 0 0 0 45 0 0 0 2 0 0
cm_3_2_4_dp_x-repair-po-1.dft 187 true true true 64 0 0 34 24 0 0 0 0 0 63 0 0 0 2 0 0
cm_3_2_4_sp_x-repair-po-1.dft 178 true true true 61 0 0 31 24 0 0 0 0 0 60 0 0 0 2 0 0
cm_3_3_2_dp_x-repair-po-1.dft 109 true true true 37 0 0 22 12 0 0 0 0 0 36 0 0 0 2 0 0
cm_3_3_2_sp_x-repair-po-1.dft 100 true true true 34 0 0 19 12 0 0 0 0 0 33 0 0 0 2 0 0
cm_3_3_3_dp_x-repair-po-1.dft 145 true true true 49 0 0 28 18 0 0 0 0 0 48 0 0 0 2 0 0
cm_3_3_3_sp_x-repair-po-1.dft 136 true true true 46 0 0 25 18 0 0 0 0 0 45 0 0 0 2 0 0
cm_3_3_4_dp_x-repair-po-1.dft 187 true true true 64 0 0 34 24 0 0 0 0 0 63 0 0 0 2 0 0
cm_3_3_4_sp_x-repair-po-1.dft 178 true true true 61 0 0 31 24 0 0 0 0 0 60 0 0 0 2 0 0
