benchmarkName countNodes dynamic repair partialObservable FAULT AND OR VOTE SPARE POR_I PAND_I SAND POR PAND BASIC_EVENT FDEP RDEP PDEP MONITOR DELAY SEQ
hecs_1_1-repair-po-1.dft 37 true true true 13 0 0 5 2 0 0 0 0 0 12 0 0 0 5 0 0
hecs_2_1-repair-po-1.dft 67 true true true 25 0 0 11 4 0 0 0 0 0 24 0 0 0 3 0 0
hecs_2_2-repair-po-1.dft 67 true true true 25 0 0 11 4 0 0 0 0 0 24 0 0 0 3 0 0
hecs_3_1-repair-po-1.dft 99 true true true 37 0 0 16 6 0 0 0 0 0 36 0 0 0 4 0 0
hecs_3_3-repair-po-1.dft 99 true true true 37 0 0 16 6 0 0 0 0 0 36 0 0 0 4 0 0
hecs_4_1-repair-po-1.dft 131 true true true 49 0 0 21 8 0 0 0 0 0 48 0 0 0 5 0 0
hecs_4_2-repair-po-1.dft 131 true true true 49 0 0 21 8 0 0 0 0 0 48 0 0 0 5 0 0
hecs_4_3-repair-po-1.dft 131 true true true 49 0 0 21 8 0 0 0 0 0 48 0 0 0 5 0 0
hecs_4_4-repair-po-1.dft 131 true true true 49 0 0 21 8 0 0 0 0 0 48 0 0 0 5 0 0
hecs_5_1-repair-po-1.dft 163 true true true 61 0 0 26 10 0 0 0 0 0 60 0 0 0 6 0 0
hecs_5_5-repair-po-1.dft 163 true true true 61 0 0 26 10 0 0 0 0 0 60 0 0 0 6 0 0
hecs_6_1-repair-po-1.dft 195 true true true 73 0 0 31 12 0 0 0 0 0 72 0 0 0 7 0 0
hecs_6_6-repair-po-1.dft 195 true true true 73 0 0 31 12 0 0 0 0 0 72 0 0 0 7 0 0
hecs_7_1-repair-po-1.dft 227 true true true 85 0 0 36 14 0 0 0 0 0 84 0 0 0 8 0 0
hecs_7_7-repair-po-1.dft 227 true true true 85 0 0 36 14 0 0 0 0 0 84 0 0 0 8 0 0
hecs_8_1-repair-po-1.dft 259 true true true 97 0 0 41 16 0 0 0 0 0 96 0 0 0 9 0 0
hecs_8_8-repair-po-1.dft 259 true true true 97 0 0 41 16 0 0 0 0 0 96 0 0 0 9 0 0
