benchmarkName time removedStates removedTransitions CleanMinimizer FinalStateMinimizer OrthogonalPartitionRefinementMinimizer PartitionRefinementMinimizer
hecs_1_1-repair-po-2.dft 58 23 94 0 0 2 21
hecs_2_1-repair-po-2.dft 52 72 153 0 0 14 58
hecs_2_2-repair-po-2.dft 51 70 150 0 0 12 58
hecs_3_1-repair-po-2.dft 78 108 229 0 0 21 87
hecs_3_3-repair-po-2.dft 78 108 230 0 0 21 87
hecs_4_1-repair-po-2.dft 120 143 305 0 0 27 116
hecs_4_2-repair-po-2.dft 107 144 307 0 0 28 116
hecs_4_3-repair-po-2.dft 108 143 306 0 0 27 116
hecs_4_4-repair-po-2.dft 110 143 305 0 0 27 116
hecs_5_1-repair-po-2.dft 131 179 382 0 0 34 145
hecs_5_5-repair-po-2.dft 128 179 381 0 0 34 145
hecs_6_1-repair-po-2.dft 158 220 462 0 0 46 174
hecs_6_6-repair-po-2.dft 164 215 459 0 0 41 174
hecs_7_1-repair-po-2.dft 182 252 535 0 0 49 203
hecs_7_7-repair-po-2.dft 189 251 534 0 0 48 203
hecs_8_1-repair-po-2.dft 207 288 613 0 0 56 232
hecs_8_8-repair-po-2.dft 206 288 615 0 0 56 232
