benchmarkName time removedStates removedTransitions CleanMinimizer FinalStateMinimizer OrthogonalPartitionRefinementMinimizer PartitionRefinementMinimizer
rc.1-1-hc-repair-po-2.dft 76 100 235 0 0 9 91
rc.1-1-sc-repair-po-2.dft 50 64 158 0 0 2 62
rc.1-10-hc-repair-po-2.dft 667 826 1917 0 0 47 779
rc.1-10-sc-repair-po-2.dft 650 790 1840 0 0 40 750
rc.1-15-hc-repair-po-2.dft N/A N/A N/A N/A N/A N/A N/A
rc.1-15-sc-repair-po-2.dft 957 1185 2760 0 0 60 1125
rc.1-2-hc-repair-po-2.dft 152 194 445 0 0 15 179
rc.1-2-sc-repair-po-2.dft 127 158 368 0 0 8 150
rc.1-20-hc-repair-po-2.dft 1290 1616 3756 0 0 87 1529
rc.1-20-sc-repair-po-2.dft 1312 1580 3680 0 0 80 1500
rc.1-25-hc-repair-po-2.dft 1622 2011 4676 0 0 107 1904
rc.1-25-sc-repair-po-2.dft 1582 1975 4600 0 0 100 1875
rc.1-3-hc-repair-po-2.dft 215 273 629 0 0 19 254
rc.1-3-sc-repair-po-2.dft 192 237 552 0 0 12 225
rc.1-30-hc-repair-po-2.dft 1964 2406 5597 0 0 127 2279
rc.1-30-sc-repair-po-2.dft 1895 2370 5520 0 0 120 2250
rc.1-4-hc-repair-po-2.dft 282 352 813 0 0 23 329
rc.1-4-sc-repair-po-2.dft 248 316 736 0 0 16 300
rc.1-5-hc-repair-po-2.dft 345 431 997 0 0 27 404
rc.1-5-sc-repair-po-2.dft 340 395 920 0 0 20 375
rc.10-1-hc-repair-po-2.dft 78 100 235 0 0 9 91
rc.10-1-sc-repair-po-2.dft 51 64 158 0 0 2 62
rc.10-10-hc-repair-po-2.dft 660 826 1916 0 0 47 779
rc.10-10-sc-repair-po-2.dft 629 790 1840 0 0 40 750
rc.15-1-hc-repair-po-2.dft 82 100 234 0 0 9 91
rc.15-1-sc-repair-po-2.dft 51 64 158 0 0 2 62
rc.15-15-hc-repair-po-2.dft 1035 1221 2836 0 0 67 1154
rc.15-15-sc-repair-po-2.dft 1007 1185 2760 0 0 60 1125
rc.2-1-hc-repair-po-2.dft 75 100 234 0 0 9 91
rc.2-1-sc-repair-po-2.dft 53 64 158 0 0 2 62
rc.2-2-hc-repair-po-2.dft 153 193 444 0 0 14 179
rc.2-2-sc-repair-po-2.dft 125 158 368 0 0 8 150
rc.2-3-hc-repair-po-2.dft 213 272 627 0 0 18 254
rc.2-3-sc-repair-po-2.dft 188 237 552 0 0 12 225
rc.2-4-hc-repair-po-2.dft 279 352 812 0 0 23 329
rc.2-4-sc-repair-po-2.dft 254 316 736 0 0 16 300
rc.20-1-hc-repair-po-2.dft 77 100 234 0 0 9 91
rc.20-1-sc-repair-po-2.dft 51 64 158 0 0 2 62
rc.20-20-hc-repair-po-2.dft 1347 1616 3756 0 0 87 1529
rc.20-20-sc-repair-po-2.dft 1323 1580 3680 0 0 80 1500
rc.25-1-hc-repair-po-2.dft 77 100 235 0 0 9 91
rc.25-1-sc-repair-po-2.dft 52 64 158 0 0 2 62
rc.25-25-hc-repair-po-2.dft 1616 2011 4677 0 0 107 1904
rc.25-25-sc-repair-po-2.dft 1609 1975 4600 0 0 100 1875
rc.3-1-hc-repair-po-2.dft 78 100 234 0 0 9 91
rc.3-1-sc-repair-po-2.dft 51 64 158 0 0 2 62
rc.3-2-hc-repair-po-2.dft 156 194 444 0 0 15 179
rc.3-2-sc-repair-po-2.dft 124 158 368 0 0 8 150
rc.3-3-hc-repair-po-2.dft 215 273 629 0 0 19 254
rc.3-3-sc-repair-po-2.dft 190 237 552 0 0 12 225
rc.3-4-hc-repair-po-2.dft 276 352 812 0 0 23 329
rc.3-4-sc-repair-po-2.dft 249 316 736 0 0 16 300
rc.30-1-hc-repair-po-2.dft 79 100 235 0 0 9 91
rc.30-1-sc-repair-po-2.dft 52 64 158 0 0 2 62
rc.30-30-hc-repair-po-2.dft 1930 2406 5597 0 0 127 2279
rc.30-30-sc-repair-po-2.dft 1950 2370 5520 0 0 120 2250
rc.4-1-hc-repair-po-2.dft 77 100 235 0 0 9 91
rc.4-1-sc-repair-po-2.dft 51 64 158 0 0 2 62
rc.4-2-hc-repair-po-2.dft 162 194 445 0 0 15 179
rc.4-2-sc-repair-po-2.dft 127 158 368 0 0 8 150
rc.4-3-hc-repair-po-2.dft 219 274 629 0 0 20 254
rc.4-3-sc-repair-po-2.dft 188 237 552 0 0 12 225
rc.4-4-hc-repair-po-2.dft 273 352 813 0 0 23 329
rc.4-4-sc-repair-po-2.dft 255 316 736 0 0 16 300
rc.5-1-hc-repair-po-2.dft 77 98 233 0 0 7 91
rc.5-1-sc-repair-po-2.dft 52 64 158 0 0 2 62
rc.5-5-hc-repair-po-2.dft 386 431 997 0 0 27 404
rc.5-5-sc-repair-po-2.dft 328 395 920 0 0 20 375
