benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize raSize
cm_1_1_10_dp_x-repair-po-3.dft 1200000 14 3 48 11 N/A
cm_1_1_10_sp_x-repair-po-3.dft 1200000 14 3 48 11 N/A
cm_1_1_11_dp_x-repair-po-3.dft 1200000 15 3 52 10 N/A
cm_1_1_11_sp_x-repair-po-3.dft 1200000 15 3 52 10 N/A
cm_1_1_12_dp_x-repair-po-3.dft 1200000 16 3 56 11 N/A
cm_1_1_12_sp_x-repair-po-3.dft 1200000 16 3 56 11 N/A
cm_1_1_13_sp_x-repair-po-3.dft 1200000 17 3 60 11 N/A
cm_1_1_14_sp_x-repair-po-3.dft 1200000 18 3 64 11 N/A
cm_1_1_2_dp_x-repair-po-3.dft 30224 6 3 43 2269 18752
cm_1_1_2_sp_x-repair-po-3.dft 9640 6 3 40 667 10432
cm_1_1_3_dp_x-repair-po-3.dft 1800000 7 3 N/A N/A N/A
cm_1_1_3_sp_x-repair-po-3.dft 1800000 7 3 20 11 N/A
cm_1_1_4_dp_x-repair-po-3.dft 1200000 8 3 24 10 N/A
cm_1_1_4_sp_x-repair-po-3.dft 1200000 8 3 24 10 N/A
cm_1_1_5_dp_x-repair-po-3.dft 1200000 9 3 28 11 N/A
cm_1_1_5_sp_x-repair-po-3.dft 1200000 9 3 28 11 N/A
cm_1_1_6_dp_x-repair-po-3.dft 1200000 10 3 32 10 N/A
cm_1_1_6_sp_x-repair-po-3.dft 1200000 10 3 32 10 N/A
cm_1_1_7_dp_x-repair-po-3.dft 1200000 11 3 36 11 N/A
cm_1_1_7_sp_x-repair-po-3.dft 1200000 11 3 36 11 N/A
cm_1_1_8_dp_x-repair-po-3.dft 1200000 12 3 40 11 N/A
cm_1_1_8_sp_x-repair-po-3.dft 1200000 12 3 40 10 N/A
cm_1_1_9_dp_x-repair-po-3.dft 1200000 13 3 44 11 N/A
cm_1_1_9_sp_x-repair-po-3.dft 1200000 13 3 44 11 N/A
cm_2_1_2_dp_x-repair-po-3.dft 1200000 8 6 N/A N/A N/A
cm_2_1_2_sp_x-repair-po-3.dft 1200000 8 6 N/A N/A N/A
cm_2_1_3_dp_x-repair-po-3.dft 1200000 8 6 N/A N/A N/A
cm_2_1_3_sp_x-repair-po-3.dft 1200000 8 6 N/A N/A N/A
cm_2_1_4_dp_x-repair-po-3.dft 1200000 8 6 N/A N/A N/A
cm_2_1_4_sp_x-repair-po-3.dft 1200000 8 6 N/A N/A N/A
cm_2_2_2_dp_x-repair-po-3.dft 1200000 8 6 N/A N/A N/A
cm_2_2_2_sp_x-repair-po-3.dft 1200000 8 6 N/A N/A N/A
cm_2_2_3_dp_x-repair-po-3.dft 1200000 8 6 N/A N/A N/A
cm_2_2_3_sp_x-repair-po-3.dft 1200000 8 6 N/A N/A N/A
cm_2_2_4_dp_x-repair-po-3.dft 1200000 8 6 N/A N/A N/A
cm_2_2_4_sp_x-repair-po-3.dft 1200000 8 6 N/A N/A N/A
cm_3_1_2_dp_x-repair-po-3.dft 1200000 11 8 N/A N/A N/A
cm_3_1_2_sp_x-repair-po-3.dft 1200000 11 8 N/A N/A N/A
cm_3_1_3_dp_x-repair-po-3.dft 1200000 11 8 N/A N/A N/A
cm_3_1_3_sp_x-repair-po-3.dft 1200000 11 8 N/A N/A N/A
cm_3_1_4_dp_x-repair-po-3.dft 1200000 11 8 N/A N/A N/A
cm_3_1_4_sp_x-repair-po-3.dft 1200000 11 8 N/A N/A N/A
cm_3_2_2_dp_x-repair-po-3.dft 1200000 11 8 N/A N/A N/A
cm_3_2_2_sp_x-repair-po-3.dft 1200000 11 8 N/A N/A N/A
cm_3_2_3_dp_x-repair-po-3.dft 1200000 11 8 N/A N/A N/A
cm_3_2_3_sp_x-repair-po-3.dft 1200000 11 8 N/A N/A N/A
cm_3_2_4_dp_x-repair-po-3.dft 1200000 11 8 N/A N/A N/A
cm_3_2_4_sp_x-repair-po-3.dft 1200000 11 8 N/A N/A N/A
cm_3_3_2_dp_x-repair-po-3.dft 1200000 11 8 N/A N/A N/A
cm_3_3_2_sp_x-repair-po-3.dft 1200000 11 8 N/A N/A N/A
cm_3_3_3_dp_x-repair-po-3.dft 1200000 11 8 N/A N/A N/A
cm_3_3_3_sp_x-repair-po-3.dft 1200000 11 8 N/A N/A N/A
cm_3_3_4_dp_x-repair-po-3.dft 1200000 11 8 N/A N/A N/A
cm_3_3_4_sp_x-repair-po-3.dft 1200000 11 8 N/A N/A N/A
