benchmarkName time maxStates maxTransitions
hecs_1_1-repair-po-3.dft 1 48 113
hecs_2_1-repair-po-3.dft 4 113 205
hecs_2_2-repair-po-3.dft 4 113 205
hecs_3_1-repair-po-3.dft 5 113 205
hecs_3_3-repair-po-3.dft 6 113 205
hecs_4_1-repair-po-3.dft 9 113 205
hecs_4_2-repair-po-3.dft 8 113 205
hecs_4_3-repair-po-3.dft 9 113 205
hecs_4_4-repair-po-3.dft 14 113 205
hecs_5_1-repair-po-3.dft 10 113 205
hecs_5_5-repair-po-3.dft 7 113 205
hecs_6_1-repair-po-3.dft 13 113 205
hecs_6_6-repair-po-3.dft 13 113 205
hecs_7_1-repair-po-3.dft 15 113 205
hecs_7_7-repair-po-3.dft 12 113 205
hecs_8_1-repair-po-3.dft 16 113 205
hecs_8_8-repair-po-3.dft 16 113 205
