benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize
hecs_1_1-repair-po-3.dft 83 15 14 9 15
hecs_2_1-repair-po-3.dft 497 30 28 11 44
hecs_2_2-repair-po-3.dft 494 30 28 11 44
hecs_3_1-repair-po-3.dft 1160 44 41 11 44
hecs_3_3-repair-po-3.dft 1169 44 41 11 44
hecs_4_1-repair-po-3.dft 6351 58 54 11 44
hecs_4_2-repair-po-3.dft 6348 58 54 11 44
hecs_4_3-repair-po-3.dft 6871 58 54 11 44
hecs_4_4-repair-po-3.dft 7696 58 54 11 44
hecs_5_1-repair-po-3.dft 120000 72 67 11 44
hecs_5_5-repair-po-3.dft 120000 72 67 11 44
hecs_6_1-repair-po-3.dft 120000 86 80 11 44
hecs_6_6-repair-po-3.dft 120000 86 80 11 44
hecs_7_1-repair-po-3.dft 120000 100 93 11 44
hecs_7_7-repair-po-3.dft 120000 100 93 11 44
hecs_8_1-repair-po-3.dft 120000 114 106 11 44
hecs_8_8-repair-po-3.dft 120000 114 106 11 44
