benchmarkName time maxStates maxTransitions
rc.1-1-hc-repair-po-3.dft 3 113 205
rc.1-1-sc-repair-po-3.dft 0 16 30
rc.1-10-hc-repair-po-3.dft 14 113 205
rc.1-10-sc-repair-po-3.dft 17 95 172
rc.1-15-hc-repair-po-3.dft 27 113 205
rc.1-15-sc-repair-po-3.dft 24 95 172
rc.1-2-hc-repair-po-3.dft 5 113 205
rc.1-2-sc-repair-po-3.dft 3 95 172
rc.1-20-hc-repair-po-3.dft 32 113 205
rc.1-20-sc-repair-po-3.dft 32 95 172
rc.1-25-hc-repair-po-3.dft 40 113 205
rc.1-25-sc-repair-po-3.dft 40 95 172
rc.1-3-hc-repair-po-3.dft 6 113 205
rc.1-3-sc-repair-po-3.dft 5 95 172
rc.1-30-hc-repair-po-3.dft 47 113 205
rc.1-30-sc-repair-po-3.dft 43 95 172
rc.1-4-hc-repair-po-3.dft 9 113 205
rc.1-4-sc-repair-po-3.dft 6 95 172
rc.1-5-hc-repair-po-3.dft 11 113 205
rc.1-5-sc-repair-po-3.dft 9 95 172
rc.10-1-hc-repair-po-3.dft 3 113 205
rc.10-1-sc-repair-po-3.dft 1 16 30
rc.10-10-hc-repair-po-3.dft 14 113 205
rc.10-10-sc-repair-po-3.dft 14 95 172
rc.15-1-hc-repair-po-3.dft 2 113 205
rc.15-1-sc-repair-po-3.dft 0 16 30
rc.15-15-hc-repair-po-3.dft 26 113 205
rc.15-15-sc-repair-po-3.dft 25 95 172
rc.2-1-hc-repair-po-3.dft 2 113 205
rc.2-1-sc-repair-po-3.dft 0 16 30
rc.2-2-hc-repair-po-3.dft 5 113 205
rc.2-2-sc-repair-po-3.dft 3 95 172
rc.2-3-hc-repair-po-3.dft 6 113 205
rc.2-3-sc-repair-po-3.dft 4 95 172
rc.2-4-hc-repair-po-3.dft 8 113 205
rc.2-4-sc-repair-po-3.dft 7 95 172
rc.20-1-hc-repair-po-3.dft 3 113 205
rc.20-1-sc-repair-po-3.dft 1 16 30
rc.20-20-hc-repair-po-3.dft 26 113 205
rc.20-20-sc-repair-po-3.dft 31 95 172
rc.25-1-hc-repair-po-3.dft 2 113 205
rc.25-1-sc-repair-po-3.dft 0 16 30
rc.25-25-hc-repair-po-3.dft 44 113 205
rc.25-25-sc-repair-po-3.dft 33 95 172
rc.3-1-hc-repair-po-3.dft 4 113 205
rc.3-1-sc-repair-po-3.dft 1 16 30
rc.3-2-hc-repair-po-3.dft 6 113 205
rc.3-2-sc-repair-po-3.dft 4 95 172
rc.3-3-hc-repair-po-3.dft 7 113 205
rc.3-3-sc-repair-po-3.dft 5 95 172
rc.3-4-hc-repair-po-3.dft 8 113 205
rc.3-4-sc-repair-po-3.dft 7 95 172
rc.30-1-hc-repair-po-3.dft 2 113 205
rc.30-1-sc-repair-po-3.dft 0 16 30
rc.30-30-hc-repair-po-3.dft 51 113 205
rc.30-30-sc-repair-po-3.dft 45 95 172
rc.4-1-hc-repair-po-3.dft 2 113 205
rc.4-1-sc-repair-po-3.dft 0 16 30
rc.4-2-hc-repair-po-3.dft 5 113 205
rc.4-2-sc-repair-po-3.dft 3 95 172
rc.4-3-hc-repair-po-3.dft 7 113 205
rc.4-3-sc-repair-po-3.dft 4 95 172
rc.4-4-hc-repair-po-3.dft 9 113 205
rc.4-4-sc-repair-po-3.dft 6 95 172
rc.5-1-hc-repair-po-3.dft 3 113 205
rc.5-1-sc-repair-po-3.dft 1 16 30
rc.5-5-hc-repair-po-3.dft 9 113 205
rc.5-5-sc-repair-po-3.dft 7 95 172
