benchmarkName time maxStates maxTransitions
cm_1_1_10_dp_x-repair-po-4.dft 3 16 30
cm_1_1_10_sp_x-repair-po-4.dft 4 16 30
cm_1_1_11_dp_x-repair-po-4.dft 1 16 30
cm_1_1_11_sp_x-repair-po-4.dft N/A N/A N/A
cm_1_1_12_dp_x-repair-po-4.dft 1 16 30
cm_1_1_12_sp_x-repair-po-4.dft 4 16 30
cm_1_1_13_sp_x-repair-po-4.dft 1 16 30
cm_1_1_14_sp_x-repair-po-4.dft 0 16 30
cm_1_1_2_dp_x-repair-po-4.dft 2 76 188
cm_1_1_2_sp_x-repair-po-4.dft 2 76 188
cm_1_1_3_dp_x-repair-po-4.dft 3 307 905
cm_1_1_3_sp_x-repair-po-4.dft 6 307 905
cm_1_1_4_dp_x-repair-po-4.dft 44 3184 12188
cm_1_1_4_sp_x-repair-po-4.dft 47 3184 12188
cm_1_1_5_dp_x-repair-po-4.dft 237 12460 53586
cm_1_1_5_sp_x-repair-po-4.dft 227 12460 53586
cm_1_1_6_dp_x-repair-po-4.dft N/A N/A N/A
cm_1_1_6_sp_x-repair-po-4.dft 1 16 30
cm_1_1_7_dp_x-repair-po-4.dft 0 16 30
cm_1_1_7_sp_x-repair-po-4.dft 1 16 30
cm_1_1_8_dp_x-repair-po-4.dft 0 16 30
cm_1_1_8_sp_x-repair-po-4.dft 0 16 30
cm_1_1_9_dp_x-repair-po-4.dft 1 16 30
cm_1_1_9_sp_x-repair-po-4.dft 4 16 30
cm_2_1_2_dp_x-repair-po-4.dft 317 2637 5709
cm_2_1_2_sp_x-repair-po-4.dft 80 1253 2597
cm_2_1_3_dp_x-repair-po-4.dft 0 24 38
cm_2_1_3_sp_x-repair-po-4.dft N/A N/A N/A
cm_2_1_4_dp_x-repair-po-4.dft 2 24 38
cm_2_1_4_sp_x-repair-po-4.dft 1 24 38
cm_2_2_2_dp_x-repair-po-4.dft 166 2637 5709
cm_2_2_2_sp_x-repair-po-4.dft 92 1253 2597
cm_2_2_3_dp_x-repair-po-4.dft N/A N/A N/A
cm_2_2_3_sp_x-repair-po-4.dft 1 24 38
cm_2_2_4_dp_x-repair-po-4.dft 2 24 38
cm_2_2_4_sp_x-repair-po-4.dft 3 24 38
cm_3_1_2_dp_x-repair-po-4.dft 280 2637 5709
cm_3_1_2_sp_x-repair-po-4.dft 1 24 38
cm_3_1_3_dp_x-repair-po-4.dft 2 24 38
cm_3_1_3_sp_x-repair-po-4.dft 2 24 38
cm_3_1_4_dp_x-repair-po-4.dft 1 24 38
cm_3_1_4_sp_x-repair-po-4.dft 0 24 38
cm_3_2_2_dp_x-repair-po-4.dft 273 2637 5709
cm_3_2_2_sp_x-repair-po-4.dft 120 1253 2597
cm_3_2_3_dp_x-repair-po-4.dft 2 24 38
cm_3_2_3_sp_x-repair-po-4.dft 4 24 38
cm_3_2_4_dp_x-repair-po-4.dft 0 24 38
cm_3_2_4_sp_x-repair-po-4.dft 1 24 38
cm_3_3_2_dp_x-repair-po-4.dft 282 2637 5709
cm_3_3_2_sp_x-repair-po-4.dft 1 24 38
cm_3_3_3_dp_x-repair-po-4.dft 1 24 38
cm_3_3_3_sp_x-repair-po-4.dft 2 24 38
cm_3_3_4_dp_x-repair-po-4.dft 4 24 38
cm_3_3_4_sp_x-repair-po-4.dft N/A N/A N/A
