benchmarkName time
cm_1_1_10_dp_x-repair-po-5.dft 1
cm_1_1_10_sp_x-repair-po-5.dft 2
cm_1_1_11_dp_x-repair-po-5.dft 1
cm_1_1_11_sp_x-repair-po-5.dft 0
cm_1_1_12_dp_x-repair-po-5.dft 1
cm_1_1_12_sp_x-repair-po-5.dft 0
cm_1_1_13_sp_x-repair-po-5.dft 1
cm_1_1_14_sp_x-repair-po-5.dft 0
cm_1_1_2_dp_x-repair-po-5.dft 1
cm_1_1_2_sp_x-repair-po-5.dft 2
cm_1_1_3_dp_x-repair-po-5.dft 11
cm_1_1_3_sp_x-repair-po-5.dft 11
cm_1_1_4_dp_x-repair-po-5.dft 857
cm_1_1_4_sp_x-repair-po-5.dft 829
cm_1_1_5_dp_x-repair-po-5.dft 8135
cm_1_1_5_sp_x-repair-po-5.dft 8051
cm_1_1_6_dp_x-repair-po-5.dft 0
cm_1_1_6_sp_x-repair-po-5.dft 0
cm_1_1_7_dp_x-repair-po-5.dft 0
cm_1_1_7_sp_x-repair-po-5.dft 0
cm_1_1_8_dp_x-repair-po-5.dft 0
cm_1_1_8_sp_x-repair-po-5.dft 0
cm_1_1_9_dp_x-repair-po-5.dft 1
cm_1_1_9_sp_x-repair-po-5.dft 0
cm_2_1_2_dp_x-repair-po-5.dft 3
cm_2_1_2_sp_x-repair-po-5.dft 2
cm_2_1_3_dp_x-repair-po-5.dft 22
cm_2_1_3_sp_x-repair-po-5.dft 22
cm_2_1_4_dp_x-repair-po-5.dft 1621
cm_2_1_4_sp_x-repair-po-5.dft 1635
cm_2_2_2_dp_x-repair-po-5.dft 2
cm_2_2_2_sp_x-repair-po-5.dft 3
cm_2_2_3_dp_x-repair-po-5.dft 23
cm_2_2_3_sp_x-repair-po-5.dft 24
cm_2_2_4_dp_x-repair-po-5.dft 1631
cm_2_2_4_sp_x-repair-po-5.dft 1627
cm_3_1_2_dp_x-repair-po-5.dft 4
cm_3_1_2_sp_x-repair-po-5.dft 4
cm_3_1_3_dp_x-repair-po-5.dft 37
cm_3_1_3_sp_x-repair-po-5.dft 34
cm_3_1_4_dp_x-repair-po-5.dft 2402
cm_3_1_4_sp_x-repair-po-5.dft 2433
cm_3_2_2_dp_x-repair-po-5.dft 4
cm_3_2_2_sp_x-repair-po-5.dft 3
cm_3_2_3_dp_x-repair-po-5.dft 33
cm_3_2_3_sp_x-repair-po-5.dft 34
cm_3_2_4_dp_x-repair-po-5.dft 2363
cm_3_2_4_sp_x-repair-po-5.dft 2558
cm_3_3_2_dp_x-repair-po-5.dft 3
cm_3_3_2_sp_x-repair-po-5.dft 5
cm_3_3_3_dp_x-repair-po-5.dft 32
cm_3_3_3_sp_x-repair-po-5.dft 34
cm_3_3_4_dp_x-repair-po-5.dft 2549
cm_3_3_4_sp_x-repair-po-5.dft 2481
