benchmarkName time removedStates removedTransitions CleanMinimizer FinalStateMinimizer OrthogonalPartitionRefinementMinimizer PartitionRefinementMinimizer
cm_1_1_10_dp_x-repair-po-5.dft 18 0 0 0 0 0 0
cm_1_1_10_sp_x-repair-po-5.dft 39 0 0 0 0 0 0
cm_1_1_11_dp_x-repair-po-5.dft 47 0 0 0 0 0 0
cm_1_1_11_sp_x-repair-po-5.dft 9 0 0 0 0 0 0
cm_1_1_12_dp_x-repair-po-5.dft 18 0 0 0 0 0 0
cm_1_1_12_sp_x-repair-po-5.dft nan nan nan nan nan nan nan
cm_1_1_13_sp_x-repair-po-5.dft 55 0 0 0 0 0 0
cm_1_1_14_sp_x-repair-po-5.dft 23 0 0 0 0 0 0
cm_1_1_2_dp_x-repair-po-5.dft 27 0 3 0 0 0 0
cm_1_1_2_sp_x-repair-po-5.dft 25 0 3 0 0 0 0
cm_1_1_3_dp_x-repair-po-5.dft 111 8 36 0 0 0 8
cm_1_1_3_sp_x-repair-po-5.dft 111 8 36 0 0 0 8
cm_1_1_4_dp_x-repair-po-5.dft 1767 0 6 0 0 0 0
cm_1_1_4_sp_x-repair-po-5.dft 1747 0 6 0 0 0 0
cm_1_1_5_dp_x-repair-po-5.dft 8107 0 7 0 0 0 0
cm_1_1_5_sp_x-repair-po-5.dft 8040 0 7 0 0 0 0
cm_1_1_6_dp_x-repair-po-5.dft 15 0 0 0 0 0 0
cm_1_1_6_sp_x-repair-po-5.dft 17 0 0 0 0 0 0
cm_1_1_7_dp_x-repair-po-5.dft 18 0 0 0 0 0 0
cm_1_1_7_sp_x-repair-po-5.dft nan nan nan nan nan nan nan
cm_1_1_8_dp_x-repair-po-5.dft 26 0 0 0 0 0 0
cm_1_1_8_sp_x-repair-po-5.dft 35 0 0 0 0 0 0
cm_1_1_9_dp_x-repair-po-5.dft 30 0 0 0 0 0 0
cm_1_1_9_sp_x-repair-po-5.dft 39 0 0 0 0 0 0
cm_2_1_2_dp_x-repair-po-5.dft 50 0 6 0 0 0 0
cm_2_1_2_sp_x-repair-po-5.dft 51 0 6 0 0 0 0
cm_2_1_3_dp_x-repair-po-5.dft 228 16 72 0 0 0 16
cm_2_1_3_sp_x-repair-po-5.dft 230 16 72 0 0 0 16
cm_2_1_4_dp_x-repair-po-5.dft 3641 0 12 0 0 0 0
cm_2_1_4_sp_x-repair-po-5.dft 3549 0 12 0 0 0 0
cm_2_2_2_dp_x-repair-po-5.dft 51 0 6 0 0 0 0
cm_2_2_2_sp_x-repair-po-5.dft 50 0 6 0 0 0 0
cm_2_2_3_dp_x-repair-po-5.dft 227 16 72 0 0 0 16
cm_2_2_3_sp_x-repair-po-5.dft 234 16 72 0 0 0 16
cm_2_2_4_dp_x-repair-po-5.dft 3574 0 12 0 0 0 0
cm_2_2_4_sp_x-repair-po-5.dft 3548 0 12 0 0 0 0
cm_3_1_2_dp_x-repair-po-5.dft 75 0 9 0 0 0 0
cm_3_1_2_sp_x-repair-po-5.dft 108 0 9 0 0 0 0
cm_3_1_3_dp_x-repair-po-5.dft 340 24 108 0 0 0 24
cm_3_1_3_sp_x-repair-po-5.dft 362 24 108 0 0 0 24
cm_3_1_4_dp_x-repair-po-5.dft 5323 0 18 0 0 0 0
cm_3_1_4_sp_x-repair-po-5.dft 5362 0 18 0 0 0 0
cm_3_2_2_dp_x-repair-po-5.dft 76 0 9 0 0 0 0
cm_3_2_2_sp_x-repair-po-5.dft 75 0 9 0 0 0 0
cm_3_2_3_dp_x-repair-po-5.dft 333 24 108 0 0 0 24
cm_3_2_3_sp_x-repair-po-5.dft 331 24 108 0 0 0 24
cm_3_2_4_dp_x-repair-po-5.dft 5282 0 18 0 0 0 0
cm_3_2_4_sp_x-repair-po-5.dft 5363 0 18 0 0 0 0
cm_3_3_2_dp_x-repair-po-5.dft 74 0 9 0 0 0 0
cm_3_3_2_sp_x-repair-po-5.dft 84 0 9 0 0 0 0
cm_3_3_3_dp_x-repair-po-5.dft 332 24 108 0 0 0 24
cm_3_3_3_sp_x-repair-po-5.dft 342 24 108 0 0 0 24
cm_3_3_4_dp_x-repair-po-5.dft 5301 0 18 0 0 0 0
cm_3_3_4_sp_x-repair-po-5.dft 5341 0 18 0 0 0 0
