benchmarkName time maxStates maxTransitions
hecs_1_1-repair-po-2.dft 0 113 217
hecs_2_1-repair-po-2.dft 0 60 132
hecs_2_2-repair-po-2.dft 0 60 132
hecs_3_1-repair-po-2.dft 0 60 132
hecs_3_3-repair-po-2.dft 15 60 132
hecs_4_1-repair-po-2.dft 0 60 132
hecs_4_2-repair-po-2.dft 0 60 132
hecs_4_3-repair-po-2.dft 0 60 132
hecs_4_4-repair-po-2.dft 0 60 132
hecs_5_1-repair-po-2.dft 0 60 132
hecs_5_5-repair-po-2.dft 0 60 132
hecs_6_1-repair-po-2.dft 0 60 132
hecs_6_6-repair-po-2.dft 16 60 132
hecs_7_1-repair-po-2.dft 0 60 132
hecs_7_7-repair-po-2.dft 0 60 132
hecs_8_1-repair-po-2.dft 16 60 132
hecs_8_8-repair-po-2.dft 0 60 132
