benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize raSize
hecs_1_1-repair-po-2.dft 189 13 12 48 43 43
hecs_2_1-repair-po-2.dft 252 12 10 20 16 36
hecs_2_2-repair-po-2.dft 243 12 10 20 16 16
hecs_3_1-repair-po-2.dft 436 17 14 25 16 64
hecs_3_3-repair-po-2.dft 448 17 14 25 17 176
hecs_4_1-repair-po-2.dft 949 22 18 30 17 1440
hecs_4_2-repair-po-2.dft 721 22 18 30 16 256
hecs_4_3-repair-po-2.dft 1039 22 18 30 16 1728
hecs_4_4-repair-po-2.dft 932 22 18 30 16 1296
hecs_5_1-repair-po-2.dft 7250 27 22 35 17 26244
hecs_5_5-repair-po-2.dft 4208 27 22 35 17 12960
hecs_6_1-repair-po-2.dft 19130 32 26 40 17 62208
hecs_6_6-repair-po-2.dft 39123 32 26 40 17 128304
hecs_7_1-repair-po-2.dft 184616 37 30 45 17 518400
hecs_7_7-repair-po-2.dft 29215 37 30 45 16 82944
hecs_8_1-repair-po-2.dft 1800000 42 34 50 16 nan
hecs_8_8-repair-po-2.dft 1800000 42 34 50 18 nan
