benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize
rc.1-1-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.1-1-sc-repair-po-2.dft 874 5 4 12 185
rc.1-10-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.1-10-sc-repair-po-2.dft 120000 5 4 N/A N/A
rc.1-15-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.1-15-sc-repair-po-2.dft 120000 5 4 N/A N/A
rc.1-2-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.1-2-sc-repair-po-2.dft 120000 5 4 N/A N/A
rc.1-20-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.1-20-sc-repair-po-2.dft 120000 5 4 N/A N/A
rc.1-25-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.1-25-sc-repair-po-2.dft 120000 5 4 N/A N/A
rc.1-3-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.1-3-sc-repair-po-2.dft 120000 5 4 N/A N/A
rc.1-30-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.1-30-sc-repair-po-2.dft 120000 5 4 N/A N/A
rc.1-4-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.1-4-sc-repair-po-2.dft 120000 5 4 N/A N/A
rc.1-5-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.1-5-sc-repair-po-2.dft 120000 5 4 N/A N/A
rc.10-1-hc-repair-po-2.dft 120000 5 3 12 185
rc.10-1-sc-repair-po-2.dft 1432 5 4 12 185
rc.10-10-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.10-10-sc-repair-po-2.dft 120000 5 4 N/A N/A
rc.15-1-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.15-1-sc-repair-po-2.dft 1991 5 4 12 185
rc.15-15-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.15-15-sc-repair-po-2.dft 120000 5 4 N/A N/A
rc.2-1-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.2-1-sc-repair-po-2.dft 895 5 4 12 185
rc.2-2-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.2-2-sc-repair-po-2.dft 120000 5 4 N/A N/A
rc.2-3-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.2-3-sc-repair-po-2.dft 120000 5 4 N/A N/A
rc.2-4-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.2-4-sc-repair-po-2.dft 120000 5 4 N/A N/A
rc.20-1-hc-repair-po-2.dft 120000 5 3 12 185
rc.20-1-sc-repair-po-2.dft 2787 5 4 12 185
rc.20-20-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.20-20-sc-repair-po-2.dft 120000 5 4 N/A N/A
rc.25-1-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.25-1-sc-repair-po-2.dft 3792 5 4 12 185
rc.25-25-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.25-25-sc-repair-po-2.dft 120000 5 4 N/A N/A
rc.3-1-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.3-1-sc-repair-po-2.dft 933 5 4 12 185
rc.3-2-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.3-2-sc-repair-po-2.dft 120000 5 4 N/A N/A
rc.3-3-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.3-3-sc-repair-po-2.dft 120000 5 4 N/A N/A
rc.3-4-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.3-4-sc-repair-po-2.dft 120000 5 4 N/A N/A
rc.30-1-hc-repair-po-2.dft 120000 5 3 12 185
rc.30-1-sc-repair-po-2.dft 4946 5 4 12 185
rc.30-30-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.30-30-sc-repair-po-2.dft 120000 5 4 N/A N/A
rc.4-1-hc-repair-po-2.dft 120000 5 3 12 185
rc.4-1-sc-repair-po-2.dft 984 5 4 12 185
rc.4-2-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.4-2-sc-repair-po-2.dft 120000 5 4 N/A N/A
rc.4-3-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.4-3-sc-repair-po-2.dft 120000 5 4 N/A N/A
rc.4-4-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.4-4-sc-repair-po-2.dft 120000 5 4 N/A N/A
rc.5-1-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.5-1-sc-repair-po-2.dft 1045 5 4 12 185
rc.5-5-hc-repair-po-2.dft 120000 5 3 N/A N/A
rc.5-5-sc-repair-po-2.dft 120000 5 4 N/A N/A
