benchmarkName time removedStates removedTransitions CleanMinimizer FinalStateMinimizer OrthogonalPartitionRefinementMinimizer PartitionRefinementMinimizer
cm_1_1_10_dp_x-repair-po-3.dft 128 105 232 0 0 65 40
cm_1_1_10_sp_x-repair-po-3.dft 64 65 140 0 0 41 24
cm_1_1_11_dp_x-repair-po-3.dft 63 43 93 0 0 27 16
cm_1_1_11_sp_x-repair-po-3.dft 79 52 116 0 0 32 20
cm_1_1_12_dp_x-repair-po-3.dft 93 76 163 0 0 48 28
cm_1_1_12_sp_x-repair-po-3.dft 46 54 116 0 0 34 20
cm_1_1_13_sp_x-repair-po-3.dft 77 65 138 0 0 41 24
cm_1_1_14_sp_x-repair-po-3.dft 171 148 325 0 0 92 56
cm_1_1_2_dp_x-repair-po-3.dft 32 11 24 0 0 7 4
cm_1_1_2_sp_x-repair-po-3.dft 0 11 23 0 0 7 4
cm_1_1_3_dp_x-repair-po-3.dft 48 31 70 0 0 19 12
cm_1_1_3_sp_x-repair-po-3.dft 47 33 69 0 0 21 12
cm_1_1_4_dp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_1_1_4_sp_x-repair-po-3.dft 47 32 70 0 0 20 12
cm_1_1_5_dp_x-repair-po-3.dft 62 52 116 0 0 32 20
cm_1_1_5_sp_x-repair-po-3.dft 15 21 46 0 0 13 8
cm_1_1_6_dp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_1_1_6_sp_x-repair-po-3.dft 16 20 46 0 0 12 8
cm_1_1_7_dp_x-repair-po-3.dft 16 11 23 0 0 7 4
cm_1_1_7_sp_x-repair-po-3.dft 96 65 139 0 0 41 24
cm_1_1_8_dp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_1_1_8_sp_x-repair-po-3.dft 93 64 139 0 0 40 24
cm_1_1_9_dp_x-repair-po-3.dft 80 64 139 0 0 40 24
cm_1_1_9_sp_x-repair-po-3.dft 76 73 161 0 0 45 28
cm_2_1_2_dp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_2_1_2_sp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_2_1_3_dp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_2_1_3_sp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_2_1_4_dp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_2_1_4_sp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_2_2_2_dp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_2_2_2_sp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_2_2_3_dp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_2_2_3_sp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_2_2_4_dp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_2_2_4_sp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_3_1_2_dp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_3_1_2_sp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_3_1_3_dp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_3_1_3_sp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_3_1_4_dp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_3_1_4_sp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_3_2_2_dp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_3_2_2_sp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_3_2_3_dp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_3_2_3_sp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_3_2_4_dp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_3_2_4_sp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_3_3_2_dp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_3_3_2_sp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_3_3_3_dp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_3_3_3_sp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_3_3_4_dp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
cm_3_3_4_sp_x-repair-po-3.dft N/A N/A N/A N/A N/A N/A N/A
