benchmarkName countNodes dynamic repair partialObservable FAULT AND OR VOTE SPARE POR_I PAND_I SAND POR PAND BASIC_EVENT FDEP RDEP PDEP MONITOR DELAY SEQ
rc.1-1-hc-repair-po-3.dft 91 true true true 22 0 0 9 3 0 0 0 1 0 21 2 0 0 33 0 0
rc.1-1-sc-repair-po-3.dft 44 true true true 10 0 0 4 1 0 0 0 1 0 9 1 0 0 18 0 0
rc.1-10-hc-repair-po-3.dft 206 true true true 49 0 0 28 12 0 0 0 10 0 48 2 0 0 57 0 0
rc.1-10-sc-repair-po-3.dft 159 true true true 37 0 0 23 10 0 0 0 10 0 36 1 0 0 42 0 0
rc.1-15-hc-repair-po-3.dft 271 true true true 64 0 0 38 17 0 0 0 15 0 63 2 0 0 72 0 0
rc.1-15-sc-repair-po-3.dft 224 true true true 52 0 0 33 15 0 0 0 15 0 51 1 0 0 57 0 0
rc.1-2-hc-repair-po-3.dft 102 true true true 25 0 0 12 4 0 0 0 2 0 24 2 0 0 33 0 0
rc.1-2-sc-repair-po-3.dft 55 true true true 13 0 0 7 2 0 0 0 2 0 12 1 0 0 18 0 0
rc.1-20-hc-repair-po-3.dft 336 true true true 79 0 0 48 22 0 0 0 20 0 78 2 0 0 87 0 0
rc.1-20-sc-repair-po-3.dft 289 true true true 67 0 0 43 20 0 0 0 20 0 66 1 0 0 72 0 0
rc.1-25-hc-repair-po-3.dft 401 true true true 94 0 0 58 27 0 0 0 25 0 93 2 0 0 102 0 0
rc.1-25-sc-repair-po-3.dft 354 true true true 82 0 0 53 25 0 0 0 25 0 81 1 0 0 87 0 0
rc.1-3-hc-repair-po-3.dft 115 true true true 28 0 0 14 5 0 0 0 3 0 27 2 0 0 36 0 0
rc.1-3-sc-repair-po-3.dft 68 true true true 16 0 0 9 3 0 0 0 3 0 15 1 0 0 21 0 0
rc.1-30-hc-repair-po-3.dft 466 true true true 109 0 0 68 32 0 0 0 30 0 108 2 0 0 117 0 0
rc.1-30-sc-repair-po-3.dft 419 true true true 97 0 0 63 30 0 0 0 30 0 96 1 0 0 102 0 0
rc.1-4-hc-repair-po-3.dft 128 true true true 31 0 0 16 6 0 0 0 4 0 30 2 0 0 39 0 0
rc.1-4-sc-repair-po-3.dft 81 true true true 19 0 0 11 4 0 0 0 4 0 18 1 0 0 24 0 0
rc.1-5-hc-repair-po-3.dft 141 true true true 34 0 0 18 7 0 0 0 5 0 33 2 0 0 42 0 0
rc.1-5-sc-repair-po-3.dft 94 true true true 22 0 0 13 5 0 0 0 5 0 21 1 0 0 27 0 0
rc.10-1-hc-repair-po-3.dft 242 true true true 67 0 0 19 3 0 0 0 1 0 66 11 0 0 75 0 0
rc.10-1-sc-repair-po-3.dft 195 true true true 55 0 0 14 1 0 0 0 1 0 54 10 0 0 60 0 0
rc.10-10-hc-repair-po-3.dft 357 true true true 94 0 0 38 12 0 0 0 10 0 93 11 0 0 99 0 0
rc.10-10-sc-repair-po-3.dft 310 true true true 82 0 0 33 10 0 0 0 10 0 81 10 0 0 84 0 0
rc.15-1-hc-repair-po-3.dft 327 true true true 92 0 0 24 3 0 0 0 1 0 91 16 0 0 100 0 0
rc.15-1-sc-repair-po-3.dft 280 true true true 80 0 0 19 1 0 0 0 1 0 79 15 0 0 85 0 0
rc.15-15-hc-repair-po-3.dft 507 true true true 134 0 0 53 17 0 0 0 15 0 133 16 0 0 139 0 0
rc.15-15-sc-repair-po-3.dft 460 true true true 122 0 0 48 15 0 0 0 15 0 121 15 0 0 124 0 0
rc.2-1-hc-repair-po-3.dft 106 true true true 27 0 0 11 3 0 0 0 1 0 26 3 0 0 35 0 0
rc.2-1-sc-repair-po-3.dft 59 true true true 15 0 0 6 1 0 0 0 1 0 14 2 0 0 20 0 0
rc.2-2-hc-repair-po-3.dft 117 true true true 30 0 0 14 4 0 0 0 2 0 29 3 0 0 35 0 0
rc.2-2-sc-repair-po-3.dft 70 true true true 18 0 0 9 2 0 0 0 2 0 17 2 0 0 20 0 0
rc.2-3-hc-repair-po-3.dft 130 true true true 33 0 0 16 5 0 0 0 3 0 32 3 0 0 38 0 0
rc.2-3-sc-repair-po-3.dft 83 true true true 21 0 0 11 3 0 0 0 3 0 20 2 0 0 23 0 0
rc.2-4-hc-repair-po-3.dft 143 true true true 36 0 0 18 6 0 0 0 4 0 35 3 0 0 41 0 0
rc.2-4-sc-repair-po-3.dft 96 true true true 24 0 0 13 4 0 0 0 4 0 23 2 0 0 26 0 0
rc.20-1-hc-repair-po-3.dft 412 true true true 117 0 0 29 3 0 0 0 1 0 116 21 0 0 125 0 0
rc.20-1-sc-repair-po-3.dft 365 true true true 105 0 0 24 1 0 0 0 1 0 104 20 0 0 110 0 0
rc.20-20-hc-repair-po-3.dft 657 true true true 174 0 0 68 22 0 0 0 20 0 173 21 0 0 179 0 0
rc.20-20-sc-repair-po-3.dft 610 true true true 162 0 0 63 20 0 0 0 20 0 161 20 0 0 164 0 0
rc.25-1-hc-repair-po-3.dft 497 true true true 142 0 0 34 3 0 0 0 1 0 141 26 0 0 150 0 0
rc.25-1-sc-repair-po-3.dft 450 true true true 130 0 0 29 1 0 0 0 1 0 129 25 0 0 135 0 0
rc.25-25-hc-repair-po-3.dft 807 true true true 214 0 0 83 27 0 0 0 25 0 213 26 0 0 219 0 0
rc.25-25-sc-repair-po-3.dft 760 true true true 202 0 0 78 25 0 0 0 25 0 201 25 0 0 204 0 0
rc.3-1-hc-repair-po-3.dft 123 true true true 32 0 0 12 3 0 0 0 1 0 31 4 0 0 40 0 0
rc.3-1-sc-repair-po-3.dft 76 true true true 20 0 0 7 1 0 0 0 1 0 19 3 0 0 25 0 0
rc.3-2-hc-repair-po-3.dft 134 true true true 35 0 0 15 4 0 0 0 2 0 34 4 0 0 40 0 0
rc.3-2-sc-repair-po-3.dft 87 true true true 23 0 0 10 2 0 0 0 2 0 22 3 0 0 25 0 0
rc.3-3-hc-repair-po-3.dft 147 true true true 38 0 0 17 5 0 0 0 3 0 37 4 0 0 43 0 0
rc.3-3-sc-repair-po-3.dft 100 true true true 26 0 0 12 3 0 0 0 3 0 25 3 0 0 28 0 0
rc.3-4-hc-repair-po-3.dft 160 true true true 41 0 0 19 6 0 0 0 4 0 40 4 0 0 46 0 0
