benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize raSize
cm_1_1_10_dp_x-repair-po-4.dft 1200000 33 22 5 6 N/A
cm_1_1_10_sp_x-repair-po-4.dft 1200000 33 22 5 6 N/A
cm_1_1_11_dp_x-repair-po-4.dft 1200000 36 24 5 6 N/A
cm_1_1_11_sp_x-repair-po-4.dft 1200000 36 24 5 6 N/A
cm_1_1_12_dp_x-repair-po-4.dft 1200000 39 26 5 6 N/A
cm_1_1_12_sp_x-repair-po-4.dft 1200000 39 26 5 6 N/A
cm_1_1_13_sp_x-repair-po-4.dft 1200000 42 28 5 6 N/A
cm_1_1_14_sp_x-repair-po-4.dft 1200000 45 30 5 6 N/A
cm_1_1_2_dp_x-repair-po-4.dft 250 9 6 32 15 540
cm_1_1_2_sp_x-repair-po-4.dft 250 9 6 29 15 540
cm_1_1_3_dp_x-repair-po-4.dft 3997 12 8 44 62 13392
cm_1_1_3_sp_x-repair-po-4.dft 3984 12 8 41 62 13392
cm_1_1_4_dp_x-repair-po-4.dft 1800000 15 10 58 809 N/A
cm_1_1_4_sp_x-repair-po-4.dft 481752 15 10 55 809 1048464
cm_1_1_5_dp_x-repair-po-4.dft 1800000 18 12 70 2577 N/A
cm_1_1_5_sp_x-repair-po-4.dft 1200000 18 12 67 2577 N/A
cm_1_1_6_dp_x-repair-po-4.dft 1200000 21 14 5 6 N/A
cm_1_1_6_sp_x-repair-po-4.dft 1200000 21 14 N/A N/A N/A
cm_1_1_7_dp_x-repair-po-4.dft 1200000 24 16 5 6 N/A
cm_1_1_7_sp_x-repair-po-4.dft 1200000 24 16 5 6 N/A
cm_1_1_8_dp_x-repair-po-4.dft 1200000 27 18 5 6 N/A
cm_1_1_8_sp_x-repair-po-4.dft 1200000 27 18 5 6 N/A
cm_1_1_9_dp_x-repair-po-4.dft 1800000 30 20 N/A N/A N/A
cm_1_1_9_sp_x-repair-po-4.dft 1200000 30 20 N/A N/A N/A
cm_2_1_2_dp_x-repair-po-4.dft 1200000 5 0 28 10 N/A
cm_2_1_2_sp_x-repair-po-4.dft 1200000 5 0 28 10 N/A
cm_2_1_3_dp_x-repair-po-4.dft 1200000 7 0 36 10 N/A
cm_2_1_3_sp_x-repair-po-4.dft 1200000 7 0 36 11 N/A
cm_2_1_4_dp_x-repair-po-4.dft 1200000 9 0 N/A N/A N/A
cm_2_1_4_sp_x-repair-po-4.dft 1200000 9 0 N/A N/A N/A
cm_2_2_2_dp_x-repair-po-4.dft 1200000 5 0 28 11 N/A
cm_2_2_2_sp_x-repair-po-4.dft 1200000 5 0 N/A N/A N/A
cm_2_2_3_dp_x-repair-po-4.dft 1200000 7 0 36 11 N/A
cm_2_2_3_sp_x-repair-po-4.dft 1200000 7 0 36 11 N/A
cm_2_2_4_dp_x-repair-po-4.dft 1200000 9 0 44 11 N/A
cm_2_2_4_sp_x-repair-po-4.dft 1200000 9 0 N/A N/A N/A
cm_3_1_2_dp_x-repair-po-4.dft 1200000 7 0 39 11 N/A
cm_3_1_2_sp_x-repair-po-4.dft 1200000 7 0 39 11 N/A
cm_3_1_3_dp_x-repair-po-4.dft 1200000 10 0 51 11 N/A
cm_3_1_3_sp_x-repair-po-4.dft 1200000 10 0 51 11 N/A
cm_3_1_4_dp_x-repair-po-4.dft 1200000 13 0 63 11 N/A
cm_3_1_4_sp_x-repair-po-4.dft 1200000 13 0 63 11 N/A
cm_3_2_2_dp_x-repair-po-4.dft 1200000 7 0 39 11 N/A
cm_3_2_2_sp_x-repair-po-4.dft 1200000 7 0 39 10 N/A
cm_3_2_3_dp_x-repair-po-4.dft 1200000 10 0 51 11 N/A
cm_3_2_3_sp_x-repair-po-4.dft 1200000 10 0 51 10 N/A
cm_3_2_4_dp_x-repair-po-4.dft 1200000 13 0 63 11 N/A
cm_3_2_4_sp_x-repair-po-4.dft 1200000 13 0 63 11 N/A
cm_3_3_2_dp_x-repair-po-4.dft 1200000 7 0 39 10 N/A
cm_3_3_2_sp_x-repair-po-4.dft 1200000 7 0 39 11 N/A
cm_3_3_3_dp_x-repair-po-4.dft 1200000 10 0 51 11 N/A
cm_3_3_3_sp_x-repair-po-4.dft 1200000 10 0 51 10 N/A
cm_3_3_4_dp_x-repair-po-4.dft 1200000 13 0 63 11 N/A
cm_3_3_4_sp_x-repair-po-4.dft 1200000 13 0 63 11 N/A
