benchmarkName time maxStates maxTransitions
rc.1-1-hc-repair-po-4.dft N/A N/A N/A
rc.1-1-sc-repair-po-4.dft 0 16 30
rc.1-10-hc-repair-po-4.dft 113 796 1924
rc.1-10-sc-repair-po-4.dft 518 796 1924
rc.1-15-hc-repair-po-4.dft 58 796 1924
rc.1-15-sc-repair-po-4.dft 555 796 1924
rc.1-2-hc-repair-po-4.dft 117 796 1924
rc.1-2-sc-repair-po-4.dft 114 796 1924
rc.1-20-hc-repair-po-4.dft 521 796 1924
rc.1-20-sc-repair-po-4.dft 510 796 1924
rc.1-25-hc-repair-po-4.dft 146 796 1924
rc.1-25-sc-repair-po-4.dft 539 796 1924
rc.1-3-hc-repair-po-4.dft 56 796 1924
rc.1-3-sc-repair-po-4.dft 172 796 1924
rc.1-30-hc-repair-po-4.dft 532 796 1924
rc.1-30-sc-repair-po-4.dft 521 796 1924
rc.1-4-hc-repair-po-4.dft 242 796 1924
rc.1-4-sc-repair-po-4.dft 231 796 1924
rc.1-5-hc-repair-po-4.dft 57 796 1924
rc.1-5-sc-repair-po-4.dft 288 796 1924
rc.10-1-hc-repair-po-4.dft 0 16 30
rc.10-1-sc-repair-po-4.dft 0 16 30
rc.10-10-hc-repair-po-4.dft 189 796 1924
rc.10-10-sc-repair-po-4.dft 515 796 1924
rc.15-1-hc-repair-po-4.dft 0 16 30
rc.15-1-sc-repair-po-4.dft 0 16 30
rc.15-15-hc-repair-po-4.dft 545 796 1924
rc.15-15-sc-repair-po-4.dft 520 796 1924
rc.2-1-hc-repair-po-4.dft 1 16 30
rc.2-1-sc-repair-po-4.dft 0 16 30
rc.2-2-hc-repair-po-4.dft N/A N/A N/A
rc.2-2-sc-repair-po-4.dft 116 796 1924
rc.2-3-hc-repair-po-4.dft 178 796 1924
rc.2-3-sc-repair-po-4.dft 176 796 1924
rc.2-4-hc-repair-po-4.dft 115 796 1924
rc.2-4-sc-repair-po-4.dft 228 796 1924
rc.20-1-hc-repair-po-4.dft N/A N/A N/A
rc.20-1-sc-repair-po-4.dft 0 16 30
rc.20-20-hc-repair-po-4.dft 176 796 1924
rc.20-20-sc-repair-po-4.dft 457 796 1924
rc.25-1-hc-repair-po-4.dft 0 16 30
rc.25-1-sc-repair-po-4.dft 0 16 30
rc.25-25-hc-repair-po-4.dft 396 796 1924
rc.25-25-sc-repair-po-4.dft 460 796 1924
rc.3-1-hc-repair-po-4.dft 0 16 30
rc.3-1-sc-repair-po-4.dft 1 16 30
rc.3-2-hc-repair-po-4.dft 56 796 1924
rc.3-2-sc-repair-po-4.dft 114 796 1924
rc.3-3-hc-repair-po-4.dft 170 796 1924
rc.3-3-sc-repair-po-4.dft 172 796 1924
rc.3-4-hc-repair-po-4.dft 170 796 1924
rc.3-4-sc-repair-po-4.dft 230 796 1924
rc.30-1-hc-repair-po-4.dft 0 16 30
rc.30-1-sc-repair-po-4.dft 0 16 30
rc.30-30-hc-repair-po-4.dft 347 796 1924
rc.30-30-sc-repair-po-4.dft 402 796 1924
rc.4-1-hc-repair-po-4.dft 0 16 30
rc.4-1-sc-repair-po-4.dft 1 16 30
rc.4-2-hc-repair-po-4.dft 132 796 1924
rc.4-2-sc-repair-po-4.dft 112 796 1924
rc.4-3-hc-repair-po-4.dft 114 796 1924
rc.4-3-sc-repair-po-4.dft 184 796 1924
rc.4-4-hc-repair-po-4.dft 229 796 1924
rc.4-4-sc-repair-po-4.dft 250 796 1924
rc.5-1-hc-repair-po-4.dft 0 16 30
rc.5-1-sc-repair-po-4.dft 1 16 30
rc.5-5-hc-repair-po-4.dft 170 796 1924
rc.5-5-sc-repair-po-4.dft 288 796 1924
