benchmarkName time
cm_1_1_10_dp_x-repair-po-5.dft 0
cm_1_1_10_sp_x-repair-po-5.dft 0
cm_1_1_11_dp_x-repair-po-5.dft 0
cm_1_1_11_sp_x-repair-po-5.dft 0
cm_1_1_12_dp_x-repair-po-5.dft 0
cm_1_1_12_sp_x-repair-po-5.dft 0
cm_1_1_13_sp_x-repair-po-5.dft 0
cm_1_1_14_sp_x-repair-po-5.dft 0
cm_1_1_2_dp_x-repair-po-5.dft 0
cm_1_1_2_sp_x-repair-po-5.dft 0
cm_1_1_3_dp_x-repair-po-5.dft 0
cm_1_1_3_sp_x-repair-po-5.dft 0
cm_1_1_4_dp_x-repair-po-5.dft 0
cm_1_1_4_sp_x-repair-po-5.dft 0
cm_1_1_5_dp_x-repair-po-5.dft 0
cm_1_1_5_sp_x-repair-po-5.dft 0
cm_1_1_6_dp_x-repair-po-5.dft 0
cm_1_1_6_sp_x-repair-po-5.dft 0
cm_1_1_7_dp_x-repair-po-5.dft 0
cm_1_1_7_sp_x-repair-po-5.dft 0
cm_1_1_8_dp_x-repair-po-5.dft 0
cm_1_1_8_sp_x-repair-po-5.dft 0
cm_1_1_9_dp_x-repair-po-5.dft 0
cm_1_1_9_sp_x-repair-po-5.dft 0
cm_2_1_2_dp_x-repair-po-5.dft 2
cm_2_1_2_sp_x-repair-po-5.dft 4
cm_2_1_3_dp_x-repair-po-5.dft 22
cm_2_1_3_sp_x-repair-po-5.dft 22
cm_2_1_4_dp_x-repair-po-5.dft 1661
cm_2_1_4_sp_x-repair-po-5.dft 1682
cm_2_2_2_dp_x-repair-po-5.dft 2
cm_2_2_2_sp_x-repair-po-5.dft 2
cm_2_2_3_dp_x-repair-po-5.dft 22
cm_2_2_3_sp_x-repair-po-5.dft 25
cm_2_2_4_dp_x-repair-po-5.dft 1601
cm_2_2_4_sp_x-repair-po-5.dft 1673
cm_3_1_2_dp_x-repair-po-5.dft 4
cm_3_1_2_sp_x-repair-po-5.dft 3
cm_3_1_3_dp_x-repair-po-5.dft 33
cm_3_1_3_sp_x-repair-po-5.dft 34
cm_3_1_4_dp_x-repair-po-5.dft 2452
cm_3_1_4_sp_x-repair-po-5.dft 2377
cm_3_2_2_dp_x-repair-po-5.dft 4
cm_3_2_2_sp_x-repair-po-5.dft 3
cm_3_2_3_dp_x-repair-po-5.dft 33
cm_3_2_3_sp_x-repair-po-5.dft 36
cm_3_2_4_dp_x-repair-po-5.dft 2407
cm_3_2_4_sp_x-repair-po-5.dft 2406
cm_3_3_2_dp_x-repair-po-5.dft 3
cm_3_3_2_sp_x-repair-po-5.dft 3
cm_3_3_3_dp_x-repair-po-5.dft 34
cm_3_3_3_sp_x-repair-po-5.dft 34
cm_3_3_4_dp_x-repair-po-5.dft 2501
cm_3_3_4_sp_x-repair-po-5.dft 2409
