benchmarkName time maxStates maxTransitions
cm_1_1_10_dp_x.dft 1 12 13
cm_1_1_10_sp_x.dft 0 12 13
cm_1_1_11_dp_x.dft 1 12 13
cm_1_1_11_sp_x.dft 4 12 13
cm_1_1_12_dp_x.dft 1 12 13
cm_1_1_12_sp_x.dft 0 12 13
cm_1_1_13_sp_x.dft 0 12 13
cm_1_1_14_sp_x.dft 6 12 13
cm_1_1_2_dp_x.dft 2 51 76
cm_1_1_2_sp_x.dft 1 51 76
cm_1_1_3_dp_x.dft 3 202 357
cm_1_1_3_sp_x.dft 2 202 357
cm_1_1_4_dp_x.dft 13 1951 4250
cm_1_1_4_sp_x.dft 13 1951 4250
cm_1_1_5_dp_x.dft 67 7437 17858
cm_1_1_5_sp_x.dft 70 7437 17858
cm_1_1_6_dp_x.dft 837 68305 184421
cm_1_1_6_sp_x.dft 868 68305 184421
cm_1_1_7_dp_x.dft 4452 256693 744895
cm_1_1_7_sp_x.dft 4453 256693 744895
cm_1_1_8_dp_x.dft 1 12 13
cm_1_1_8_sp_x.dft 2 12 13
cm_1_1_9_dp_x.dft 0 12 13
cm_1_1_9_sp_x.dft 2 12 13
cm_2_1_2_dp_x.dft 1 51 76
cm_2_1_2_sp_x.dft 1 51 76
cm_2_1_3_dp_x.dft 3 202 357
cm_2_1_3_sp_x.dft 6 202 357
cm_2_1_4_dp_x.dft 27 1951 4250
cm_2_1_4_sp_x.dft 28 1951 4250
cm_2_2_2_dp_x.dft 2 51 76
cm_2_2_2_sp_x.dft 2 51 76
cm_2_2_3_dp_x.dft 2 202 357
cm_2_2_3_sp_x.dft 5 202 357
cm_2_2_4_dp_x.dft 27 1951 4250
cm_2_2_4_sp_x.dft 26 1951 4250
cm_3_1_2_dp_x.dft 0 51 76
cm_3_1_2_sp_x.dft 4 51 76
cm_3_1_3_dp_x.dft 4 202 357
cm_3_1_3_sp_x.dft 6 202 357
cm_3_1_4_dp_x.dft 41 1951 4250
cm_3_1_4_sp_x.dft 42 1951 4250
cm_3_2_2_dp_x.dft 2 51 76
cm_3_2_2_sp_x.dft 3 51 76
cm_3_2_3_dp_x.dft 4 202 357
cm_3_2_3_sp_x.dft 6 202 357
cm_3_2_4_dp_x.dft 42 1951 4250
cm_3_2_4_sp_x.dft 42 1951 4250
cm_3_3_2_dp_x.dft 4 51 76
cm_3_3_2_sp_x.dft 3 51 76
cm_3_3_3_dp_x.dft 5 202 357
cm_3_3_3_sp_x.dft 5 202 357
cm_3_3_4_dp_x.dft 42 1951 4250
cm_3_3_4_sp_x.dft 41 1951 4250
