benchmarkName time removedStates removedTransitions CleanMinimizer FinalStateMinimizer OrthogonalPartitionRefinementMinimizer PartitionRefinementMinimizer
cm_1_1_10_dp_x.dft 4 6 6 0 2 0 4
cm_1_1_10_sp_x.dft 3 6 6 0 2 0 4
cm_1_1_11_dp_x.dft 19 27 27 0 9 0 18
cm_1_1_11_sp_x.dft 14 33 33 0 11 0 22
cm_1_1_12_dp_x.dft 18 33 33 0 11 0 22
cm_1_1_12_sp_x.dft 1 3 3 0 1 0 2
cm_1_1_13_sp_x.dft 11 27 27 0 9 0 18
cm_1_1_14_sp_x.dft 16 33 33 0 11 0 22
cm_1_1_2_dp_x.dft 11 11 13 0 2 1 8
cm_1_1_2_sp_x.dft 11 11 13 0 2 1 8
cm_1_1_3_dp_x.dft 25 21 33 0 3 4 14
cm_1_1_3_sp_x.dft 25 21 33 0 3 4 14
cm_1_1_4_dp_x.dft 212 82 115 0 4 6 72
cm_1_1_4_sp_x.dft 203 84 116 0 4 8 72
cm_1_1_5_dp_x.dft 482 134 223 0 5 21 108
cm_1_1_5_sp_x.dft 471 133 219 0 5 20 108
cm_1_1_6_dp_x.dft 6478 1537 3116 0 6 117 1414
cm_1_1_6_sp_x.dft 6381 1540 3143 0 6 120 1414
cm_1_1_7_dp_x.dft 22238 3227 7667 0 7 243 2977
cm_1_1_7_sp_x.dft 21931 3224 7765 0 7 240 2977
cm_1_1_8_dp_x.dft 10 24 24 0 8 0 16
cm_1_1_8_sp_x.dft 11 24 24 0 8 0 16
cm_1_1_9_dp_x.dft 4 12 12 0 4 0 8
cm_1_1_9_sp_x.dft 8 21 21 0 7 0 14
cm_2_1_2_dp_x.dft 33 22 26 0 4 2 16
cm_2_1_2_sp_x.dft 33 22 26 0 4 2 16
cm_2_1_3_dp_x.dft 138 49 160 0 6 15 28
cm_2_1_3_sp_x.dft 133 49 160 0 6 15 28
cm_2_1_4_dp_x.dft 9045 184 418 0 8 32 144
cm_2_1_4_sp_x.dft 10554 166 227 0 8 14 144
cm_2_2_2_dp_x.dft 33 22 26 0 4 2 16
cm_2_2_2_sp_x.dft 35 22 26 0 4 2 16
cm_2_2_3_dp_x.dft 134 49 160 0 6 15 28
cm_2_2_3_sp_x.dft 136 49 160 0 6 15 28
cm_2_2_4_dp_x.dft 9700 170 237 0 8 18 144
cm_2_2_4_sp_x.dft 8117 228 1005 0 8 76 144
cm_3_1_2_dp_x.dft 126 33 39 0 6 3 24
cm_3_1_2_sp_x.dft 121 33 39 0 6 3 24
cm_3_1_3_dp_x.dft 987 109 923 0 9 58 42
cm_3_1_3_sp_x.dft 957 109 923 0 9 58 42
cm_3_1_4_dp_x.dft 249 251 343 0 12 23 216
cm_3_1_4_sp_x.dft 242 253 347 0 12 25 216
cm_3_2_2_dp_x.dft 120 33 39 0 6 3 24
cm_3_2_2_sp_x.dft 123 33 39 0 6 3 24
cm_3_2_3_dp_x.dft 980 109 923 0 9 58 42
cm_3_2_3_sp_x.dft 984 109 923 0 9 58 42
cm_3_2_4_dp_x.dft 244 251 347 0 12 23 216
cm_3_2_4_sp_x.dft 243 248 345 0 12 20 216
cm_3_3_2_dp_x.dft 149 33 39 0 6 3 24
cm_3_3_2_sp_x.dft 122 33 39 0 6 3 24
cm_3_3_3_dp_x.dft 1035 109 923 0 9 58 42
cm_3_3_3_sp_x.dft 1028 109 923 0 9 58 42
cm_3_3_4_dp_x.dft 243 254 350 0 12 26 216
cm_3_3_4_sp_x.dft 244 248 344 0 12 20 216
