benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize raSize
cm_1_1_10_dp_x.dft 1200000 37 26 5 1 nan
cm_1_1_10_sp_x.dft 1200000 35 24 5 1 nan
cm_1_1_11_dp_x.dft 1200000 40 28 5 1 nan
cm_1_1_11_sp_x.dft 1200000 38 26 5 1 nan
cm_1_1_12_dp_x.dft 1200000 43 30 5 1 nan
cm_1_1_12_sp_x.dft 1200000 41 28 5 1 nan
cm_1_1_13_sp_x.dft 1200000 44 30 5 1 nan
cm_1_1_14_sp_x.dft 1200000 47 32 5 1 nan
cm_1_1_2_dp_x.dft 96 13 10 32 3 3
cm_1_1_2_sp_x.dft 89 11 8 29 3 3
cm_1_1_3_dp_x.dft 155 16 12 44 5 4
cm_1_1_3_sp_x.dft 147 14 10 41 5 4
cm_1_1_4_dp_x.dft 460 19 14 58 40 39
cm_1_1_4_sp_x.dft 470 17 12 55 37 37
cm_1_1_5_dp_x.dft 936 22 16 70 75 72
cm_1_1_5_sp_x.dft 917 20 14 67 75 73
cm_1_1_6_dp_x.dft 11533 25 18 84 715 709
cm_1_1_6_sp_x.dft 11370 23 16 81 715 706
cm_1_1_7_dp_x.dft 44777 28 20 96 1653 1637
cm_1_1_7_sp_x.dft 44576 26 18 93 1665 1640
cm_1_1_8_dp_x.dft 1200000 31 22 5 1 nan
cm_1_1_8_sp_x.dft 1200000 29 20 5 1 nan
cm_1_1_9_dp_x.dft 1200000 34 24 5 1 nan
cm_1_1_9_sp_x.dft 1200000 32 22 5 1 nan
cm_2_1_2_dp_x.dft 227 26 20 32 3 9
cm_2_1_2_sp_x.dft 206 22 16 29 3 9
cm_2_1_3_dp_x.dft 462 32 24 44 5 16
cm_2_1_3_sp_x.dft 430 28 20 41 5 16
cm_2_1_4_dp_x.dft 10311 38 28 58 37 1245
cm_2_1_4_sp_x.dft 11831 34 24 55 38 1444
cm_2_2_2_dp_x.dft 227 26 20 32 3 9
cm_2_2_2_sp_x.dft 209 22 16 29 3 9
cm_2_2_3_dp_x.dft 456 32 24 44 5 16
cm_2_2_3_sp_x.dft 437 28 20 41 5 16
cm_2_2_4_dp_x.dft 10970 38 28 58 36 1296
cm_2_2_4_sp_x.dft 9211 34 24 55 34 1036
cm_3_1_2_dp_x.dft 492 38 29 32 3 27
cm_3_1_2_sp_x.dft 431 32 23 29 3 27
cm_3_1_3_dp_x.dft 1677 47 35 44 5 76
cm_3_1_3_sp_x.dft 1566 41 29 41 5 76
cm_3_1_4_dp_x.dft 1200000 56 41 58 39 nan
cm_3_1_4_sp_x.dft 1200000 50 35 55 38 nan
cm_3_2_2_dp_x.dft 474 38 29 32 3 27
cm_3_2_2_sp_x.dft 437 32 23 29 3 27
cm_3_2_3_dp_x.dft 1641 47 35 44 5 76
cm_3_2_3_sp_x.dft 1590 41 29 41 5 76
cm_3_2_4_dp_x.dft 1200000 56 41 58 39 nan
cm_3_2_4_sp_x.dft 1200000 50 35 55 39 nan
cm_3_3_2_dp_x.dft 516 38 29 32 3 27
cm_3_3_2_sp_x.dft 439 32 23 29 3 27
cm_3_3_3_dp_x.dft 1706 47 35 44 5 76
cm_3_3_3_sp_x.dft 1673 41 29 41 5 76
cm_3_3_4_dp_x.dft 1200000 56 41 58 37 nan
cm_3_3_4_sp_x.dft 1200000 50 35 55 39 nan
