benchmarkName countNodes dynamic repair partialObservable FAULT AND OR VOTE SPARE POR_I PAND_I SAND POR PAND BASIC_EVENT FDEP RDEP PDEP MONITOR DELAY SEQ
hecs_1_1.dft 32 true false false 13 0 0 5 2 0 0 0 0 0 12 0 0 0 0 0 0
hecs_2_1.dft 64 true false false 25 0 0 11 4 0 0 0 0 0 24 0 0 0 0 0 0
hecs_2_2.dft 64 true false false 25 0 0 11 4 0 0 0 0 0 24 0 0 0 0 0 0
hecs_3_1.dft 95 true false false 37 0 0 16 6 0 0 0 0 0 36 0 0 0 0 0 0
hecs_3_3.dft 95 true false false 37 0 0 16 6 0 0 0 0 0 36 0 0 0 0 0 0
hecs_4_1.dft 126 true false false 49 0 0 21 8 0 0 0 0 0 48 0 0 0 0 0 0
hecs_4_2.dft 126 true false false 49 0 0 21 8 0 0 0 0 0 48 0 0 0 0 0 0
hecs_4_3.dft 126 true false false 49 0 0 21 8 0 0 0 0 0 48 0 0 0 0 0 0
hecs_4_4.dft 126 true false false 49 0 0 21 8 0 0 0 0 0 48 0 0 0 0 0 0
hecs_5_1.dft 157 true false false 61 0 0 26 10 0 0 0 0 0 60 0 0 0 0 0 0
hecs_5_5.dft 157 true false false 61 0 0 26 10 0 0 0 0 0 60 0 0 0 0 0 0
hecs_6_1.dft 188 true false false 73 0 0 31 12 0 0 0 0 0 72 0 0 0 0 0 0
hecs_6_6.dft 188 true false false 73 0 0 31 12 0 0 0 0 0 72 0 0 0 0 0 0
hecs_7_1.dft 219 true false false 85 0 0 36 14 0 0 0 0 0 84 0 0 0 0 0 0
hecs_7_7.dft 219 true false false 85 0 0 36 14 0 0 0 0 0 84 0 0 0 0 0 0
hecs_8_1.dft 250 true false false 97 0 0 41 16 0 0 0 0 0 96 0 0 0 0 0 0
hecs_8_8.dft 250 true false false 97 0 0 41 16 0 0 0 0 0 96 0 0 0 0 0 0
