benchmarkName time removedStates removedTransitions CleanMinimizer FinalStateMinimizer OrthogonalPartitionRefinementMinimizer PartitionRefinementMinimizer
hecs_1_1.dft 3 3 1 0 1 1 1
hecs_2_1.dft 9 6 2 0 2 2 2
hecs_2_2.dft 10 6 2 0 2 2 2
hecs_3_1.dft 22 9 3 0 3 3 3
hecs_3_3.dft 20 9 3 0 3 3 3
hecs_4_1.dft 43 12 4 0 4 4 4
hecs_4_2.dft 42 12 4 0 4 4 4
hecs_4_3.dft 43 12 4 0 4 4 4
hecs_4_4.dft 43 12 4 0 4 4 4
hecs_5_1.dft 95 15 5 0 5 5 5
hecs_5_5.dft 97 15 5 0 5 5 5
hecs_6_1.dft 218 18 6 0 6 6 6
hecs_6_6.dft 219 18 6 0 6 6 6
hecs_7_1.dft 504 21 7 0 7 7 7
hecs_7_7.dft 503 21 7 0 7 7 7
hecs_8_1.dft 1154 24 8 0 8 8 8
hecs_8_8.dft 1148 24 8 0 8 8 8
