benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize raSize
rc.1-1-hc.dft 132 35 33 10 2 2
rc.1-1-sc.dft 56 15 14 10 1 1
rc.1-10-hc.dft 687 45 34 10 2 2
rc.1-10-sc.dft 480 25 15 10 1 1
rc.1-15-hc.dft 1156 50 34 10 2 2
rc.1-15-sc.dft 898 30 15 10 1 1
rc.1-2-hc.dft 176 37 34 10 2 2
rc.1-2-sc.dft 86 17 15 10 1 1
rc.1-20-hc.dft 1862 55 34 10 2 2
rc.1-20-sc.dft 1465 35 15 10 1 1
rc.1-25-hc.dft 2601 60 34 10 2 2
rc.1-25-sc.dft 2112 40 15 10 1 1
rc.1-3-hc.dft 221 38 34 10 2 2
rc.1-3-sc.dft 116 18 15 10 1 1
rc.1-30-hc.dft 3411 65 34 10 2 2
rc.1-30-sc.dft 2902 45 15 10 1 1
rc.1-4-hc.dft 273 39 34 10 2 2
rc.1-4-sc.dft 154 19 15 10 1 1
rc.1-5-hc.dft 327 40 34 10 2 2
rc.1-5-sc.dft 194 20 15 10 1 1
rc.10-1-hc.dft 643 135 133 10 2 2
rc.10-1-sc.dft 420 115 114 10 1 1
rc.10-10-hc.dft 1651 145 134 10 2 2
rc.10-10-sc.dft 1283 125 115 10 1 1
rc.15-1-hc.dft 1119 190 188 10 2 2
rc.15-1-sc.dft 821 170 169 10 1 1
rc.15-15-hc.dft 3230 205 189 10 2 2
rc.15-15-sc.dft 2737 185 170 10 1 1
rc.2-1-hc.dft 168 47 45 10 2 2
rc.2-1-sc.dft 77 27 26 10 1 1
rc.2-2-hc.dft 222 49 46 10 2 2
rc.2-2-sc.dft 111 29 27 10 1 1
rc.2-3-hc.dft 270 50 46 10 2 2
rc.2-3-sc.dft 149 30 27 10 1 1
rc.2-4-hc.dft 325 51 46 10 2 2
rc.2-4-sc.dft 194 31 27 10 1 1
rc.20-1-hc.dft 1722 245 243 10 2 2
rc.20-1-sc.dft 1364 225 224 10 1 1
rc.20-20-hc.dft 5337 265 244 10 2 2
rc.20-20-sc.dft 4700 245 225 10 1 1
rc.25-1-hc.dft 2481 300 298 10 2 2
rc.25-1-sc.dft 2003 280 279 10 1 1
rc.25-25-hc.dft 8006 325 299 10 2 2
rc.25-25-sc.dft 7232 305 280 10 1 1
rc.3-1-hc.dft 203 58 56 10 2 2
rc.3-1-sc.dft 100 38 37 10 1 1
rc.3-2-hc.dft 266 60 57 10 2 2
rc.3-2-sc.dft 144 40 38 10 1 1
rc.3-3-hc.dft 321 61 57 10 2 2
rc.3-3-sc.dft 186 41 38 10 1 1
rc.3-4-hc.dft 389 62 57 10 2 2
rc.3-4-sc.dft 230 42 38 10 1 1
rc.30-1-hc.dft 3327 355 353 10 2 2
rc.30-1-sc.dft 2802 335 334 10 1 1
rc.30-30-hc.dft 11169 385 354 10 2 2
rc.30-30-sc.dft 10279 365 335 10 1 1
rc.4-1-hc.dft 250 69 67 10 2 2
rc.4-1-sc.dft 132 49 48 10 1 1
rc.4-2-hc.dft 311 71 68 10 2 2
rc.4-2-sc.dft 178 51 49 10 1 1
rc.4-3-hc.dft 376 72 68 10 2 2
rc.4-3-sc.dft 240 52 49 10 1 1
rc.4-4-hc.dft 450 73 68 10 2 2
rc.4-4-sc.dft 283 53 49 10 1 1
rc.5-1-hc.dft 295 80 78 10 2 2
rc.5-1-sc.dft 166 60 59 10 1 1
rc.5-5-hc.dft 584 85 79 10 2 2
rc.5-5-sc.dft 394 65 60 10 1 1
