benchmarkName time maxStates maxTransitions
cm_1_1_10_dp_x.dft 15 12 13
cm_1_1_10_sp_x.dft 0 12 13
cm_1_1_11_dp_x.dft nan nan nan
cm_1_1_11_sp_x.dft 0 12 13
cm_1_1_12_dp_x.dft 0 12 13
cm_1_1_12_sp_x.dft 0 12 13
cm_1_1_13_sp_x.dft 0 12 13
cm_1_1_14_sp_x.dft nan nan nan
cm_1_1_2_dp_x.dft 0 51 76
cm_1_1_2_sp_x.dft 0 51 76
cm_1_1_3_dp_x.dft 0 202 357
cm_1_1_3_sp_x.dft 0 202 357
cm_1_1_4_dp_x.dft 15 1951 4250
cm_1_1_4_sp_x.dft 15 1951 4250
cm_1_1_5_dp_x.dft 79 7437 17858
cm_1_1_5_sp_x.dft 62 7437 17858
cm_1_1_6_dp_x.dft 860 68305 184421
cm_1_1_6_sp_x.dft 875 68305 184421
cm_1_1_7_dp_x.dft 4657 256693 744895
cm_1_1_7_sp_x.dft 4688 256693 744895
cm_1_1_8_dp_x.dft 0 12 13
cm_1_1_8_sp_x.dft 0 12 13
cm_1_1_9_dp_x.dft 0 12 13
cm_1_1_9_sp_x.dft 0 12 13
cm_2_1_2_dp_x.dft 0 51 76
cm_2_1_2_sp_x.dft 0 51 76
cm_2_1_3_dp_x.dft 0 202 357
cm_2_1_3_sp_x.dft 15 202 357
cm_2_1_4_dp_x.dft 31 1951 4250
cm_2_1_4_sp_x.dft 15 1951 4250
cm_2_2_2_dp_x.dft 0 51 76
cm_2_2_2_sp_x.dft 0 51 76
cm_2_2_3_dp_x.dft 0 202 357
cm_2_2_3_sp_x.dft 0 202 357
cm_2_2_4_dp_x.dft 16 1951 4250
cm_2_2_4_sp_x.dft 31 1951 4250
cm_3_1_2_dp_x.dft 0 51 76
cm_3_1_2_sp_x.dft 0 51 76
cm_3_1_3_dp_x.dft 0 202 357
cm_3_1_3_sp_x.dft 0 202 357
cm_3_1_4_dp_x.dft 47 1951 4250
cm_3_1_4_sp_x.dft 46 1951 4250
cm_3_2_2_dp_x.dft 15 51 76
cm_3_2_2_sp_x.dft 0 51 76
cm_3_2_3_dp_x.dft 0 202 357
cm_3_2_3_sp_x.dft 0 202 357
cm_3_2_4_dp_x.dft 62 1951 4250
cm_3_2_4_sp_x.dft 48 1951 4250
cm_3_3_2_dp_x.dft 0 51 76
cm_3_3_2_sp_x.dft 0 51 76
cm_3_3_3_dp_x.dft 0 202 357
cm_3_3_3_sp_x.dft 0 202 357
cm_3_3_4_dp_x.dft 46 1951 4250
cm_3_3_4_sp_x.dft 47 1951 4250
