benchmarkName time removedStates removedTransitions CleanMinimizer FinalStateMinimizer OrthogonalPartitionRefinementMinimizer PartitionRefinementMinimizer
cm_1_1_10_dp_x.dft 0 7 14 0 7 0 nan
cm_1_1_10_sp_x.dft 15 9 18 0 9 0 nan
cm_1_1_11_dp_x.dft nan nan nan nan nan nan nan
cm_1_1_11_sp_x.dft 15 10 20 0 10 0 nan
cm_1_1_12_dp_x.dft 16 9 18 0 9 0 nan
cm_1_1_12_sp_x.dft 0 4 8 0 4 0 nan
cm_1_1_13_sp_x.dft 0 1 2 0 1 0 nan
cm_1_1_14_sp_x.dft nan nan nan nan nan nan nan
cm_1_1_2_dp_x.dft 0 6 10 0 3 3 nan
cm_1_1_2_sp_x.dft 16 6 10 0 3 3 nan
cm_1_1_3_dp_x.dft 32 13 23 0 4 9 nan
cm_1_1_3_sp_x.dft 16 14 23 0 4 10 nan
cm_1_1_4_dp_x.dft 78 54 53 0 12 42 nan
cm_1_1_4_sp_x.dft 78 57 47 0 12 45 nan
cm_1_1_5_dp_x.dft 187 99 122 0 15 84 nan
cm_1_1_5_sp_x.dft 171 79 69 0 15 64 nan
cm_1_1_6_dp_x.dft 2438 827 587 0 78 749 nan
cm_1_1_6_sp_x.dft 2468 783 544 0 78 705 nan
cm_1_1_7_dp_x.dft 6515 1485 904 0 113 1372 nan
cm_1_1_7_sp_x.dft 6528 1519 1087 0 113 1406 nan
cm_1_1_8_dp_x.dft 16 6 12 0 6 0 nan
cm_1_1_8_sp_x.dft 0 8 16 0 8 0 nan
cm_1_1_9_dp_x.dft 16 6 12 0 6 0 nan
cm_1_1_9_sp_x.dft 16 8 16 0 8 0 nan
cm_2_1_2_dp_x.dft 0 13 20 0 6 7 nan
cm_2_1_2_sp_x.dft 0 14 20 0 6 8 nan
cm_2_1_3_dp_x.dft 32 26 46 0 8 18 nan
cm_2_1_3_sp_x.dft 47 25 38 0 8 17 nan
cm_2_1_4_dp_x.dft 172 108 86 0 24 84 nan
cm_2_1_4_sp_x.dft 171 108 96 0 24 84 nan
cm_2_2_2_dp_x.dft 0 12 20 0 6 6 nan
cm_2_2_2_sp_x.dft 0 14 20 0 6 8 nan
cm_2_2_3_dp_x.dft 47 27 46 0 8 19 nan
cm_2_2_3_sp_x.dft 32 26 46 0 8 18 nan
cm_2_2_4_dp_x.dft 172 100 87 0 24 76 nan
cm_2_2_4_sp_x.dft 141 107 92 0 24 83 nan
cm_3_1_2_dp_x.dft 31 19 30 0 9 10 nan
cm_3_1_2_sp_x.dft 0 19 30 0 9 10 nan
cm_3_1_3_dp_x.dft 62 41 69 0 12 29 nan
cm_3_1_3_sp_x.dft 46 41 69 0 12 29 nan
cm_3_1_4_dp_x.dft 250 155 131 0 36 119 nan
cm_3_1_4_sp_x.dft 250 154 136 0 36 118 nan
cm_3_2_2_dp_x.dft 47 18 30 0 9 9 nan
cm_3_2_2_sp_x.dft 16 20 30 0 9 11 nan
cm_3_2_3_dp_x.dft 31 40 69 0 12 28 nan
cm_3_2_3_sp_x.dft 32 41 69 0 12 29 nan
cm_3_2_4_dp_x.dft 234 152 138 0 36 116 nan
cm_3_2_4_sp_x.dft 249 161 144 0 36 125 nan
cm_3_3_2_dp_x.dft 47 21 30 0 9 12 nan
cm_3_3_2_sp_x.dft 32 18 30 0 9 9 nan
cm_3_3_3_dp_x.dft 63 42 69 0 12 30 nan
cm_3_3_3_sp_x.dft 31 41 69 0 12 29 nan
cm_3_3_4_dp_x.dft 234 164 151 0 36 128 nan
cm_3_3_4_sp_x.dft 264 161 141 0 36 125 nan
