benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize raSize
cm_1_1_10_dp_x.dft 1200000 37 26 5 3 nan
cm_1_1_10_sp_x.dft 1200000 35 24 5 3 nan
cm_1_1_11_dp_x.dft 1200000 40 28 nan nan nan
cm_1_1_11_sp_x.dft 1200000 38 26 5 3 nan
cm_1_1_12_dp_x.dft 1200000 43 30 5 3 nan
cm_1_1_12_sp_x.dft 1200000 41 28 5 3 nan
cm_1_1_13_sp_x.dft 1200000 44 30 5 3 nan
cm_1_1_14_sp_x.dft 1200000 47 32 nan nan nan
cm_1_1_2_dp_x.dft 109 13 10 32 4 36
cm_1_1_2_sp_x.dft 78 11 8 29 4 36
cm_1_1_3_dp_x.dft 203 16 12 44 6 162
cm_1_1_3_sp_x.dft 156 14 10 41 5 135
cm_1_1_4_dp_x.dft 1219 19 14 58 59 4779
cm_1_1_4_sp_x.dft 1156 17 12 55 56 4536
cm_1_1_5_dp_x.dft 5797 22 16 70 97 23571
cm_1_1_5_sp_x.dft 6625 20 14 67 117 28431
cm_1_1_6_dp_x.dft 282075 25 18 84 1407 1025703
cm_1_1_6_sp_x.dft 282568 23 16 81 1451 1057779
cm_1_1_7_dp_x.dft 1200000 28 20 96 3365 nan
cm_1_1_7_sp_x.dft 1800000 26 18 93 3331 nan
cm_1_1_8_dp_x.dft 1200000 31 22 5 3 nan
cm_1_1_8_sp_x.dft 1200000 29 20 5 3 nan
cm_1_1_9_dp_x.dft 1200000 34 24 5 3 nan
cm_1_1_9_sp_x.dft 1200000 32 22 5 3 nan
cm_2_1_2_dp_x.dft 391 26 20 32 4 972
cm_2_1_2_sp_x.dft 328 22 16 29 3 729
cm_2_1_3_dp_x.dft 7063 32 24 44 6 26244
cm_2_1_3_sp_x.dft 8515 28 20 41 8 29160
cm_2_1_4_dp_x.dft 1200000 38 28 58 59 nan
cm_2_1_4_sp_x.dft 1800000 34 24 55 63 nan
cm_2_2_2_dp_x.dft 484 26 20 32 4 1296
cm_2_2_2_sp_x.dft 343 22 16 29 3 729
cm_2_2_3_dp_x.dft 6937 32 24 44 6 21870
cm_2_2_3_sp_x.dft 7735 28 20 41 6 26244
cm_2_2_4_dp_x.dft 1200000 38 28 58 64 nan
cm_2_2_4_sp_x.dft 1800000 34 24 55 61 nan
cm_3_1_2_dp_x.dft 9438 38 29 32 4 34992
cm_3_1_2_sp_x.dft 9375 32 23 29 4 34992
cm_3_1_3_dp_x.dft 1200000 47 35 44 6 nan
cm_3_1_3_sp_x.dft 1800000 41 29 41 6 nan
cm_3_1_4_dp_x.dft 1200000 56 41 58 63 nan
cm_3_1_4_sp_x.dft 1800000 50 35 55 64 nan
cm_3_2_2_dp_x.dft 12000 38 29 32 4 46656
cm_3_2_2_sp_x.dft 7516 32 23 29 4 26244
cm_3_2_3_dp_x.dft 1200000 47 35 44 6 nan
cm_3_2_3_sp_x.dft 1800000 41 29 41 6 nan
cm_3_2_4_dp_x.dft 1800000 56 41 58 65 nan
cm_3_2_4_sp_x.dft 1800000 50 35 55 63 nan
cm_3_3_2_dp_x.dft 6000 38 29 32 3 19683
cm_3_3_2_sp_x.dft 11953 32 23 29 4 46656
cm_3_3_3_dp_x.dft 1200000 47 35 44 5 nan
cm_3_3_3_sp_x.dft 1800000 41 29 41 6 nan
cm_3_3_4_dp_x.dft 1800000 56 41 58 63 nan
cm_3_3_4_sp_x.dft 1800000 50 35 55 62 nan
