benchmarkName time removedStates removedTransitions CleanMinimizer FinalStateMinimizer OrthogonalPartitionRefinementMinimizer PartitionRefinementMinimizer
hecs_1_1.dft 0 3 1 0 1 2 nan
hecs_2_1.dft 0 6 2 0 2 4 nan
hecs_2_2.dft 15 6 2 0 2 4 nan
hecs_3_1.dft 16 9 3 0 3 6 nan
hecs_3_3.dft 0 9 3 0 3 6 nan
hecs_4_1.dft 0 12 4 0 4 8 nan
hecs_4_2.dft 31 12 4 0 4 8 nan
hecs_4_3.dft 16 12 4 0 4 8 nan
hecs_4_4.dft 0 12 4 0 4 8 nan
hecs_5_1.dft 15 15 5 0 5 10 nan
hecs_5_5.dft 0 15 5 0 5 10 nan
hecs_6_1.dft 0 18 6 0 6 12 nan
hecs_6_6.dft 16 18 6 0 6 12 nan
hecs_7_1.dft 0 21 7 0 7 14 nan
hecs_7_7.dft 0 21 7 0 7 14 nan
hecs_8_1.dft 0 24 8 0 8 16 nan
hecs_8_8.dft 31 24 8 0 8 16 nan
