benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize raSize
hecs_1_1.dft 62 15 14 9 2 2
hecs_2_1.dft 125 30 28 9 2 4
hecs_2_2.dft 140 30 28 9 2 4
hecs_3_1.dft 250 44 41 9 2 8
hecs_3_3.dft 234 44 41 9 2 8
hecs_4_1.dft 391 58 54 9 2 16
hecs_4_2.dft 465 58 54 9 2 16
hecs_4_3.dft 407 58 54 9 2 16
hecs_4_4.dft 391 58 54 9 2 16
hecs_5_1.dft 594 72 67 9 2 32
hecs_5_5.dft 578 72 67 9 2 32
hecs_6_1.dft 829 86 80 9 2 64
hecs_6_6.dft 843 86 80 9 2 64
hecs_7_1.dft 1109 100 93 9 2 128
hecs_7_7.dft 1125 100 93 9 2 128
hecs_8_1.dft 1500 114 106 9 2 256
hecs_8_8.dft 1468 114 106 9 2 256
