benchmarkName time removedStates removedTransitions CleanMinimizer FinalStateMinimizer OrthogonalPartitionRefinementMinimizer PartitionRefinementMinimizer
rc.1-1-hc.dft 0 4 3 0 2 2 nan
rc.1-1-sc.dft 0 1 2 0 1 0 nan
rc.1-10-hc.dft 0 13 21 0 11 2 nan
rc.1-10-sc.dft 16 10 20 0 10 0 nan
rc.1-15-hc.dft 0 18 31 0 16 2 nan
rc.1-15-sc.dft 63 15 30 0 15 0 nan
rc.1-2-hc.dft 0 5 5 0 3 2 nan
rc.1-2-sc.dft 16 2 4 0 2 0 nan
rc.1-20-hc.dft 31 23 41 0 21 2 nan
rc.1-20-sc.dft 0 20 40 0 20 0 nan
rc.1-25-hc.dft 31 28 51 0 26 2 nan
rc.1-25-sc.dft 47 25 50 0 25 0 nan
rc.1-3-hc.dft 0 6 7 0 4 2 nan
rc.1-3-sc.dft 0 3 6 0 3 0 nan
rc.1-30-hc.dft 31 33 61 0 31 2 nan
rc.1-30-sc.dft 62 30 60 0 30 0 nan
rc.1-4-hc.dft 0 7 9 0 5 2 nan
rc.1-4-sc.dft 0 4 8 0 4 0 nan
rc.1-5-hc.dft 0 8 11 0 6 2 nan
rc.1-5-sc.dft 16 5 10 0 5 0 nan
rc.10-1-hc.dft 0 4 3 0 2 2 nan
rc.10-1-sc.dft 0 1 2 0 1 0 nan
rc.10-10-hc.dft 0 13 21 0 11 2 nan
rc.10-10-sc.dft 0 10 20 0 10 0 nan
rc.15-1-hc.dft 0 4 3 0 2 2 nan
rc.15-1-sc.dft 0 1 2 0 1 0 nan
rc.15-15-hc.dft 0 18 31 0 16 2 nan
rc.15-15-sc.dft 0 15 30 0 15 0 nan
rc.2-1-hc.dft 0 4 3 0 2 2 nan
rc.2-1-sc.dft 0 1 2 0 1 0 nan
rc.2-2-hc.dft 0 5 5 0 3 2 nan
rc.2-2-sc.dft 16 2 4 0 2 0 nan
rc.2-3-hc.dft 16 6 7 0 4 2 nan
rc.2-3-sc.dft 0 3 6 0 3 0 nan
rc.2-4-hc.dft 16 7 9 0 5 2 nan
rc.2-4-sc.dft 15 4 8 0 4 0 nan
rc.20-1-hc.dft 0 4 3 0 2 2 nan
rc.20-1-sc.dft 0 1 2 0 1 0 nan
rc.20-20-hc.dft 31 23 41 0 21 2 nan
rc.20-20-sc.dft 31 20 40 0 20 0 nan
rc.25-1-hc.dft 0 4 3 0 2 2 nan
rc.25-1-sc.dft 0 1 2 0 1 0 nan
rc.25-25-hc.dft 31 28 51 0 26 2 nan
rc.25-25-sc.dft 16 25 50 0 25 0 nan
rc.3-1-hc.dft 16 4 3 0 2 2 nan
rc.3-1-sc.dft 0 1 2 0 1 0 nan
rc.3-2-hc.dft 0 5 5 0 3 2 nan
rc.3-2-sc.dft 0 2 4 0 2 0 nan
rc.3-3-hc.dft 0 6 7 0 4 2 nan
rc.3-3-sc.dft 0 3 6 0 3 0 nan
rc.3-4-hc.dft 0 7 9 0 5 2 nan
rc.3-4-sc.dft 0 4 8 0 4 0 nan
rc.30-1-hc.dft 0 4 3 0 2 2 nan
rc.30-1-sc.dft 0 1 2 0 1 0 nan
rc.30-30-hc.dft 47 33 61 0 31 2 nan
rc.30-30-sc.dft 31 30 60 0 30 0 nan
rc.4-1-hc.dft 0 4 3 0 2 2 nan
rc.4-1-sc.dft 0 1 2 0 1 0 nan
rc.4-2-hc.dft 0 5 5 0 3 2 nan
rc.4-2-sc.dft 0 2 4 0 2 0 nan
rc.4-3-hc.dft 0 6 7 0 4 2 nan
rc.4-3-sc.dft 16 3 6 0 3 0 nan
rc.4-4-hc.dft 0 7 9 0 5 2 nan
rc.4-4-sc.dft 0 4 8 0 4 0 nan
rc.5-1-hc.dft 0 4 3 0 2 2 nan
rc.5-1-sc.dft 0 1 2 0 1 0 nan
rc.5-5-hc.dft 0 8 11 0 6 2 nan
rc.5-5-sc.dft 16 5 10 0 5 0 nan
