benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize raSize
rc.1-1-hc.dft 140 35 33 10 3 6
rc.1-1-sc.dft 63 15 14 10 3 3
rc.1-10-hc.dft 31250 45 34 10 3 118098
rc.1-10-sc.dft 12235 25 15 10 3 59049
rc.1-15-hc.dft 1200000 50 34 10 3 nan
rc.1-15-sc.dft 1800000 30 15 10 3 nan
rc.1-2-hc.dft 172 37 34 10 3 18
rc.1-2-sc.dft 78 17 15 10 3 9
rc.1-20-hc.dft 1200000 55 34 10 3 nan
rc.1-20-sc.dft 1800000 35 15 10 3 nan
rc.1-25-hc.dft 1800000 60 34 10 3 nan
rc.1-25-sc.dft 1800000 40 15 10 3 nan
rc.1-3-hc.dft 219 38 34 10 3 54
rc.1-3-sc.dft 109 18 15 10 3 27
rc.1-30-hc.dft 1200000 65 34 10 3 nan
rc.1-30-sc.dft 1800000 45 15 10 3 nan
rc.1-4-hc.dft 297 39 34 10 3 162
rc.1-4-sc.dft 156 19 15 10 3 81
rc.1-5-hc.dft 406 40 34 10 3 486
rc.1-5-sc.dft 219 20 15 10 3 243
rc.10-1-hc.dft 625 135 133 10 3 6
rc.10-1-sc.dft 422 115 114 10 3 3
rc.10-10-hc.dft 32231 145 134 10 3 118098
rc.10-10-sc.dft 13016 125 115 10 3 59049
rc.15-1-hc.dft 1078 190 188 10 3 6
rc.15-1-sc.dft 797 170 169 10 3 3
rc.15-15-hc.dft 1200000 205 189 10 3 nan
rc.15-15-sc.dft 1800000 185 170 10 3 nan
rc.2-1-hc.dft 172 47 45 10 3 6
rc.2-1-sc.dft 79 27 26 10 3 3
rc.2-2-hc.dft 219 49 46 10 3 18
rc.2-2-sc.dft 125 29 27 10 3 9
rc.2-3-hc.dft 266 50 46 10 3 54
rc.2-3-sc.dft 157 30 27 10 3 27
rc.2-4-hc.dft 344 51 46 10 3 162
rc.2-4-sc.dft 187 31 27 10 3 81
rc.20-1-hc.dft 1688 245 243 10 3 6
rc.20-1-sc.dft 1344 225 224 10 3 3
rc.20-20-hc.dft 1200000 265 244 10 3 nan
rc.20-20-sc.dft 1800000 245 225 10 3 nan
rc.25-1-hc.dft 2438 300 298 10 3 6
rc.25-1-sc.dft 1986 280 279 10 3 3
rc.25-25-hc.dft 1200000 325 299 10 3 nan
rc.25-25-sc.dft 1800000 305 280 10 3 nan
rc.3-1-hc.dft 219 58 56 10 3 6
rc.3-1-sc.dft 93 38 37 10 3 3
rc.3-2-hc.dft 266 60 57 10 3 18
rc.3-2-sc.dft 141 40 38 10 3 9
rc.3-3-hc.dft 328 61 57 10 3 54
rc.3-3-sc.dft 188 41 38 10 3 27
rc.3-4-hc.dft 391 62 57 10 3 162
rc.3-4-sc.dft 250 42 38 10 3 81
rc.30-1-hc.dft 3297 355 353 10 3 6
rc.30-1-sc.dft 2828 335 334 10 3 3
rc.30-30-hc.dft 1200000 385 354 10 3 nan
rc.30-30-sc.dft 1800000 365 335 10 3 nan
rc.4-1-hc.dft 250 69 67 10 3 6
rc.4-1-sc.dft 110 49 48 10 3 3
rc.4-2-hc.dft 312 71 68 10 3 18
rc.4-2-sc.dft 172 51 49 10 3 9
rc.4-3-hc.dft 390 72 68 10 3 54
rc.4-3-sc.dft 219 52 49 10 3 27
rc.4-4-hc.dft 453 73 68 10 3 162
rc.4-4-sc.dft 282 53 49 10 3 81
rc.5-1-hc.dft 297 80 78 10 3 6
rc.5-1-sc.dft 157 60 59 10 3 3
rc.5-5-hc.dft 657 85 79 10 3 486
rc.5-5-sc.dft 422 65 60 10 3 243
