benchmarkName time maxStates maxTransitions
cm_1_1_10_dp_x-repair.dft 0 16 30
cm_1_1_10_sp_x-repair.dft 0 16 30
cm_1_1_11_dp_x-repair.dft 0 16 30
cm_1_1_11_sp_x-repair.dft 0 16 30
cm_1_1_12_dp_x-repair.dft 0 16 30
cm_1_1_12_sp_x-repair.dft 16 16 30
cm_1_1_13_sp_x-repair.dft 0 16 30
cm_1_1_14_sp_x-repair.dft 0 16 30
cm_1_1_2_dp_x-repair.dft 0 76 188
cm_1_1_2_sp_x-repair.dft 0 76 188
cm_1_1_3_dp_x-repair.dft 0 307 905
cm_1_1_3_sp_x-repair.dft 16 307 905
cm_1_1_4_dp_x-repair.dft 61 3184 12188
cm_1_1_4_sp_x-repair.dft 47 3184 12188
cm_1_1_5_dp_x-repair.dft 234 12460 53586
cm_1_1_5_sp_x-repair.dft 250 12460 53586
cm_1_1_6_dp_x-repair.dft N/A N/A N/A
cm_1_1_6_sp_x-repair.dft 0 16 30
cm_1_1_7_dp_x-repair.dft 0 16 30
cm_1_1_7_sp_x-repair.dft 0 16 30
cm_1_1_8_dp_x-repair.dft N/A N/A N/A
cm_1_1_8_sp_x-repair.dft 0 16 30
cm_1_1_9_dp_x-repair.dft 0 16 30
cm_1_1_9_sp_x-repair.dft 0 16 30
cm_2_1_2_dp_x-repair.dft 0 76 188
cm_2_1_2_sp_x-repair.dft 0 76 188
cm_2_1_3_dp_x-repair.dft 0 307 905
cm_2_1_3_sp_x-repair.dft 0 307 905
cm_2_1_4_dp_x-repair.dft 93 3184 12188
cm_2_1_4_sp_x-repair.dft 90 3184 12188
cm_2_2_2_dp_x-repair.dft 0 76 188
cm_2_2_2_sp_x-repair.dft 0 76 188
cm_2_2_3_dp_x-repair.dft 31 307 905
cm_2_2_3_sp_x-repair.dft 0 307 905
cm_2_2_4_dp_x-repair.dft 124 3184 12188
cm_2_2_4_sp_x-repair.dft 110 3184 12188
cm_3_1_2_dp_x-repair.dft 0 76 188
cm_3_1_2_sp_x-repair.dft 0 76 188
cm_3_1_3_dp_x-repair.dft 0 307 905
cm_3_1_3_sp_x-repair.dft 16 307 905
cm_3_1_4_dp_x-repair.dft 141 3184 12188
cm_3_1_4_sp_x-repair.dft 141 3184 12188
cm_3_2_2_dp_x-repair.dft 32 76 188
cm_3_2_2_sp_x-repair.dft 0 76 188
cm_3_2_3_dp_x-repair.dft 0 307 905
cm_3_2_3_sp_x-repair.dft 15 307 905
cm_3_2_4_dp_x-repair.dft 125 3184 12188
cm_3_2_4_sp_x-repair.dft 125 3184 12188
cm_3_3_2_dp_x-repair.dft 0 76 188
cm_3_3_2_sp_x-repair.dft 0 76 188
cm_3_3_3_dp_x-repair.dft 0 307 905
cm_3_3_3_sp_x-repair.dft 0 307 905
cm_3_3_4_dp_x-repair.dft 141 3184 12188
cm_3_3_4_sp_x-repair.dft 156 3184 12188
