benchmarkName time
cm_1_1_10_dp_x-repair.dft 1
cm_1_1_10_sp_x-repair.dft 0
cm_1_1_11_dp_x-repair.dft 0
cm_1_1_11_sp_x-repair.dft 0
cm_1_1_12_dp_x-repair.dft 2
cm_1_1_12_sp_x-repair.dft 0
cm_1_1_13_sp_x-repair.dft 0
cm_1_1_14_sp_x-repair.dft 1
cm_1_1_2_dp_x-repair.dft 1
cm_1_1_2_sp_x-repair.dft 1
cm_1_1_3_dp_x-repair.dft 15
cm_1_1_3_sp_x-repair.dft 14
cm_1_1_4_dp_x-repair.dft 804
cm_1_1_4_sp_x-repair.dft 825
cm_1_1_5_dp_x-repair.dft 15611
cm_1_1_5_sp_x-repair.dft 15554
cm_1_1_6_dp_x-repair.dft 0
cm_1_1_6_sp_x-repair.dft 0
cm_1_1_7_dp_x-repair.dft 0
cm_1_1_7_sp_x-repair.dft 0
cm_1_1_8_dp_x-repair.dft 0
cm_1_1_8_sp_x-repair.dft 0
cm_1_1_9_dp_x-repair.dft 0
cm_1_1_9_sp_x-repair.dft 0
cm_2_1_2_dp_x-repair.dft 4
cm_2_1_2_sp_x-repair.dft 4
cm_2_1_3_dp_x-repair.dft 36
cm_2_1_3_sp_x-repair.dft 30
cm_2_1_4_dp_x-repair.dft 1663
cm_2_1_4_sp_x-repair.dft 1652
cm_2_2_2_dp_x-repair.dft 2
cm_2_2_2_sp_x-repair.dft 2
cm_2_2_3_dp_x-repair.dft 28
cm_2_2_3_sp_x-repair.dft 34
cm_2_2_4_dp_x-repair.dft 1575
cm_2_2_4_sp_x-repair.dft 1660
cm_3_1_2_dp_x-repair.dft 5
cm_3_1_2_sp_x-repair.dft 3
cm_3_1_3_dp_x-repair.dft 47
cm_3_1_3_sp_x-repair.dft 50
cm_3_1_4_dp_x-repair.dft 2491
cm_3_1_4_sp_x-repair.dft 2512
cm_3_2_2_dp_x-repair.dft 7
cm_3_2_2_sp_x-repair.dft 3
cm_3_2_3_dp_x-repair.dft 49
cm_3_2_3_sp_x-repair.dft 44
cm_3_2_4_dp_x-repair.dft 2600
cm_3_2_4_sp_x-repair.dft 2485
cm_3_3_2_dp_x-repair.dft 6
cm_3_3_2_sp_x-repair.dft 5
cm_3_3_3_dp_x-repair.dft 43
cm_3_3_3_sp_x-repair.dft 48
cm_3_3_4_dp_x-repair.dft 2486
cm_3_3_4_sp_x-repair.dft 2486
