benchmarkName time removedStates removedTransitions CleanMinimizer FinalStateMinimizer OrthogonalPartitionRefinementMinimizer PartitionRefinementMinimizer
cm_1_1_10_dp_x-repair.dft 32 0 0 0 0 0 0
cm_1_1_10_sp_x-repair.dft 15 0 0 0 0 0 0
cm_1_1_11_dp_x-repair.dft 31 0 0 0 0 0 0
cm_1_1_11_sp_x-repair.dft 15 0 0 0 0 0 0
cm_1_1_12_dp_x-repair.dft 63 0 0 0 0 0 0
cm_1_1_12_sp_x-repair.dft 47 0 0 0 0 0 0
cm_1_1_13_sp_x-repair.dft 31 0 0 0 0 0 0
cm_1_1_14_sp_x-repair.dft 16 0 0 0 0 0 0
cm_1_1_2_dp_x-repair.dft 31 0 3 0 0 0 0
cm_1_1_2_sp_x-repair.dft 16 0 3 0 0 0 0
cm_1_1_3_dp_x-repair.dft 93 8 36 0 0 0 8
cm_1_1_3_sp_x-repair.dft 108 8 36 0 0 0 8
cm_1_1_4_dp_x-repair.dft 1672 0 6 0 0 0 0
cm_1_1_4_sp_x-repair.dft 1621 0 6 0 0 0 0
cm_1_1_5_dp_x-repair.dft 7625 0 7 0 0 0 0
cm_1_1_5_sp_x-repair.dft 8297 0 7 0 0 0 0
cm_1_1_6_dp_x-repair.dft N/A N/A N/A N/A N/A N/A N/A
cm_1_1_6_sp_x-repair.dft 31 0 0 0 0 0 0
cm_1_1_7_dp_x-repair.dft 0 0 0 0 0 0 0
cm_1_1_7_sp_x-repair.dft 0 0 0 0 0 0 0
cm_1_1_8_dp_x-repair.dft N/A N/A N/A N/A N/A N/A N/A
cm_1_1_8_sp_x-repair.dft 16 0 0 0 0 0 0
cm_1_1_9_dp_x-repair.dft 0 0 0 0 0 0 0
cm_1_1_9_sp_x-repair.dft 0 0 0 0 0 0 0
cm_2_1_2_dp_x-repair.dft 30 0 6 0 0 0 0
cm_2_1_2_sp_x-repair.dft 16 0 6 0 0 0 0
cm_2_1_3_dp_x-repair.dft 249 16 72 0 0 0 16
cm_2_1_3_sp_x-repair.dft 188 16 72 0 0 0 16
cm_2_1_4_dp_x-repair.dft 3251 0 12 0 0 0 0
cm_2_1_4_sp_x-repair.dft 3249 0 12 0 0 0 0
cm_2_2_2_dp_x-repair.dft 62 0 6 0 0 0 0
cm_2_2_2_sp_x-repair.dft 46 0 6 0 0 0 0
cm_2_2_3_dp_x-repair.dft 188 16 72 0 0 0 16
cm_2_2_3_sp_x-repair.dft 188 16 72 0 0 0 16
cm_2_2_4_dp_x-repair.dft 3267 0 12 0 0 0 0
cm_2_2_4_sp_x-repair.dft 3265 0 12 0 0 0 0
cm_3_1_2_dp_x-repair.dft 32 0 9 0 0 0 0
cm_3_1_2_sp_x-repair.dft 77 0 9 0 0 0 0
cm_3_1_3_dp_x-repair.dft 295 24 108 0 0 0 24
cm_3_1_3_sp_x-repair.dft 296 24 108 0 0 0 24
cm_3_1_4_dp_x-repair.dft 4954 0 18 0 0 0 0
cm_3_1_4_sp_x-repair.dft 5137 0 18 0 0 0 0
cm_3_2_2_dp_x-repair.dft 78 0 9 0 0 0 0
cm_3_2_2_sp_x-repair.dft 46 0 9 0 0 0 0
cm_3_2_3_dp_x-repair.dft 330 24 108 0 0 0 24
cm_3_2_3_sp_x-repair.dft 297 24 108 0 0 0 24
cm_3_2_4_dp_x-repair.dft 4858 0 18 0 0 0 0
cm_3_2_4_sp_x-repair.dft 4905 0 18 0 0 0 0
cm_3_3_2_dp_x-repair.dft 46 0 9 0 0 0 0
cm_3_3_2_sp_x-repair.dft 31 0 9 0 0 0 0
cm_3_3_3_dp_x-repair.dft 345 24 108 0 0 0 24
cm_3_3_3_sp_x-repair.dft 281 24 108 0 0 0 24
cm_3_3_4_dp_x-repair.dft 4874 0 18 0 0 0 0
cm_3_3_4_sp_x-repair.dft 4813 0 18 0 0 0 0
