benchmarkName time maxStates maxTransitions
hecs_1_1-repair.dft 0 48 113
hecs_2_1-repair.dft 0 48 113
hecs_2_2-repair.dft 0 48 113
hecs_3_1-repair.dft 0 48 113
hecs_3_3-repair.dft 0 48 113
hecs_4_1-repair.dft 0 48 113
hecs_4_2-repair.dft 0 48 113
hecs_4_3-repair.dft 16 48 113
hecs_4_4-repair.dft 0 48 113
hecs_5_1-repair.dft 16 48 113
hecs_5_5-repair.dft 16 48 113
hecs_6_1-repair.dft 0 48 113
hecs_6_6-repair.dft 0 48 113
hecs_7_1-repair.dft 0 48 113
hecs_7_7-repair.dft 0 48 113
hecs_8_1-repair.dft 0 48 113
hecs_8_8-repair.dft 0 48 113
