benchmarkName time removedStates removedTransitions CleanMinimizer FinalStateMinimizer OrthogonalPartitionRefinementMinimizer PartitionRefinementMinimizer
hecs_1_1-repair.dft 16 0 2 0 0 0 0
hecs_2_1-repair.dft 16 0 4 0 0 0 0
hecs_2_2-repair.dft 15 0 4 0 0 0 0
hecs_3_1-repair.dft 47 0 6 0 0 0 0
hecs_3_3-repair.dft 32 0 6 0 0 0 0
hecs_4_1-repair.dft 31 0 8 0 0 0 0
hecs_4_2-repair.dft 79 0 8 0 0 0 0
hecs_4_3-repair.dft 47 0 8 0 0 0 0
hecs_4_4-repair.dft 63 0 8 0 0 0 0
hecs_5_1-repair.dft 62 0 10 0 0 0 0
hecs_5_5-repair.dft 63 0 10 0 0 0 0
hecs_6_1-repair.dft 62 0 12 0 0 0 0
hecs_6_6-repair.dft 78 0 12 0 0 0 0
hecs_7_1-repair.dft 78 0 14 0 0 0 0
hecs_7_7-repair.dft 78 0 14 0 0 0 0
hecs_8_1-repair.dft 94 0 16 0 0 0 0
hecs_8_8-repair.dft 94 0 16 0 0 0 0
