benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize raSize
hecs_1_1-repair.dft 78 15 14 9 15 15
hecs_2_1-repair.dft 203 30 28 9 15 225
hecs_2_2-repair.dft 203 30 28 9 15 225
hecs_3_1-repair.dft 985 44 41 9 15 3375
hecs_3_3-repair.dft 985 44 41 9 15 3375
hecs_4_1-repair.dft 15043 58 54 9 15 50625
hecs_4_2-repair.dft 14626 58 54 9 15 50625
hecs_4_3-repair.dft 14438 58 54 9 15 50625
hecs_4_4-repair.dft 14853 58 54 9 15 50625
hecs_5_1-repair.dft 291086 72 67 9 15 759375
hecs_5_5-repair.dft 1800000 72 67 9 15 N/A
hecs_6_1-repair.dft 1800000 86 80 9 15 N/A
hecs_6_6-repair.dft 1800000 86 80 9 15 N/A
hecs_7_1-repair.dft 1800000 100 93 9 15 N/A
hecs_7_7-repair.dft 1800000 100 93 9 15 N/A
hecs_8_1-repair.dft 1800000 114 106 9 15 N/A
hecs_8_8-repair.dft 1800000 114 106 9 15 N/A
