benchmarkName time removedStates removedTransitions CleanMinimizer FinalStateMinimizer OrthogonalPartitionRefinementMinimizer PartitionRefinementMinimizer
rc.1-1-hc-repair.dft 0 0 2 0 0 0 0
rc.1-1-sc-repair.dft 0 0 0 0 0 0 0
rc.1-10-hc-repair.dft 31 0 2 0 0 0 0
rc.1-10-sc-repair.dft 47 0 0 0 0 0 0
rc.1-15-hc-repair.dft 78 0 2 0 0 0 0
rc.1-15-sc-repair.dft 63 0 0 0 0 0 0
rc.1-2-hc-repair.dft 31 0 2 0 0 0 0
rc.1-2-sc-repair.dft 15 0 0 0 0 0 0
rc.1-20-hc-repair.dft 93 0 2 0 0 0 0
rc.1-20-sc-repair.dft 78 0 0 0 0 0 0
rc.1-25-hc-repair.dft 62 0 2 0 0 0 0
rc.1-25-sc-repair.dft 124 0 0 0 0 0 0
rc.1-3-hc-repair.dft 16 0 2 0 0 0 0
rc.1-3-sc-repair.dft 31 0 0 0 0 0 0
rc.1-30-hc-repair.dft 140 0 2 0 0 0 0
rc.1-30-sc-repair.dft 95 0 0 0 0 0 0
rc.1-4-hc-repair.dft 48 0 2 0 0 0 0
rc.1-4-sc-repair.dft 32 0 0 0 0 0 0
rc.1-5-hc-repair.dft 31 0 2 0 0 0 0
rc.1-5-sc-repair.dft 16 0 0 0 0 0 0
rc.10-1-hc-repair.dft 31 0 2 0 0 0 0
rc.10-1-sc-repair.dft 0 0 0 0 0 0 0
rc.10-10-hc-repair.dft 93 0 2 0 0 0 0
rc.10-10-sc-repair.dft 48 0 0 0 0 0 0
rc.15-1-hc-repair.dft 0 0 2 0 0 0 0
rc.15-1-sc-repair.dft 0 0 0 0 0 0 0
rc.15-15-hc-repair.dft 32 0 2 0 0 0 0
rc.15-15-sc-repair.dft 63 0 0 0 0 0 0
rc.2-1-hc-repair.dft 31 0 2 0 0 0 0
rc.2-1-sc-repair.dft 0 0 0 0 0 0 0
rc.2-2-hc-repair.dft 31 0 2 0 0 0 0
rc.2-2-sc-repair.dft 0 0 0 0 0 0 0
rc.2-3-hc-repair.dft 15 0 2 0 0 0 0
rc.2-3-sc-repair.dft 0 0 0 0 0 0 0
rc.2-4-hc-repair.dft 16 0 2 0 0 0 0
rc.2-4-sc-repair.dft 0 0 0 0 0 0 0
rc.20-1-hc-repair.dft 15 0 2 0 0 0 0
rc.20-1-sc-repair.dft 0 0 0 0 0 0 0
rc.20-20-hc-repair.dft 77 0 2 0 0 0 0
rc.20-20-sc-repair.dft 94 0 0 0 0 0 0
rc.25-1-hc-repair.dft 15 0 2 0 0 0 0
rc.25-1-sc-repair.dft 0 0 0 0 0 0 0
rc.25-25-hc-repair.dft 78 0 2 0 0 0 0
rc.25-25-sc-repair.dft 78 0 0 0 0 0 0
rc.3-1-hc-repair.dft 0 0 2 0 0 0 0
rc.3-1-sc-repair.dft 0 0 0 0 0 0 0
rc.3-2-hc-repair.dft 31 0 2 0 0 0 0
rc.3-2-sc-repair.dft 0 0 0 0 0 0 0
rc.3-3-hc-repair.dft 32 0 2 0 0 0 0
rc.3-3-sc-repair.dft 0 0 0 0 0 0 0
rc.3-4-hc-repair.dft 16 0 2 0 0 0 0
rc.3-4-sc-repair.dft 31 0 0 0 0 0 0
rc.30-1-hc-repair.dft 16 0 2 0 0 0 0
rc.30-1-sc-repair.dft 16 0 0 0 0 0 0
rc.30-30-hc-repair.dft 94 0 2 0 0 0 0
rc.30-30-sc-repair.dft 125 0 0 0 0 0 0
rc.4-1-hc-repair.dft 0 0 2 0 0 0 0
rc.4-1-sc-repair.dft 0 0 0 0 0 0 0
rc.4-2-hc-repair.dft 15 0 2 0 0 0 0
rc.4-2-sc-repair.dft 16 0 0 0 0 0 0
rc.4-3-hc-repair.dft 15 0 2 0 0 0 0
rc.4-3-sc-repair.dft 15 0 0 0 0 0 0
rc.4-4-hc-repair.dft 16 0 2 0 0 0 0
rc.4-4-sc-repair.dft 16 0 0 0 0 0 0
rc.5-1-hc-repair.dft 31 0 2 0 0 0 0
rc.5-1-sc-repair.dft 0 0 0 0 0 0 0
rc.5-5-hc-repair.dft 15 0 2 0 0 0 0
rc.5-5-sc-repair.dft 15 0 0 0 0 0 0
