benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize raSize
rc.1-1-hc-repair.dft 156 35 33 10 15 90
rc.1-1-sc-repair.dft 62 15 14 10 6 6
rc.1-10-hc-repair.dft 1800000 45 34 10 15 nan
rc.1-10-sc-repair.dft 1800000 25 15 10 6 nan
rc.1-15-hc-repair.dft 1800000 50 34 10 15 nan
rc.1-15-sc-repair.dft 1800000 30 15 10 6 nan
rc.1-2-hc-repair.dft 281 37 34 10 15 540
rc.1-2-sc-repair.dft 94 17 15 10 6 36
rc.1-20-hc-repair.dft 1200000 55 34 10 15 nan
rc.1-20-sc-repair.dft 1800000 35 15 10 6 nan
rc.1-25-hc-repair.dft 1800000 60 34 10 15 nan
rc.1-25-sc-repair.dft 1800000 40 15 10 6 nan
rc.1-3-hc-repair.dft 968 38 34 10 15 3240
rc.1-3-sc-repair.dft 156 18 15 10 6 216
rc.1-30-hc-repair.dft 1800000 65 34 10 15 nan
rc.1-30-sc-repair.dft 1800000 45 15 10 6 nan
rc.1-4-hc-repair.dft 6391 39 34 10 15 19440
rc.1-4-sc-repair.dft 438 19 15 10 6 1296
rc.1-5-hc-repair.dft 41418 40 34 10 15 116640
rc.1-5-sc-repair.dft 2328 20 15 10 6 7776
rc.10-1-hc-repair.dft 596 135 133 10 15 90
rc.10-1-sc-repair.dft 390 115 114 10 6 6
rc.10-10-hc-repair.dft 1800000 145 134 10 15 nan
rc.10-10-sc-repair.dft 1800000 125 115 10 6 nan
rc.15-1-hc-repair.dft 1015 190 188 10 15 90
rc.15-1-sc-repair.dft 766 170 169 10 6 6
rc.15-15-hc-repair.dft 1800000 205 189 10 15 nan
rc.15-15-sc-repair.dft 1800000 185 170 10 6 nan
rc.2-1-hc-repair.dft 188 47 45 10 15 90
rc.2-1-sc-repair.dft 78 27 26 10 6 6
rc.2-2-hc-repair.dft 313 49 46 10 15 540
rc.2-2-sc-repair.dft 110 29 27 10 6 36
rc.2-3-hc-repair.dft 1032 50 46 10 15 3240
rc.2-3-sc-repair.dft 187 30 27 10 6 216
rc.2-4-hc-repair.dft 5922 51 46 10 15 19440
rc.2-4-sc-repair.dft 469 31 27 10 6 1296
rc.20-1-hc-repair.dft 1672 245 243 10 15 90
rc.20-1-sc-repair.dft 1235 225 224 10 6 6
rc.20-20-hc-repair.dft 1800000 265 244 10 15 nan
rc.20-20-sc-repair.dft 1800000 245 225 10 6 nan
rc.25-1-hc-repair.dft 2859 300 298 10 15 90
rc.25-1-sc-repair.dft 1828 280 279 10 6 6
rc.25-25-hc-repair.dft 1800000 325 299 10 15 nan
rc.25-25-sc-repair.dft 1800000 305 280 10 6 nan
rc.3-1-hc-repair.dft 234 58 56 10 15 90
rc.3-1-sc-repair.dft 93 38 37 10 6 6
rc.3-2-hc-repair.dft 375 60 57 10 15 540
rc.3-2-sc-repair.dft 140 40 38 10 6 36
rc.3-3-hc-repair.dft 1078 61 57 10 15 3240
rc.3-3-sc-repair.dft 219 41 38 10 6 216
rc.3-4-hc-repair.dft 5891 62 57 10 15 19440
rc.3-4-sc-repair.dft 515 42 38 10 6 1296
rc.30-1-hc-repair.dft 3031 355 353 10 15 90
rc.30-1-sc-repair.dft 2563 335 334 10 6 6
rc.30-30-hc-repair.dft 1800000 385 354 10 15 nan
rc.30-30-sc-repair.dft 1800000 365 335 10 6 nan
rc.4-1-hc-repair.dft 265 69 67 10 15 90
rc.4-1-sc-repair.dft 125 49 48 10 6 6
rc.4-2-hc-repair.dft 406 71 68 10 15 540
rc.4-2-sc-repair.dft 172 51 49 10 6 36
rc.4-3-hc-repair.dft 1141 72 68 10 15 3240
rc.4-3-sc-repair.dft 266 52 49 10 6 216
rc.4-4-hc-repair.dft 6079 73 68 10 15 19440
rc.4-4-sc-repair.dft 547 53 49 10 6 1296
rc.5-1-hc-repair.dft 313 80 78 10 15 90
rc.5-1-sc-repair.dft 157 60 59 10 6 6
rc.5-5-hc-repair.dft 43969 85 79 10 15 116640
rc.5-5-sc-repair.dft 2438 65 60 10 6 7776
