benchmarkName countNodes dynamic repair partialObservable FAULT AND OR VOTE SPARE POR_I PAND_I SAND POR PAND BASIC_EVENT FDEP RDEP PDEP MONITOR DELAY SEQ
cm_1_1_10_dp_x.dft 140 true false false 49 0 0 23 20 0 0 0 0 0 48 0 0 0 0 0 0
cm_1_1_10_sp_x.dft 137 true false false 48 0 0 22 20 0 0 0 0 0 47 0 0 0 0 0 0
cm_1_1_11_dp_x.dft 152 true false false 53 0 0 25 22 0 0 0 0 0 52 0 0 0 0 0 0
cm_1_1_11_sp_x.dft 149 true false false 52 0 0 24 22 0 0 0 0 0 51 0 0 0 0 0 0
cm_1_1_12_dp_x.dft 166 true false false 58 0 0 27 24 0 0 0 0 0 57 0 0 0 0 0 0
cm_1_1_12_sp_x.dft 163 true false false 57 0 0 26 24 0 0 0 0 0 56 0 0 0 0 0 0
cm_1_1_13_sp_x.dft 175 true false false 61 0 0 28 26 0 0 0 0 0 60 0 0 0 0 0 0
cm_1_1_14_sp_x.dft 189 true false false 66 0 0 30 28 0 0 0 0 0 65 0 0 0 0 0 0
cm_1_1_2_dp_x.dft 36 true false false 13 0 0 7 4 0 0 0 0 0 12 0 0 0 0 0 0
cm_1_1_2_sp_x.dft 33 true false false 12 0 0 6 4 0 0 0 0 0 11 0 0 0 0 0 0
cm_1_1_3_dp_x.dft 48 true false false 17 0 0 9 6 0 0 0 0 0 16 0 0 0 0 0 0
cm_1_1_3_sp_x.dft 45 true false false 16 0 0 8 6 0 0 0 0 0 15 0 0 0 0 0 0
cm_1_1_4_dp_x.dft 62 true false false 22 0 0 11 8 0 0 0 0 0 21 0 0 0 0 0 0
cm_1_1_4_sp_x.dft 59 true false false 21 0 0 10 8 0 0 0 0 0 20 0 0 0 0 0 0
cm_1_1_5_dp_x.dft 74 true false false 26 0 0 13 10 0 0 0 0 0 25 0 0 0 0 0 0
cm_1_1_5_sp_x.dft 71 true false false 25 0 0 12 10 0 0 0 0 0 24 0 0 0 0 0 0
cm_1_1_6_dp_x.dft 88 true false false 31 0 0 15 12 0 0 0 0 0 30 0 0 0 0 0 0
cm_1_1_6_sp_x.dft 85 true false false 30 0 0 14 12 0 0 0 0 0 29 0 0 0 0 0 0
cm_1_1_7_dp_x.dft 100 true false false 35 0 0 17 14 0 0 0 0 0 34 0 0 0 0 0 0
cm_1_1_7_sp_x.dft 97 true false false 34 0 0 16 14 0 0 0 0 0 33 0 0 0 0 0 0
cm_1_1_8_dp_x.dft 114 true false false 40 0 0 19 16 0 0 0 0 0 39 0 0 0 0 0 0
cm_1_1_8_sp_x.dft 111 true false false 39 0 0 18 16 0 0 0 0 0 38 0 0 0 0 0 0
cm_1_1_9_dp_x.dft 126 true false false 44 0 0 21 18 0 0 0 0 0 43 0 0 0 0 0 0
cm_1_1_9_sp_x.dft 123 true false false 43 0 0 20 18 0 0 0 0 0 42 0 0 0 0 0 0
cm_2_1_2_dp_x.dft 72 true false false 25 0 0 15 8 0 0 0 0 0 24 0 0 0 0 0 0
cm_2_1_2_sp_x.dft 66 true false false 23 0 0 13 8 0 0 0 0 0 22 0 0 0 0 0 0
cm_2_1_3_dp_x.dft 96 true false false 33 0 0 19 12 0 0 0 0 0 32 0 0 0 0 0 0
cm_2_1_3_sp_x.dft 90 true false false 31 0 0 17 12 0 0 0 0 0 30 0 0 0 0 0 0
cm_2_1_4_dp_x.dft 124 true false false 43 0 0 23 16 0 0 0 0 0 42 0 0 0 0 0 0
cm_2_1_4_sp_x.dft 118 true false false 41 0 0 21 16 0 0 0 0 0 40 0 0 0 0 0 0
cm_2_2_2_dp_x.dft 72 true false false 25 0 0 15 8 0 0 0 0 0 24 0 0 0 0 0 0
cm_2_2_2_sp_x.dft 66 true false false 23 0 0 13 8 0 0 0 0 0 22 0 0 0 0 0 0
cm_2_2_3_dp_x.dft 96 true false false 33 0 0 19 12 0 0 0 0 0 32 0 0 0 0 0 0
cm_2_2_3_sp_x.dft 90 true false false 31 0 0 17 12 0 0 0 0 0 30 0 0 0 0 0 0
cm_2_2_4_dp_x.dft 124 true false false 43 0 0 23 16 0 0 0 0 0 42 0 0 0 0 0 0
cm_2_2_4_sp_x.dft 118 true false false 41 0 0 21 16 0 0 0 0 0 40 0 0 0 0 0 0
cm_3_1_2_dp_x.dft 107 true false false 37 0 0 22 12 0 0 0 0 0 36 0 0 0 0 0 0
