benchmarkName time maxStates maxTransitions
cm_1_1_10_dp_x.dft 15 12 13
cm_1_1_10_sp_x.dft 6 12 13
cm_1_1_11_dp_x.dft 4 12 13
cm_1_1_11_sp_x.dft 5 12 13
cm_1_1_12_dp_x.dft 3 12 13
cm_1_1_12_sp_x.dft 1 12 13
cm_1_1_13_sp_x.dft 2 12 13
cm_1_1_14_sp_x.dft 3 12 13
cm_1_1_2_dp_x.dft 2 51 76
cm_1_1_2_sp_x.dft 1 51 76
cm_1_1_3_dp_x.dft 4 202 357
cm_1_1_3_sp_x.dft 3 202 357
cm_1_1_4_dp_x.dft 21 1951 4250
cm_1_1_4_sp_x.dft 22 1951 4250
cm_1_1_5_dp_x.dft 104 7437 17858
cm_1_1_5_sp_x.dft 101 7437 17858
cm_1_1_6_dp_x.dft 1259 68305 184421
cm_1_1_6_sp_x.dft 1300 68305 184421
cm_1_1_7_dp_x.dft 7102 256693 744895
cm_1_1_7_sp_x.dft 6769 256693 744895
cm_1_1_8_dp_x.dft 1 12 13
cm_1_1_8_sp_x.dft 1 12 13
cm_1_1_9_dp_x.dft 0 12 13
cm_1_1_9_sp_x.dft 1 12 13
cm_2_1_2_dp_x.dft 2 51 76
cm_2_1_2_sp_x.dft 1 51 76
cm_2_1_3_dp_x.dft 6 202 357
cm_2_1_3_sp_x.dft 5 202 357
cm_2_1_4_dp_x.dft 41 1951 4250
cm_2_1_4_sp_x.dft 42 1951 4250
cm_2_2_2_dp_x.dft 3 51 76
cm_2_2_2_sp_x.dft 3 51 76
cm_2_2_3_dp_x.dft 5 202 357
cm_2_2_3_sp_x.dft 5 202 357
cm_2_2_4_dp_x.dft 42 1951 4250
cm_2_2_4_sp_x.dft 46 1951 4250
cm_3_1_2_dp_x.dft 4 51 76
cm_3_1_2_sp_x.dft 2 51 76
cm_3_1_3_dp_x.dft 8 202 357
cm_3_1_3_sp_x.dft 7 202 357
cm_3_1_4_dp_x.dft 62 1951 4250
cm_3_1_4_sp_x.dft 68 1951 4250
cm_3_2_2_dp_x.dft 1 51 76
cm_3_2_2_sp_x.dft 4 51 76
cm_3_2_3_dp_x.dft 8 202 357
cm_3_2_3_sp_x.dft 9 202 357
cm_3_2_4_dp_x.dft 70 1951 4250
cm_3_2_4_sp_x.dft 61 1951 4250
cm_3_3_2_dp_x.dft 3 51 76
cm_3_3_2_sp_x.dft 3 51 76
cm_3_3_3_dp_x.dft 10 202 357
cm_3_3_3_sp_x.dft 8 202 357
cm_3_3_4_dp_x.dft 64 1951 4250
cm_3_3_4_sp_x.dft 63 1951 4250
