benchmarkName time removedStates removedTransitions CleanMinimizer FinalStateMinimizer OrthogonalPartitionRefinementMinimizer PartitionRefinementMinimizer
cm_1_1_10_dp_x.dft N/A N/A N/A N/A N/A N/A N/A
cm_1_1_10_sp_x.dft 11 27 27 0 9 0 18
cm_1_1_11_dp_x.dft 6 9 9 0 3 0 6
cm_1_1_11_sp_x.dft 13 33 33 0 11 0 22
cm_1_1_12_dp_x.dft 13 12 12 0 4 0 8
cm_1_1_12_sp_x.dft 6 12 12 0 4 0 8
cm_1_1_13_sp_x.dft 7 18 18 0 6 0 12
cm_1_1_14_sp_x.dft 2 3 3 0 1 0 2
cm_1_1_2_dp_x.dft 6 11 13 0 2 1 8
cm_1_1_2_sp_x.dft 15 11 13 0 2 1 8
cm_1_1_3_dp_x.dft 13 20 27 0 3 3 14
cm_1_1_3_sp_x.dft 14 20 27 0 3 3 14
cm_1_1_4_dp_x.dft 82 85 118 0 4 9 72
cm_1_1_4_sp_x.dft 123 85 118 0 4 9 72
cm_1_1_5_dp_x.dft 177 136 217 0 5 23 108
cm_1_1_5_sp_x.dft 176 126 200 0 5 13 108
cm_1_1_6_dp_x.dft 2683 1528 3071 0 6 108 1414
cm_1_1_6_sp_x.dft 2727 1525 3080 0 6 105 1414
cm_1_1_7_dp_x.dft 11345 3219 7578 0 7 235 2977
cm_1_1_7_sp_x.dft 11413 3200 7561 0 7 216 2977
cm_1_1_8_dp_x.dft 4 9 9 0 3 0 6
cm_1_1_8_sp_x.dft 2 3 3 0 1 0 2
cm_1_1_9_dp_x.dft 3 6 6 0 2 0 4
cm_1_1_9_sp_x.dft 3 6 6 0 2 0 4
cm_2_1_2_dp_x.dft 14 22 26 0 4 2 16
cm_2_1_2_sp_x.dft 12 22 26 0 4 2 16
cm_2_1_3_dp_x.dft 26 40 54 0 6 6 28
cm_2_1_3_sp_x.dft 24 40 54 0 6 6 28
cm_2_1_4_dp_x.dft 153 168 232 0 8 16 144
cm_2_1_4_sp_x.dft 155 165 228 0 8 13 144
cm_2_2_2_dp_x.dft 12 22 26 0 4 2 16
cm_2_2_2_sp_x.dft 11 22 26 0 4 2 16
cm_2_2_3_dp_x.dft 26 40 54 0 6 6 28
cm_2_2_3_sp_x.dft 26 40 54 0 6 6 28
cm_2_2_4_dp_x.dft 152 168 233 0 8 16 144
cm_2_2_4_sp_x.dft 172 167 233 0 8 15 144
cm_3_1_2_dp_x.dft 17 33 39 0 6 3 24
cm_3_1_2_sp_x.dft 17 33 39 0 6 3 24
cm_3_1_3_dp_x.dft 37 60 81 0 9 9 42
cm_3_1_3_sp_x.dft 36 60 81 0 9 9 42
cm_3_1_4_dp_x.dft 229 251 347 0 12 23 216
cm_3_1_4_sp_x.dft 230 250 345 0 12 22 216
cm_3_2_2_dp_x.dft 15 33 39 0 6 3 24
cm_3_2_2_sp_x.dft 17 33 39 0 6 3 24
cm_3_2_3_dp_x.dft 35 60 81 0 9 9 42
cm_3_2_3_sp_x.dft 38 60 81 0 9 9 42
cm_3_2_4_dp_x.dft 238 250 350 0 12 22 216
cm_3_2_4_sp_x.dft 244 251 350 0 12 23 216
cm_3_3_2_dp_x.dft 16 33 39 0 6 3 24
cm_3_3_2_sp_x.dft 18 33 39 0 6 3 24
cm_3_3_3_dp_x.dft 36 60 81 0 9 9 42
cm_3_3_3_sp_x.dft 35 60 81 0 9 9 42
cm_3_3_4_dp_x.dft 229 251 344 0 12 23 216
cm_3_3_4_sp_x.dft 234 246 343 0 12 18 216
