benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize raSize
cm_1_1_10_dp_x.dft 1200000 37 26 N/A N/A N/A
cm_1_1_10_sp_x.dft 1200000 35 24 5 1 N/A
cm_1_1_11_dp_x.dft 1200000 40 28 5 1 N/A
cm_1_1_11_sp_x.dft 1200000 38 26 5 1 N/A
cm_1_1_12_dp_x.dft 1200000 43 30 5 1 N/A
cm_1_1_12_sp_x.dft 1200000 41 28 5 1 N/A
cm_1_1_13_sp_x.dft 1200000 44 30 5 1 N/A
cm_1_1_14_sp_x.dft 1200000 47 32 5 1 N/A
cm_1_1_2_dp_x.dft 107 13 10 32 3 3
cm_1_1_2_sp_x.dft 110 11 8 29 3 3
cm_1_1_3_dp_x.dft 114 16 12 44 5 5
cm_1_1_3_sp_x.dft 145 14 10 41 5 5
cm_1_1_4_dp_x.dft 324 19 14 58 36 36
cm_1_1_4_sp_x.dft 330 17 12 55 36 36
cm_1_1_5_dp_x.dft 608 22 16 70 70 70
cm_1_1_5_sp_x.dft 565 20 14 67 80 80
cm_1_1_6_dp_x.dft 7411 25 18 84 718 718
cm_1_1_6_sp_x.dft 7463 23 16 81 721 721
cm_1_1_7_dp_x.dft 32013 28 20 96 1645 1645
cm_1_1_7_sp_x.dft 31529 26 18 93 1664 1664
cm_1_1_8_dp_x.dft 1200000 31 22 5 1 N/A
cm_1_1_8_sp_x.dft 1200000 29 20 5 1 N/A
cm_1_1_9_dp_x.dft 1200000 34 24 5 1 N/A
cm_1_1_9_sp_x.dft 1200000 32 22 5 1 N/A
cm_2_1_2_dp_x.dft 239 26 20 32 3 9
cm_2_1_2_sp_x.dft 183 22 16 29 3 9
cm_2_1_3_dp_x.dft 343 32 24 44 5 25
cm_2_1_3_sp_x.dft 287 28 20 41 5 25
cm_2_1_4_dp_x.dft 1412 38 28 58 38 1368
cm_2_1_4_sp_x.dft 1445 34 24 55 39 1482
cm_2_2_2_dp_x.dft 181 26 20 32 3 9
cm_2_2_2_sp_x.dft 191 22 16 29 3 9
cm_2_2_3_dp_x.dft 349 32 24 44 5 25
cm_2_2_3_sp_x.dft 325 28 20 41 5 25
cm_2_2_4_dp_x.dft 1532 38 28 58 39 1365
cm_2_2_4_sp_x.dft 1435 34 24 55 38 1406
cm_3_1_2_dp_x.dft 359 38 29 32 3 27
cm_3_1_2_sp_x.dft 334 32 23 29 3 27
cm_3_1_3_dp_x.dft 710 47 35 44 5 125
cm_3_1_3_sp_x.dft 650 41 29 41 5 125
cm_3_1_4_dp_x.dft 42410 56 41 58 38 51984
cm_3_1_4_sp_x.dft 42978 50 35 55 38 53428
cm_3_2_2_dp_x.dft 334 38 29 32 3 27
cm_3_2_2_sp_x.dft 311 32 23 29 3 27
cm_3_2_3_dp_x.dft 683 47 35 44 5 125
cm_3_2_3_sp_x.dft 663 41 29 41 5 125
cm_3_2_4_dp_x.dft 42654 56 41 58 41 52972
cm_3_2_4_sp_x.dft 41749 50 35 55 38 52022
cm_3_3_2_dp_x.dft 368 38 29 32 3 27
cm_3_3_2_sp_x.dft 330 32 23 29 3 27
cm_3_3_3_dp_x.dft 654 47 35 44 5 125
cm_3_3_3_sp_x.dft 626 41 29 41 5 125
cm_3_3_4_dp_x.dft 41808 56 41 58 38 52022
cm_3_3_4_sp_x.dft 46741 50 35 55 40 59280
