benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize raSize
hecs_1_1.dft 77 15 14 9 2 2
hecs_2_1.dft 137 30 28 9 2 4
hecs_2_2.dft 151 30 28 9 2 4
hecs_3_1.dft 222 44 41 9 2 8
hecs_3_3.dft 231 44 41 9 2 8
hecs_4_1.dft 348 58 54 9 2 16
hecs_4_2.dft 392 58 54 9 2 16
hecs_4_3.dft 356 58 54 9 2 16
hecs_4_4.dft 360 58 54 9 2 16
hecs_5_1.dft 550 72 67 9 2 32
hecs_5_5.dft 556 72 67 9 2 32
hecs_6_1.dft 789 86 80 9 2 64
hecs_6_6.dft 817 86 80 9 2 64
hecs_7_1.dft 1050 100 93 9 2 128
hecs_7_7.dft 1071 100 93 9 2 128
hecs_8_1.dft 1412 114 106 9 2 256
hecs_8_8.dft 1405 114 106 9 2 256
