benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize raSize
rc.1-1-hc.dft 125 35 33 10 2 2
rc.1-1-sc.dft 47 15 14 10 1 1
rc.1-10-hc.dft 609 45 34 10 2 2
rc.1-10-sc.dft 453 25 15 10 1 1
rc.1-15-hc.dft 1032 50 34 10 2 2
rc.1-15-sc.dft 797 30 15 10 1 1
rc.1-2-hc.dft 156 37 34 10 2 2
rc.1-2-sc.dft 78 17 15 10 1 1
rc.1-20-hc.dft 1672 55 34 10 2 2
rc.1-20-sc.dft 1297 35 15 10 1 1
rc.1-25-hc.dft 2282 60 34 10 2 2
rc.1-25-sc.dft 1890 40 15 10 1 1
rc.1-3-hc.dft 203 38 34 10 2 2
rc.1-3-sc.dft 110 18 15 10 1 1
rc.1-30-hc.dft 3032 65 34 10 2 2
rc.1-30-sc.dft 2609 45 15 10 1 1
rc.1-4-hc.dft 234 39 34 10 2 2
rc.1-4-sc.dft 141 19 15 10 1 1
rc.1-5-hc.dft 297 40 34 10 2 2
rc.1-5-sc.dft 188 20 15 10 1 1
rc.10-1-hc.dft 594 135 133 10 2 2
rc.10-1-sc.dft 422 115 114 10 1 1
rc.10-10-hc.dft 1500 145 134 10 2 2
rc.10-10-sc.dft 1188 125 115 10 1 1
rc.15-1-hc.dft 985 190 188 10 2 2
rc.15-1-sc.dft 718 170 169 10 1 1
rc.15-15-hc.dft 2906 205 189 10 2 2
rc.15-15-sc.dft 2484 185 170 10 1 1
rc.2-1-hc.dft 156 47 45 10 2 2
rc.2-1-sc.dft 78 27 26 10 1 1
rc.2-2-hc.dft 203 49 46 10 2 2
rc.2-2-sc.dft 110 29 27 10 1 1
rc.2-3-hc.dft 250 50 46 10 2 2
rc.2-3-sc.dft 125 30 27 10 1 1
rc.2-4-hc.dft 297 51 46 10 2 2
rc.2-4-sc.dft 172 31 27 10 1 1
rc.20-1-hc.dft 1500 245 243 10 2 2
rc.20-1-sc.dft 1250 225 224 10 1 1
rc.20-20-hc.dft 4813 265 244 10 2 2
rc.20-20-sc.dft 4203 245 225 10 1 1
rc.25-1-hc.dft 2172 300 298 10 2 2
rc.25-1-sc.dft 1782 280 279 10 1 1
rc.25-25-hc.dft 7138 325 299 10 2 2
rc.25-25-sc.dft 6532 305 280 10 1 1
rc.3-1-hc.dft 188 58 56 10 2 2
rc.3-1-sc.dft 94 38 37 10 1 1
rc.3-2-hc.dft 235 60 57 10 2 2
rc.3-2-sc.dft 141 40 38 10 1 1
rc.3-3-hc.dft 297 61 57 10 2 2
rc.3-3-sc.dft 172 41 38 10 1 1
rc.3-4-hc.dft 344 62 57 10 2 2
rc.3-4-sc.dft 204 42 38 10 1 1
rc.30-1-hc.dft 2938 355 353 10 2 2
rc.30-1-sc.dft 2516 335 334 10 1 1
rc.30-30-hc.dft 9938 385 354 10 2 2
rc.30-30-sc.dft 9110 365 335 10 1 1
rc.4-1-hc.dft 219 69 67 10 2 2
rc.4-1-sc.dft 110 49 48 10 1 1
rc.4-2-hc.dft 281 71 68 10 2 2
rc.4-2-sc.dft 156 51 49 10 1 1
rc.4-3-hc.dft 329 72 68 10 2 2
rc.4-3-sc.dft 203 52 49 10 1 1
rc.4-4-hc.dft 391 73 68 10 2 2
rc.4-4-sc.dft 250 53 49 10 1 1
rc.5-1-hc.dft 266 80 78 10 2 2
rc.5-1-sc.dft 157 60 59 10 1 1
rc.5-5-hc.dft 578 85 79 10 2 2
rc.5-5-sc.dft 359 65 60 10 1 1
